page 1	比荷備戰與西線緊張
page 2	我軍在廣州夜襲日軍陣地潮汕我焚日軍營房南海三水我軍活躍
page 2	湘西特種部族獻旗委座
page 2	南昌日軍蠢員負創
page 2	宋子良就任對外貿易委員會主席謀積極發展輸出貿易尤注意桐油生絲等貨
page 2	孫夫人撰文痛責汪氏謂總理生前對汪早已知共不可靠
page 2	犯冀濮陽日軍被殲過半殘餘突圍逃竄
page 2	歐美貨品輸滬大減
page 2	晉西我軍加緊反攻日軍已呈頹勢我軍進迫土門黑龍關
page 2	察綏日軍推行偽幣陰謀的失敗
page 2	皖北我軍勇克壽縣鳳台犯向家集日軍被痛擊
page 2	綏境日軍潰退安北固陽蒙軍司令陳玉甲視察綏西此行對蒙民內向關係極大
page 2	蘭州大雪
page 2	鄂日軍東犯在高家坡受創
page 2	英美對遠東態度轉強英日美日談判陷僵局英大使與日外次谷正之作長談但雙方主張不同談判難獲結果
page 3	奔馳在秦隴邱原
page 3	案中死者舉行國葬
page 3	德報竟謂係英主謀
page 3	慕尼克炸彈案德正積極查究經專家檢驗炸彈破片或可證明係外國所製
page 3	瑞士施行軍事動員
page 3	蘇聯農產歉收預想德國聞之勢必為之悒鬱
page 3	蘇芬談判最不樂觀
page 3	英自治領代表訪謁達拉第及甘茂林法總理等對戰爭前途樂觀
page 3	華沙人民生活甚慘城內缺乏糧及煤炭猶太人民更甚淩辱
page 3	美政府設法補救輪船損失
page 3	波最高陸軍統帥史蔑列資辭職寒哥士奇將軍繼任
page 3	和平紀念日倫敦未行儀式市民仍脫帽靜默
page 3	巴黎發出警報
page 3	東京硫礦塌陷二百人生命堪虞
page 3	智利聘美專家訓練空軍人員
page 3	食糧研究專家研究配製方法
page 3	巡南當局禁德國貨過境寄德出政包裹現亦不能通過
page 3	韓人廿六名潛入華北工作喚起韓人民族思想
page 3	哥林比亞全體閣員辭職
page 3	美顧問施漢氏改革交通計劃已向我交通部條陳
page 3	澳政府決改組應付戰時工作
page 3	駐蘇大使楊杰照常供職外傳種種俱屬不
page 3	宋美齡視察湘北完竣昨已返抵重慶
page 3	儲蓄運動委會昨開成立大會
page 3	現身說法日俘虜演劇演出甚為逼真為我募捐寒衣
page 3	帝俄時代警察官波里索克就逮彼曾逮捕莫洛多當局判處十年監禁
page 3	翁文波發明重力儀器為歐洲科學界極贊許
page 3	孫總理生辰新都舉行慶祝
page 3	德向荷下最後通牒荷比積極備戰比軍已沿國境佈防荷蘭實行決堤防敵
page 5	江門日軍突見減少
page 5	日機連日大施狂炸
page 5	會屬各地最好近戰況
page 5	順德我遊擊隊夜襲容奇激戰詳情
page 5	伶仃日艦時窺橫門
page 5	我機隊在廣三路炸燬日軍運車
page 5	文昌軍民勇戰克復潭牛定安日軍突圍不逞
page 5	踞粵日軍秘密他調
page 5	我遊擊隊兩擊三水崗根毀日工事甚多
page 5	省府飭屬儲鹽備荒訓令限本年內依額儲足
page 5	軍營區嚴禁商店壯丁避役
page 5	本報記者赴中山西線調查新順中日偽情況之報告三日軍圖奪木松山被我襲潰日宣傳犯三埠係虛張聲勢中山安定沿邊區無日軍蹤蹟
page 5	梅縣剿匪指揮部移駐蕉嶺縣城
page 5	日幾兩襲中山
page 5	第五區游擊司令組對日封鎖會
page 5	日艦艇結集九江圖擾鶴山邊境
page 5	莞龍日軍分兩路南犯我軍分據要點迎擊
page 5	張君崧任師長緝私總處改隸財廳
page 5	中央征集旅外軍事人員
page 5	中山二區劫後之情勢一瞥
page 5	新鶴路日軍敗退時平民慘遭毒氣傷害幾達千人江會日軍之最近攻勢又已頹惰伶仃日艦又窺橫門但四區無恙
page 7	中央存港貨物現僅有數百噸
page 7	在中立國德貨起運來港辦法
page 7	英美將同提出抗議
page 7	帝航機被擊事件英美將聯向日方抗議兩機師仍被扣留廣州該機搭客述遇險經過
page 7	乘客縷述遇險經過
page 7	保險銷貨場昨天啟業門如市博得社會極好評
page 7	新會商會捐贈傷兵難民衣被
page 7	國民大學組回國考察團
page 7	金文泰馳馬道發現野犬七頭
page 7	的士增加車費政府尚未批准
page 7	旺角血案押候
page 7	二次大戰開展中的和平紀念日本港政府取消一切紀念儀式慈善團體賣罌花得八千除元
page 7	露宿救濟會之年報去年各宿舍有人滿患中西區均收容二萬餘人油麻地方面更超過五萬
page 7	越南當局撤消貨物過境禁例港粵客商紛紛趕運貨物開越輪船艙位預定一空
page 8	堅道區自衛團昨日正式成立
page 8	堅道區昨成立
page 8	粵省府選送公共衛生人員定於六七兩日考試
page 8	李優好追悼會昨在九龍青年會舉行
page 8	中山青年會新職員昨選出
page 8	圖劫疑犯提堂
page 8	南海同鄉會今日行成立禮
page 8	本港回教僑胞向蔣委長獻旗
page 8	九針島海盜截劫漁鎗傷三人貨物劫掠一空艇亦被轟沉荃灣海面又有一客艇被劫
page 8	七姊妹火燒山草
page 8	罌花節足球義賽港聯戰軍聯今日下午四時在香港會賽前先來一幕學童表演
page 8	聯賽警察逼和東方零比零
page 8	南華週年陸運今日舉行
page 8	記者體特會舉辦沙田旅行
page 8	宵來公開籃球賽僅得一場舉行勵行不敵培英
page 8	光華會勇取南華華三比一
page 8	歐戰發生後本港糧食價格飛漲較戰前約增加百分之十回復一九三一年最高峰
page 8	今日出發募捐
page 8	港政府增設集中營收容深圳河沿岸難民地點已擇定三處短期內可實現望慈善關踴躍捐贈禦寒物品
