page 2	　中葡交涉　　之準備　對葡失敗之原因
page 3	日使對魯案覆文決定發表聲明書仍望直接交涉惟捨棄鐵路合辦意欲求美國諒解
page 3	太平洋會準下月　貳號日招集各國代表
page 3	駐日使胡維德電告日人設法運動英美拒絕魯案提出太平洋　
page 3	鄂蘇贛各督會議三省同盟防
page 3	外報消息太平洋會注意中國鐵路厚集財政將有辦法
page 3	國務院電令吳佩孚從速援贛免使張作霖有所藉口派　　
page 3	魯省議會控田中玉選舉舞弊請　
page 3	陳炳焜將出京赴
page 3	京訊熊克武聯同楊森出資二十萬運動顧品珍入川倒劉湘川內部將生變
page 3	顏惠慶以各重要問題難決卒未赴美有於施肇基顧維鈞二人擇一充任總代表說
page 3	吳佩孚電稱鄂西軍事將可結束準期二十日返岳州布
page 3	置防務約勾留數天即返漢
page 3	蕭耀南電告與蘇皖贛各督協商長江　
page 3	劉湘令財政廳速賣官產助援鄂援陝西
page 3	日使對魯案覆文極不滿意擬請美總統哈定氏出而仲裁俾魯案在太平洋會議前　
page 3	顏惠慶又聘蔡元培為太平洋會籌備處顧　
page 3	國務陸決召各督到京解決內閣財政國會三大問題
page 3	將發令宣布鄂西肅
page 3	吳佩孚令各部扼守鄂邊勿侵入川
page 3	浙省某派陰謀已發覺褚輔成逃王榮等被捕風潮甚烈
page 3	潘止道藍文蔚各部軍隊退回川境劉湘電阻不令入傳聞已發生　
page 3	吳佩孚聯絡劉存厚聞已破裂劉將變計陰聯陳樹藩別謀　
page 3	聞顧維鈞定期十八日由
page 3	鮑貴卿孫烈臣均有統率奉軍入關訊息孫缺擬由張作相　
page 3	東方通信社電顏惠慶以國內政情無甚變動並將於十日由北京先赴橫濱乘俄國皇后
page 3	北京　太平洋會經費昨由張作霖支付十萬元張氏並墊出　　
page 3	外交團會議要求中國報告昨年以來增加關稅及其他之收支數目因該項增收之一成　年當有八百萬元之收入原撥為救濟費防疫費等用外交團有明瞭該項收支狀態之必要
page 3	滇黔尚未決定出兵北伐辦法
page 3	孫文援趙　
page 3	孫文今日可抵梧州
page 3	孫文之三軍編配
page 3	孫文對於籌款北伐之樂觀
page 3	停收電報附加賑災費
page 3	被控假冒警差
page 3	銀價
page 3	火焚草木
page 6	有滿載　之美
page 6	上海住客聯合會聯席會議
page 6	拾遺　前報經民載油麻地　
page 6	竊匪　
page 6	控討薪金案判
page 6	英美對　停戰　　觀
page 6	中國留　苦　生回　
page 6	英鋼減價
page 6	太平洋有地震
page 6	法儒擬考察亞洲古代文化
page 7	粵吏對於中葡交涉之意見
page 7	提議撤銷四邑聯防及收編
page 7	華僑述陸馬蹤跡
page 7	南海警區員缺以抽簽分委
page 7	福軍集合出發
page 7	粵路司票膽敢作偽
page 7	美國已派駐粵副領事
page 7	第　軍收編西江民軍
page 7	拘捕瘋人之影響
page 7	夏重民與郛唯滅開交涉
page 7	黃強回海關原任
page 7	西南火警
page 7	令江門東口厘廠停　繭　
page 7	順德選舉訴訟案判決
page 7	捕獲瘋人彙誌
page 7	關於限制查封產業之訓令
page 7	江西會館驅逐游民
page 7	連縣停抽碼頭捐
page 7	瑣聞一束
page 7	搭船產子
page 7	軍人鬥毆嫁禍商店
page 7	台山匪風日熾
page 7	開平富商之慘死
page 7	飛行員不服警察干涉
page 7	合浦林軍之劫掠人民
page 7	廣寧工匪與第二軍劇戰
page 9	趙恒惕留任省長
page 9	陳樹藩活動之近訊
page 9	井陘煤礦之前途
page 9	大連會議俄代表之談話
page 9	被控私印安南紙幣案
page 9	神經友擾亂公堂
page 9	策群義學三週紀念誌盛
page 9	由舖票案重懲
page 9	賭案
page 9	新世界影畫誌
page 9	青年會影新畫
page 9	渝魚尾鐘判監
page 12	中　
page 12	華僑組織北伐隊宣言
page 12	停寄梧柳沿江郵　原因
page 12	馬君武反對廬山會議電
page 12	煙絲業之呈批
page 12	蔣作賓抵粵
page 12	是是非非之瘋人騷擾　
page 12	陳炯光不　班師
page 12	封民船運兵回粵
