page 1	香港大學移設星洲問題
page 2	暴徒廿餘人襲滬中美日報警捕聞訊趕到與暴徒鎗戰行人被流彈擊傷十六七人
page 2	東流橋我軍破Ｘ
page 2	我軍突襲庵埠潮陽附近無Ｘ蹤Ｘ竄擾楊梅失敗
page 2	七月十四至二十日一週來戰況南北戰場Ｘ攻勢漸頓挫Ｘ圖肅清後方尤屬幻想
page 2	廣東方面
page 2	山西方面
page 2	鄂贛方面
page 2	德經濟部參事在英國接洽商務問題乃欲以商務問題　基礎進而設法緩和國際時局
page 2	漢水堤決Ｘ軍淹斃甚多我軍反攻迭克要地衝入洋梓與Ｘ巷戰
page 2	晉境內英教堂迭遭損害英　黨議員卜吉遜詢問政府如何對付
page 2	桂　副縣長制
page 2	Ｘ艦被我炸燬到滬修理
page 2	海外僑胞踴躍捐輸本年上半統計三萬萬五千萬元
page 2	美報主張對日應斷絕外交關係日對遠東政策已無望其變更舉行國際會議恐無多大益處
page 2	冀南Ｘ糾偽軍向我大舉進犯各路均被痛擊
page 2	南路慰勞團在湘北某地獻旗
page 2	德國農產區巴威略州落雹麥田悉被毀壞溺斃許多牲畜
page 2	白銀由美運英
page 2	其他各處
page 2	Ｘ渡沁水東犯我退守晉城近郊我大軍現分佈某某地區將以游擊戰功各圍殲Ｘ人
page 3	英對日退讓有限度必須維護英國權益
page 3	日對解決天津問題準備提出五項要求
page 3	日曾舉行御前會議議決向英提出要求
page 3	Ｘ能渡過新牆河嗎一
page 3	但澤在戰神威脅下變成武裝炮台波蘭陸軍統帥強硬聲明決不惜以武力維護但澤
page 3	英禁猶太人移入巴力斯坦猶太人表示反對
page 3	蘇輪十二艘經巴拿瑪運河駛往海參威
page 3	羅斯福不滿國會延擱中立法案倘世界大戰不幸一旦爆發美將因中立法而致受束縛
page 3	德羅兩國簽訂農業協定
page 3	紐約時報評論遠東局勢日忽視美警告實為不智之甚
page 3	泰晤士報評論中國貨幣問題繼續支撐抑取放任態度以上兩途英國須擇其一
page 3	蘇德兩國開始商務談判在柏林舉行
page 3	霍特氏返英任某要職離華前發表談話信中國必能復興
page 3	荷蘭公主將分娩禁機飛過王宮王宮預裝三十個大鐘以待喜日來臨時之用
page 3	在戰爭陰霾下德人惶惶不安柏林城內謠諑紛紜均恐八月初歐局再度緊張對時局前途多存悲觀心理
page 3	英蘇談判英新訓令送出內容迄未公布
page 3	長台關北犯Ｘ已被擊退
page 3	法幣價低跌影響物價
page 3	克萊琪靜候新訓示未有繼續談判平沼在內閣會議報告談判情形天津地方事件會議已定期舉行
page 4	假冒防疫證書少年被罰百金
page 4	業餘聯誼社昨獻金萬餘元
page 4	九龍關新稅費
page 4	宋美齡謝何寶芳捐金
page 4	越南政府修正徵收華僑居留稅則例每人每年徵收一百元居留不滿一月者免徵
page 5	軍隊政治推動情況
page 5	中山各地均告無恙
page 5	江會Ｘ況最近一瞥
page 5	各線陣勢僅成對峙
page 5	粵路沿線我軍南迫Ｘ增兵高塘企圖死守龍翔Ｘ有南竄之勢
page 5	河南龍尾導匪Ｘ劇戰
page 5	Ｘ增兵高塘
page 5	我迫攻龍翔
page 5	疊石Ｘ艦他駛惟坭坑到Ｘ艦一艘
page 5	新造附近河面Ｘ輪觸礁擱淺
page 5	省府禁煙新猷充實禁煙經費派員　責督導
page 5	修正禁賭條例
page 5	廣東省銀行設鹽運部調節各地食鹽供給
page 5	統籌經費充實人員
page 5	煙民統計嚴密運售
page 5	　圍一戰Ｘ離汕尾我軍已入市辦理善後
page 5	援軍開至猛烈反攻
page 5	長驅直進克復汕尾
page 5	Ｘ軍退去時之情形
page 5	海豐縣府辦理善後
page 5	我當局加緊軍隊政治工作擊破Ｘ方以戰養戰陰謀會城Ｘ正規軍撤往江門江會戰事我軍施行內襲
page 6	佛山石灣等地商廠倒閉工人多失業因出品運銷困難且被Ｘ偽勒抽
page 6	李漢魂巡抵興寧召青年及公務員訓話
page 6	七勇士傷愈重上火線遄返清遠殺Ｘ
page 6	政工隊抵深圳後決定工作中華救護隊抵寶安
page 6	韶關定期登記Ｘ貨
page 6	調查清花兩縣征收難民證費省振會再澈底調查
page 6	省振濟會救濟隊深入前線工作在潮揭各地辦理急振工作增發各區縣振款救濟難民
page 6	增撥振款
page 6	收到捐款
page 6	抗戰以來之廣東財政二兩年來收支概況
page 7	宰豬數量較前倍增
page 7	天氣炎熱來源短少
page 7	鮮魚蔬菜價漸平復
page 7	開座談會結果圓滿
page 7	歌界明星踴躍參加
page 7	捐金購債彙誌
page 7	紀念八一三全港女伶義唱各大茶樓熱心贊助報效茶費全場收入將捐贈中青救護團
page 7	港九歌壇一致舉行
page 7	順德邑僑大會討論救濟桑梓辦法
page 7	Ｘ機狂炸淡水五人受傷來港求醫
page 7	賈乃錫昨抵港
page 7	岐澳交通恢復內地魚菜已照常運港本港魚菜價格日來已漸平復惟生豬來源減少有絕市之虞
page 8	英振華會捐訊
page 8	五年來對外貿易比較
page 8	港大遷星問題各界人士極注意
page 8	青年服務團擴大組織服務員決增至二百五十人預算經費約需國幣卅萬元
page 8	今日棒球聯賽南華再逢友啤華軍能否雪恥在此一舉
page 8	中山僑商會議
page 8	私藏軍械被罰
page 8	南遊日記十一
page 8	勵進游泳團昨舉行測驗賽成績甚佳
page 8	燈火管制演習期近管制法例昨正式公佈違犯該例　將罰現金一千元防空總監勸市民與政府合作
page 10	蒙偽局勢緊張下外蒙的軍備
