page 1	張伯倫演說與歐戰
page 2	蔣委長電嘉白崇禧等所有此役有功人員並應查報以憑將恤
page 2	蔣委長電
page 2	白崇禧電
page 2	金牛村日軍被我擊退
page 2	日便衣隊突入公共租界侵佔交通銀行產業租界當局引為駭異
page 2	日首相阿部準備修改設置商務省計劃和緩外務省下級官吏反對
page 2	晉西我軍奏捷晉南戰事重復展開
page 2	日機分襲湘西川南
page 2	蔣委員長在成都療治牙疾
page 2	津日軍將加緊封鎖英法租界
page 2	粵各界慰勞湘北將士
page 2	美上院繼續辯論中立法案上院議員拉福列提議美國與歐洲斷絕關係
page 2	日光附近日兩火車互撞
page 2	意將開始訓練軍事專家名額為四千名
page 2	立將要求收回米美爾區
page 2	蘇聯紅軍退出維爾那諾立軍即將開入
page 2	張伯倫將向美加廣播
page 2	馬奇諾陣線設備勝齊格菲
page 2	保德所訂商約於保有利
page 2	加拿大發行戰債二萬萬金元
page 2	通城近郊戰事激烈湘北我軍逼近岳陽贛北我軍抵奉新靖安武寧城郊
page 3	答覆希特勒和平建議張伯倫演說詞謂不能接納希特勒提案希特勒為歐洲和平障礙
page 3	對於張伯倫之演說英各黨派一致贊成
page 3	德方認為和平絕望預料戰爭將必延長
page 3	意不再提和平建議中立地位仍不改變
page 3	蘇在日軍佔領區結束各領事館避免將來承認偽中央政權此舉足証明日蘇磨擦益大
page 3	前任英海相谷巴赴美演講
page 3	日中隊長自殺
page 3	蘇土簽定軍事防禦協定戰時土國封鎖韃靼海峽蘇保證巴爾幹半島安全
page 3	芬蘭軍隊開始動員
page 3	蘇政府向芬提出要求丹瑞挪分別照會蘇政府勸其顧存荷蘭中立地位
page 3	蘇德舉行商務談判
page 3	意貨輪在岷尼拉發生火災
page 3	歐局將進入真正作戰階段希氏和平策略失敗德蘇將即密商應付
page 5	我軍克石岐後實地調查情形
page 5	張縣長詳述我克復石岐經過
page 5	吳張佈告安民漢奸均遭鎗決
page 5	寶安戰事沉寂我游擊隊炸深圳公路
page 5	專員縣長局長特恤標準
page 5	省主席派專員赴中山慰勞抗戰軍民除由省府撥款救濟外並令古專員設法籌賑
page 5	韶關舉行緊急清查戶口來歷不明者被拘
page 5	中山九區漁民組抗戰自衛團五日在大黃圃成立
page 5	戰區司令部通令墾荒種植畬禾
page 5	嶺東我軍進攻潮安
page 5	粵省行派員分赴各縣購穀
page 5	商決清理積壓郵件辦法
page 5	征募郵票慰勞傷兵辦法
page 5	緝私總處設東江查緝區
page 5	各縣團隊改稱國民兵團
page 5	新會各界國慶祝捷大會致電前線戰士致敬
page 5	我軍反攻江會之戰訊新開新鶴兩線在十日前我已克復要隘多處
page 5	石岐克復後之實地調查張縣長談收復石岐之經過中山全縣現已無日軍蹤跡
page 7	中西商會將會商評定物價辦法定下星期召開聯席會議華商會某委員發表意見
page 7	婦女慰勞會救濟中山難民
page 7	皇后大道中少婦跳樓自殺
page 7	戲院職工總會雙十贈旗成績
page 7	港營養研委會力勸市民多種菜蔬盡量利用花園及餘地使戰時糧食不致缺乏
page 7	汽油昨已增價有車階級大受影響
page 7	美國政府擬禁商輪來港本港對美貿易商行大起恐慌昨已聯電華盛頓國務院呼籲
page 7	第十一期獲救濟之學生
page 7	美植物學家駕帆船長征赴西印度群島採標本今日與遊侶由港出發
page 7	港府徵所得稅之標準月入在二百元以上者始徵收中下階級未受影響不必　慮
page 8	歐洲之經濟戰英法兩國已佔優勢
page 8	魯迅逝世三週文藝界決開會紀念
page 8	南洋學院贈旗訊
page 8	和平紀念日本港照常賣花
page 8	吳鼎新定期招待報界報告省參會最近工作
page 8	遇風希輪抵港船主述遇風經過
page 8	中醫藥聯會成立
page 8	先施兒童用品部佈置完善今日開幕
page 8	今日甲組足球賽南華兄弟出師哥哥下山會蘇皇軍弟弟渡海戰警察會大檯客迎擊米杜息
page 8	學界籃球賽代表大會決定比賽地點及日期臨時委會討論盧振暄問題准復為業餘球員減罰一半
page 8	南華田徑部議決定期舉行十七屆陸運增設公開競賽項目多款本月十六日起開始報名
page 8	我國紅十字總會籌辦殘廢軍民療養院大發宏願務恢復殘廢者為完人特別注重骨科專修補殘廢肢體
