page 1	希特拉考慮德國復辟問題
page 2	日方將取單獨行動
page 2	陸外兩省意見一致
page 2	須磨發表重要談話
page 2	華北日駐軍演習第三日在津郊作攻守戰爭演習各種新武器及化學戰爭
page 2	蔣壽獻機紀念會開會研討議決獻機祝壽辦法是日全國各地一律懸旗誌慶京閩滬各地昨紛紛致電祝賀
page 2	各地僑胞匯回捐款
page 2	四路軍共捐十萬元
page 2	桂省捐十萬元購機
page 2	政院休假半日慶祝
page 2	駐日法使署否認法國干預中日談判一再宣佈法俄協定以歐洲為限
page 2	糧食問題日趨嚴重高秉坊談價漲原因久旱不雨人民紛紛囤積糧食世界產麥各國歉收進口遽減
page 2	閩滬各界賀電一束
page 2	京市黨部電賀蔣壽
page 2	要求張川舉行七次會談商討內容相約嚴守秘密須磨已攜新訓令來華明日可抵滬日陸外兩省意見一致態度極強硬
page 3	中政會決議追認前西南高院判決各案任令王子壯為銓敘部政務次長
page 3	政院通令各省設立電氣事業建設基金
page 3	海關總稽查處今日由京遷津
page 3	河北監獄政治犯絕食要求改良待遇
page 3	孫科兼任總理學校校長
page 3	何鍵赴漢轉京
page 3	戈定遠昨抵平
page 3	禁用白鉛公約影響我國工業
page 3	我駐日使館茶會招待蔡金兩藝術家
page 3	阿王離平南下
page 3	劉鎮華昨飛京
page 3	辦理不善　辦
page 3	日警侮辱英水兵基隆地方發生之意外事件英照會日政府要求賠償與此案有關之英水兵一名昨在星架坡奉令乘機　港李德爾原定訪問日領海計劃緩期實行
page 3	準備二次大戰法空軍部長提擴充空軍計劃英海軍建築程序有滿意進步比國會開會討論陸軍改革案
page 3	我國在德定制機車由德啟程運青
page 3	日駐俄大使重光下月赴任
page 3	豫西亢旱異常
page 3	屈立伯等今晨由滬飛粵
page 3	北寧路灤河鐵僑橋身傾斜危險
page 3	不干涉西國內亂中立委會今日再開會葡將再控告蘇俄謂其鼓動西國赤色革命料各國將群起責難蘇俄
page 3	叛軍圍攻西京益急叛軍最前線距西京三十五里俄工人捐款四千餘萬盧布助西政府軍
page 3	民政府命令香翰屏徐景唐等任陸軍中將王銘章陳離陳萬仞等晉任為陸軍中將
page 4	學界籃球賽西南華大奏凱今日港大對華仁將有劇戰
page 4	南華陸運會下月八日開幕五項運動報名人數過少取消
page 5	梁寒操談國大開會期未內定
page 5	省市教育兩重要問題省擬減整個教育經費四十萬市擬採用國技體育不全重西洋體育
page 5	筵捐潮平息後鄭芷湘請辭職訊財廳尚未批准
page 5	軍事攷察團之返粵訊兩星期內可返抵廣州各團員無奉委要職
page 5	省銀行獻機捐國幣十萬元寧子良參加獻機
page 5	日水雷隊司令細萱抵汕將赴粵
page 5	前日廣州兩火警糙米欄與泥城
page 5	顧翊群昨日北上赴京謁孔商金融
page 5	星洲潮僑匯兌公會擬僑批改用中央法幣汕公會分兩派主張不同現以兩個月為籌備時期先請中行備足一元法幣
page 5	退思園昨晨訪問記孫科召開兩重要會議紀中校校董推孫科任校長為解決校潮之根本辦法孫科昨回翠亨就校和職各祭胡人員之行蹤續誌
page 6	煙酒稅局令恢復秤收秋煙
page 6	剪刀行西家因要求加薪罷工
page 6	律師換證糾紛圓滿解決
