page 1	德蘇意之三角關係
page 2	廣州日軍糧移藏西郊市內謠言滋熾日酋極為恐慌
page 2	李品仙談施政方針努力增加生產務求自給自足
page 2	京滬沿線形勢緊張
page 2	傳汪東飛向日乞援
page 2	日方企圖調整日美關係日美談判不久可以舉行蘇日關係真意向尚未識
page 2	教部重視社會教育並申令各省市寬籌社教經費
page 2	英法聯軍注重防守戰術以逸待勞避免重大損失將利用炮台區迎擊敵人
page 2	浙境我軍進襲彭公克復西北高地
page 2	贛北游擊隊近甚活躍日人後方時被破壞
page 2	越界築路區警權解決辦法滬工部局提出用意只係一種暫時性質
page 2	英海上捕物法庭首次開審決將德輪兩艘判歸英國所有
page 2	荷蘭宣佈戒嚴
page 2	蘇芬談判即將繼續舉行蘇聯廣播抨擊芬外長
page 2	昆明海防航空運輸恢復
page 2	日機轟炸莆田擊中聖路加醫院炸毀病房十二個
page 2	由滬駛錫日兵車中地雷傾覆列車九輛日兵一死傷甚多
page 2	蘇大使館否認蘇大使曾赴滬與新任駐東京大使會面
page 2	吳忠信參加活佛登位禮昨動程赴拉薩明年夏間回京
page 2	鄂中仙桃鎮戰事激烈贛北我進抵武寧城郊呂梁山我軍迫近臨汾展開激戰
page 3	周啟剛發表公告海外僑胞書肅奸禦侮完成抗戰責任
page 3	天津美商會主張美政府勿與日本續訂商約以俟日停止壓迫華北商務美商在華北貿易多所障礙
page 3	美國務部解釋美洲中立地位南美洲集體海軍的力量足以制止戰國潛艇侵入
page 3	英報評論蘇日妥協可能
page 3	戰時英國印度地位問題印度各州內閣多相繼辭職三姆爾子爵提議極須注意
page 3	希特勒疑慮蘇意政策將命戈林攜親筆函赴羅馬勸意相認識德蘇協定妙用
page 3	蘇土談判行將恢復羅國亦將參加
page 3	近東四國將開會議
page 3	瑞士國會改選並無重要變更
page 3	意內閣新議員昨日舉行就職
page 3	納粹鐵蹄下波人　遭蹂躪許多波蘭人被判處死刑
page 3	顏惠慶偕胡適拜訪美國務卿
page 3	美通過弛禁軍械案英美極為興奮大批飛機坦克車即將由美運英德認美弛禁軍械即公開助英法
page 5	日軍大部突增九江
page 5	突向杜阮井根推進
page 5	三埠台山備戰甚忙
page 5	我反攻寶安日軍佔大頭嶺昨仍在沙深路血戰日機昨又狂炸魚涌
page 5	我軍分路襲攻深圳
page 5	昨日機狂炸沙魚涌
page 5	往菲律濱避難之限制壯丁無避難之理由我領事請求改善華僑入菲待遇
page 5	廣州市面我國幣價驟漲日軍多抽調往別處新編偽軍分防市區物價比兩旬前倍漲
page 5	禁學校拒收轉學生免費生
page 5	無線電台取締收拍明碼電報
page 5	財政部核定粵桐油運銷法
page 5	旅客攜款入內地沿途軍警切實保護省府令各地遵照
page 5	六省代表商定解決米鹽問題
page 5	我軍攻三水城越過黃竹坑在城郊激戰
page 5	瓊崖抗戰近訊臨高我軍夜殲日軍我計劃分路反攻瓊海可恨之漢奸洩我事機
page 5	吳川縣府設兵役教育區
page 5	台山各界努力徵募棉衣
page 5	台山多事動盪不定近又拒用殘舊國幣縣府嚴厲查禁破獲拒用案四宗
page 5	日又增兵九江鶴山當局已增兵保境日軍向杜阮並根推進遭伏受挫三埠台山備戰之忙碌
page 7	輪艇誤觸水雷案昨又救回乘客三人一留院傷者昨日已斃命
page 7	英戰時救濟會今日開賣物會
page 7	海軍船塢試放空襲警報
page 7	今日賽馬蠡測孫漱犖將再出執鞭
page 7	爛頭島間海峽仍通小輪在長洲觸水雷說不確
page 7	失業教員派任連縣小學校長
page 7	商會定期會議
page 7	大寶星輪船失事原因年齡過老不禁風浪襲擊
page 7	義軍集中訓練將于下週開始
page 7	失蹤富家子係鄭國有之姪去時聲言往九龍買無線電機與鄭同行之電器工人亦失蹤
page 7	深圳寶安我大殲日軍一日晚全線大舉突襲激戰竟夜日機昨飛炸沙頭角死關員一名
page 8	槍聲一響九賊入店
page 8	劫掠鉅款逃入華界
page 8	灣仔南塘道山坭傾卸慘劇坭工三人走避不及被壓斃數名受微傷未有入院療治
page 8	圖殺親夫疑案昨續審証人馬壽自認曾代物色兇手小販述次被告買三角銼經過
page 8	婦女為多
page 8	兇暴之舉
page 8	即憤然日
page 8	買三角銼
page 8	南華華新陣加山迎戰米軍榕生德譜復出英棋卦印中鋒蘇皇軍與九龍之戰宣佈改期
page 8	體協會乒乓決賽今晚四強會戰
page 8	勵進團週年水運宵來二次決賽成績
page 8	陸運報名今日止截
page 8	南華消息彙誌
page 8	明日旅行大潭水塘
page 8	公開籃球賽今夕三場戰事
page 8	落馬洲又發生劫案九個幪面賊夜劫米店財物被掠一空統計約值三千元肇事地點貼定警署賊鳴鎗示威
