page 2	豬仔頭問題
page 3	京政府擬去袁乃寬改用顏惠慶長農商即由顏代閣惟顏未允
page 3	法國駁覆金佛郎案照會已送到外部
page 3	王正廷返京
page 3	葡使願任調停海關案冀和平了結惟各國以葡有澳門關係故不允
page 3	曹錕令各省長為眾議員選舉總監督
page 3	此間北京國民黨派譚伊逵李大釗許寶駒等六人赴粵出席黨務大會
page 3	吳佩孚擬派寇英傑旅援粵寇已隨蕭耀南赴洛面商俟就緒後即南下
page 3	趙恒惕軍克敘浦洪江後蔡鉅猷部被隔斷惟田應詔劉敘彝兩旅仍集中黔陽現趙派員許田劉投降一面仍令前線勿懈防守對黑七周朝武主殲滅
page 3	聞趙恒惕向洛吳提附北三條件一助湘善後費二百萬二湘吏俟統一後再發表三湘省軍事鄂須任接濟械彈吳對首二條皆拒絕
page 3	李耀漢赴衡陽取道宜章往謁沈鴻英
page 3	廈訊何成濬來廈令張貞許卓然聯合舊部與臧致平合作陳榮標團在古田潰變謀響應盧興邦陳馳回制止
page 3	憲政黨瓦解各分子仍復回自己本政團名目改稱中立派
page 3	四日各使會議金佛郎案荷
page 3	使主交海牙仲裁
page 3	葡符使來電願任京粵關餘調停之勞惟駐京各使均無表示
page 3	憲政黨仍反對換警衛案五日談話會相約不出席
page 3	甬紳電京同鄉謂浙洋泊北歸艦七艘人心恐慌
page 3	馮玉祥與吳毓麟商設西北邊疆電線
page 3	四日曹錕令各省長為各該省眾議員選舉總監督
page 3	四日美公使因關係餘事赴粵
page 3	吳佩孚電曹錕催築道濟路以聯絡膠津漢滬交通
page 3	荷使有請假歸國訊
page 3	吳佩孚派何雲謁段祺瑞請段勸盧永祥將增防蘇浙邊境各軍調回
page 3	膠注沿路開埠各界反對極烈魯省會將推代表入京力爭
page 3	老洋人西竄隴東
page 3	齊燮元電蔡成勳請蔡任對浙軍事蔡索餉械甚鉅
page 3	川軍熊克武便懋辛三路反攻北路賴心輝湯子模由資中安岳向潼南逼合川中路但懋辛周西成由內江隆昌逼銅梁璧山南路張沖于際唐胡若愚由滬州合江逼江津將有大戰
page 3	滇軍王秉鈞免職之內幕湘滇兩軍將來之趨勢
page 3	建國政府又將產生
page 3	湘滇軍暗潮近聞
page 3	四號粵聯兩軍之小戰
page 3	業主住客之爭執
page 3	何東已啟程返港
page 3	將有大輪到港
