page 2	再論本港食水問題
page 3	昨日京滬電未到
page 3	北京電
page 3	漢口電
page 3	北江戰事近訊
page 3	北伐軍集中仁化之別報
page 3	省河賭博之近狀
page 3	南海令有更動消息
page 3	聯艦要聞兩誌
page 3	定例局聚會紀要
page 3	乍畏街劫案續誌
page 3	七月份之雨水
page 3	銀價
page 3	收回屋宇案
page 3	茶居工人又要求加工
page 6	湖南選舉省長之形勢
page 6	齊焚元竟不會奔喪
page 6	滬海員要求加薪誌
page 6	日俄兩政府已正式交換意見
page 6	東華醫院會議食水問題
page 6	電話發明人逝世
page 6	馬克價再跌
page 6	煙案
page 6	賭案
page 6	捲煙未納稅被罰
page 6	搶案
page 6	摩托車傷人
page 6	小火虛驚
page 6	圖劫案續聞
page 6	小販須知
page 6	公眾假期之辦公時間
page 6	傳染症報告
page 6	　國將強迫德交賠款
page 6	仰光火車遭旋風脫軌
page 7	民軍入踞新會詳誌
page 7	廣西軍事消息
page 7	戰事消息別報
page 7	民軍首領被　
page 7	各縣協款維持紙幣
page 7	陳永安就香山縣長任
page 7	搜捕情形彙聞
page 7	饒平警區抽收死豬捐之創聞
page 7	歡迎商團軍近誌
page 7	瑣聞一束
page 7	飲豬肉湯幾累兩命
