page 2	香港屋租問題二
page 3	閣議傳觀沈鴻英來電疑係告急請援
page 3	溫樹德受政府八十萬對戰事守中立
page 3	丁槐索款不遂將不赴粵
page 3	張紹曾援引英國法欲解散國會抵制不信任案請示黎元洪黎謂不願再為第二罪人
page 3	財長劉恩源否認鴉片公賣
page 3	曹錕邀各疆吏聯電表示統一主張
page 3	吳佩孚電曹錕謂西南五省聯盟不足信趙恒惕無　志鄂海軍允守原狀
page 3	段祺瑞對海軍及孫文通電讚為新發展必由之路
page 3	臧致平迎李烈鈞駐閩南防禦孫傳芳
page 3	黎元洪派王芝祥入川慰問
page 3	蕭耀南因川局已定令寇旅中止開拔聞將改赴援黔
page 3	吳佩孚十八日赴龍門避壽
page 3	吳佩孚令張克瑤由南雄攻粵另派二旅一團兼程入粵
page 3	助張並令蕭耀南飭漢廠趕造軍械接濟
page 3	奉天添練四混成旅歸朱慶瀾節制
page 3	張懷芝編對蒙作戰計劃限七日編竣
page 3	張紹曾命財部速籌五百萬作征蒙用言如奉不侵直直決不與奉啟釁
page 3	王懷慶十九日赴熱河
page 3	王永泉電張紹曾藏致平孫傳芳不和瞬必衝突
page 3	吳新田部十四旅已到梓潼
page 3	吳佩孚電鄂抽調援川軍一旅槍千支彈三萬助袁祖銘回黔
page 3	吳佩孚電鄂阻蕭耀南勿赴洛陽蕭祗代表往祝吳壽
page 3	盧金山抵永川重慶南北岸經楊森軍搜索已無敵蹤趙榮華部亦收復綏定
page 3	內閣局部改組說甚盛一派主祇更動外交財政另一派主更動司法教育外交財政
page 3	蔡成勳電請款助林俊廷攻粵
page 3	吳佩孚派員赴粵密聯溫樹德出資八十萬擔任海軍中立
page 3	參議院將不信任案移交眾議院擁閣派消極抵制須聲明不議閣事方出席
page 3	張紹曾電齊燮元謂國事協議會仍懇向懷疑各方疏通俾和平統一早日實現
page 3	滇沈兩軍戰情詳報
page 3	解除張連舉部武裝
page 3	梁鴻楷防守黃沙
page 3	廣州商團來電請阻軍隊強借槍彈
page 3	永平輪船被劫餘聞
page 3	廈門近訊
page 3	國寶銀行債主聚會
