page 1	美國與遠東
page 2	某軍事觀察家縱談戰局前途
page 2	粵北我軍乘勝追擊繼續克兩龍墟綜計此次良口戰役日軍傷亡六千餘人
page 2	綏遠我軍連戰皆捷向包頭進擊
page 2	日機殘骸運抵渝市
page 2	美海軍轟炸機假手轉賣英法已得羅斯福總統批准謂其並不違背中立法
page 2	增津白銀問題已獲解決不久可停止封鎖
page 2	溫逆應彪傷重命殆
page 2	政友會正統派首領久原攻擊米內之柔懦政策曾向米內提議現閣全體辭職米內不接納久原辭內閣顧問
page 2	日人計劃謀奪上海租界倘意將來實行參戰日本則實行此計劃
page 2	晉城外圍戰事仍烈
page 2	日宣撫班一隊就殲
page 2	美令全國兵工廠日夜不停工作分三班輪流
page 2	鄱湖東岸日軍死傷慘重
page 2	館史國籌備修史工作
page 2	農學會年會圓滿閉幕
page 2	湘北我軍奇襲奏功斃日軍二百餘
page 2	沙洋偷渡日軍被擊漢水河畔日屍纍纍豫鄂會戰結束日軍已告慘敗襄河西岸即將繼續展開大戰
page 3	聯軍現藉優勢火力阻德軍坦克車前進
page 3	德坦克車二百被毀
page 3	英軍極力抵抗德軍
page 3	法總理雷諾發表廣播演說丹刻克聯軍撤退成功德軍第二次進攻不逞
page 3	英貴族院將開秘密會議英政府已決定限制民間使用多種物品
page 3	聯軍亟需美助飛機
page 3	意參戰問題仍屬遲疑不決近來備戰確愈積極亦有料其放棄參戰
page 3	此種希望
page 3	英勇事蹟
page 3	最後勝利
page 3	飛入德國
page 3	必須抵抗
page 3	法新內閣全體名單
page 3	美遠東政策實在無須變更日本國勢益弱無能作惡美朝野更主張堅強對日
page 3	羅經濟機構改變戰時組織
page 3	編外話魏剛將軍新戰術
page 3	魏剛線大戰第三日德軍猛攻仍無進展德　克車集體進攻被毀四百輛法軍在強敵壓迫下仍固守據點
page 5	石岐日艦擾犯睦洲
page 5	加緊策動各地民眾
page 5	江會各線最近戰況
page 5	東江我軍克復共和夾攻增城衝進增城東北郊展開劇戰我民眾志切復仇勇襲朱村
page 5	我克共和日軍南潰
page 5	我軍攻進增城近郊
page 5	民眾勇襲朱村奏捷
page 5	粵北各界紀念禁煙焚燬煙具表示禁絕決心火炬巡行喚起民眾戒吸
page 5	主席致詞
page 5	在港候用公務員報名踴躍將發給旅費赴韶合格者分派工作
page 5	火炬巡行
page 5	焚燬煙具
page 5	日兵反戰愈趨普遍
page 5	襲擊剪刀墟之激戰
page 5	粵南桂南我軍分途出擊乘夜冒雨猛攻邕江北岸據點日兵三百餘因厭戰被拘押欽西北一帶醞釀再度大戰日巨型艦一艘突開到南海蔡廷鍇召見張炎指示各種機宜
page 5	日軍又圖進窺上思
page 5	行署嚴禁收繳民槍
page 5	日兵輪在青溪河面水鑊爆炸斃日官兵多人炸死日中隊長二小隊長一日兵四人
page 5	我機飛台赤海面轟炸日艦
