page 1	我日戰局之現勢
page 2	上總統闡明國策拒絕交戰國利用保持對蘇良好友誼仍守英士盟約英不假道上境進軍蘇聯大可安心
page 2	北非英意空軍發生激戰　襲　馬桂魯被　機　以傷八
page 2	保派重兵增防邊界　國重申中立
page 2	美投彈瞄準器並未讓給英國惟製造此器者已為英國製造
page 2	印督致雷英首相頌揚英人抗戰盡力　方資　加強英國抗戰力量
page 2	英國空軍襲擊荷德各地　十　　及柏林先後被炸死傷多人
page 2	意機襲擊薩　尼加
page 2	西馬其頓線意軍大受挫敗希意兩軍肉搏甚烈希軍奪得主要山峰
page 2	荷法海岸全線英軍已佈水雷駐各國英領事已通告航　界
page 2	羅馬方面表示樂觀
page 2	意電攻勢進行遲緩
page 2	意圖破壞希人團結
page 2	英軍已在希臘登陸
page 2	胡大使在美演說遠東局勢無和平可言中國繼續作戰將來決不受屈林語堂請美先贈日相頭痛散
page 2	巴爾幹局勢緊張
page 3	日在華僑戰三年結果日勞動階級每日工作十六或十八小時為世界任何一國家所未有
page 3	美國大選前夕農民的傾向二阿思譯自美國民族雜誌
page 3	重慶號機郵件均遭損失
page 3	日六次詛租油船俱被美國拒絕蘇租十艘美油船獲准蘇又向美購大批汽油
page 3	張司令主席巡視桂南一日行抵賓陽召集鄉長訓話
page 3	滬美僑一批昨日返國父別子兮夫別妻臨歧分袂兩依依
page 3	華北美僑定期撤退
page 3	越南政府行將改組越魯戴　已辭職
page 3	國立中正大學開學總裁訓詞全文
page 3	天津英租界華籍巡捕突告罷工傳有新民會份子從中挑撥工部局考慮要求即告解決
page 3	晉西我攻克兌九鎮晉南日犯茅津被我擊退
page 3	黃浦江外輪四艘被扣滿載棉花及絲已被日軍沒收
page 3	豐順古稀老翁扶杖送子入伍
page 3	我軍迭克名城滬市金融活躍
page 3	津皮裘輸出尚未絕望日軍勸美商暫聽候檢驗
page 3	傷兵發起捐獻榮譽號機
page 3	駐美日大使職無人願任日美關係仍緊張繼任人選成問題
page 3	意聯轟炸回教聖地回教協會倡議號召信徒反抗
page 3	鄂率目熾開始崩潰我軍昨衝入宜昌鎮南關防城日軍撤退平山日軍將竄入越境
page 4	輕快明朗化的紅豆曲將成為一九四零年的新型劇紅豆生南國春來發幾枝願君多採擷此物最相思
page 5	封鎖後之南頭近況
page 5	日以寶安為練兵區
page 5	建廳積極計劃解決來年糧荒動員廣大民眾推行冬耕運動本省氣候適宜收獲可無問題
page 5	冬耕兼治標本
page 5	地方協助實行
page 5	種子就地採購
page 5	粵參議會厘定押利穀辦法省政府已通飭施行
page 5	石龍形勢緊張
page 5	東江惠海陸三縣聯防張化如充主任憲組辦事處惠油船失火焚電油二百罐
page 5	粵財廳電所屬機關廳款一律解庫征率外附加者停止征收
page 5	我機偵察虎門
page 5	政務視導團抵連陽召集連縣鎮保校長訓話邊疆施教區舉行漢徭聯歡
page 5	梅縣青年踴躍從軍十月份千四百名
page 5	南雄籌設紙廠
page 5	中央決保衛台山三埠何部長李主席電覆解釋群疑彭霖生增強六邑之自衛力量
page 5	潮汕空氣緊張美艦四艘抵汕護僑一度派機三架起飛偵察汕市我軍昨收復店仔頭進擊潮城
page 5	美艦四艘抵汕護僑
page 5	潮東我軍克店仔頭
page 5	潮城外圍連日戰訊
page 5	桂南日殘兵調寶安後我派大軍南下保衛淡平路沙深路戰事有一觸即發之勢深圳等地日新兵二千昨他調
page 6	中山恢復守備總隊
page 6	高鶴沿海安堵如常
page 6	白蕉日兵略有增加
page 6	日軍宣佈開放灣仔
page 6	東江護僑事務益週密水陸交通採取密切聯絡積極組合作社利便歸僑
page 6	桂榮譽軍人響應獻機官兵八百餘人重上前線
page 6	　濟部令粵省統制鋼鐵
page 6	積極推行救旱工作
page 6	四邑旱象已成當局力謀補救
page 6	設法防除禾稻害虫
page 6	桂林商人認儲百萬元認儲數額依營業稅比例分配明年一二八前儲足五十萬
page 6	桂省振會港辦事處成立再　兆棠李四　主持
page 6	粵省振會設南路墾殖區
page 6	陸豐糧價飛漲縣振會募款施粥
page 6	新開新鶴路日軍趕築工事中山鬥門乾霧安謐如恒中山守備總隊奉令恢復組織澳門灣仔海道交通昨日開放
page 7	各埠僑胞踴躍捐助粵賑濟會該會又收到捐款數萬元第八批義民將離港回韶
page 7	鶴山商會今歡迎李功權
page 7	馬頭涌難民今日遷赴粉嶺
page 7	因公殉職撫卹辦法
page 7	初期團員徵二千名
page 7	保衛團將成立各難題已解決
page 7	寄年咭勿固封
page 7	修正交通則例汽車肇事須據實報警
page 7	石峽尾貧民屋決拆卸政府限令居民盡今日遷出
page 7	粉嶺下月賽馬舉辦一元彩票
page 7	回國桂僑登記已有七十餘人
page 7	防空演習將再舉行前次演習缺點仍多希望下次予以改善
page 7	藝術觀賞會按月展覽古今書展
page 7	彩票明年增稅由百分之五增至百分之十
page 7	警探連破三宗拐案油麻地又有拐帶機關搜出小童七名拘捕疑犯多人三少女被　赴星當娼幸截回
page 8	中立國輪照常來往
page 8	法輪停航港械原因
page 8	港政府新委任
page 8	鴉片價格暴漲癮君子多改吸紅丸港九紅丸窟又呈蓬勃狀態
page 8	搶購情形
page 8	炮兵繼續演習本　　演日　及地點
page 8	私運圖利
page 8	百餘英婦孺籲請准免疏散疏散顧部委會將予以考慮昨日有四人申請已遭否認
page 8	第十次特別賽馬成績名駒花惠竟落第第七場果爆出冷門勃列卑一嗚驚人
page 8	港府增訂職工管制法隨時可令任何人離職或留任並禁止一切罷工及怠工行為
page 8	越政府正式宣布禁止法輪開來本港中立國商船照常來往港越線港出口貨或不致受重大打擊
page 10	今日星島迎擊蘇軍光華離營戰洋水兵
page 10	四比零香港大勝警察
page 10	米軍淨勝九龍
page 10	勵進週年水運昨閉幕百咪背泳沙惠英創全國紀錄
page 10	公開排球戰訊
