page 2	對日交涉大警告六亡國條約的痛史國恥紀念的公憤願我國民其無忘
page 3	曹錕電林虎請率陳軍師旅長先就職如失敗可退入贛省
page 3	沈鴻英電府院謂現集合隊伍餉械請由港轉交
page 3	粵議員聯保羅文幹出獄
page 3	黃郛辭職巳照准
page 3	曹錕邀王寵惠顧維鈞赴保
page 3	元老院官制起草已竣
page 3	某助張作霖謀迎帝復辟
page 3	已漸徵實黎元洪諭寶熙誡清室勿上當並囑軍警密防
page 3	吳景濂亦保王正廷長外交
page 3	廿一條駁稿援引美國不批准凡爾賽和約為例但民四以來中日各交涉國會未批而認有效者例甚多故定稿又須再改擬將人民否認一層加入
page 3	張紹曾咨國會金佛郎案抽出數件卸責於顏惠慶顏函詰張謂任內並未承認金佛郎請補提全卷勿隱慝
page 3	吳佩孚囑蕭耀南監視趙恒惕防趙變態改府西南
page 3	曹錕促張紹曾補下工兵督辦令如抗即討
page 3	黔軍三千退鄂宜都境由吳佩孚給械彈即趕拔援川
page 3	內閣三十一日議決各公債停抽籤一年中國銀團憤財部失信急索到期款舉代表謁外使商與外國銀團合抗主即行安格聯辦法
page 3	張紹曾派王芝祥赴鄂鼓吹國事協進會吳佩孚電蕭耀南謂此僅夢想對該會勿表態度吳景濂亦譏為春婆夢
page 3	張紹曾邀黃郛復職允分任外交困難黃答先籌使館經費免駐外各使罷工再說
page 3	閩各界三十一日開會游行力爭收回旅大態度極壯
page 3	漢口已拒日幣京津已停進日貨
page 3	外長沈瑞麟對覆牒請教顏惠慶王寵惠俟商定再發
page 3	聞孫傳芳三十一日開拔赴福州
page 3	不信任案連署人數已足葉夏聲張我華分別在參眾兩院提出吳景濂派決不出席並離間十政團
page 3	川劉成勳電張紹曾自願附北乞停攻川張電吳佩孚吳覆勿墮緩兵計
page 3	龍濟光謀再充瓊崖督辦
page 3	醞釀中之省長問題
page 3	保定召外交會議王寵惠顧維鈞王正廷黃郛卅一日同車赴保俟四月一日到津後決發通電
page 3	張紹曾接蘇齊燮元電已聯鄂皖贛魯同電孫文勸其離粵息爭
page 3	楊森攻忠州至三十日猶未開拔今集後路軍預備總攻擊
page 3	京傳孫洪伊謀繼閣允以舉曹錕交換改造純粹國會內閣民黨言此係張系製造空氣湯漪言苟如此入閣必須在國會除名京又傳曹錕允買票每票給價萬元先發預約俟兩月後實行選總統暫予吳佩孚兩月期限使平川粵免吳勸阻
page 3	溫樹德有去志
page 3	孫科傳秉常往澳門
page 3	昨日晚車未到
page 3	丁槐定期來港
page 3	被控強姦少婦
page 3	深夜遷居被拘
