page 1	納粹之新攻勢
page 2	我軍大舉反攻鍾祥梓隨縣隨縣外圍在我控制中
page 2	阿汪談判初步性質
page 2	華北蘇使領署完全停閉
page 2	高郵以南殲日三百獲步槍百餘支
page 2	日艦犯君山被我擊退
page 2	日審兵在滬橫行入法租界拘人日人此種舉動甚為可怖許多人因此已潛離上海
page 2	某軍事發言人暢談粵桂戰局日乘歐局突變試探英法態度我應予日打擊友邦亦勿容忍
page 2	膠東日軍竄擾在痛南中
page 2	湘民普遍爭服兵役
page 2	潮汕我軍克下浦山
page 2	閩省各縣礦產擇要
page 2	湘省煉樟油以代煤油
page 2	中央重慶兩大學均被日機轟炸
page 2	津法日當局行二次談判討論實施日法協定
page 2	英銀行否認限制外匯買賣
page 2	灣沚附近日軍中我地雷
page 2	英海軍接管法艦隊
page 2	詹森中止北上
page 2	日本股　慘跌
page 2	皖教廳長方治出巡視察
page 2	港獻劍團謁龍主席致敬
page 2	英大使已接得訓令今日或可遞交日方英政府之覆照料難滿日大慾英法兩國合力保持越南地位
page 3	阿蘭港之戰法主力艦兩艘被焚一艘擊燬另有一艘衝過英海軍封鎖線
page 3	邱吉爾報告法艦隊大部已接收或擊敗積極保持地中海控制權力
page 3	美同情英國英國接管法艦隊甚為正當結果可使英海軍實力增加
page 3	法海軍發表法艦隊被英接管經過事實法政府已照會休戰委員會
page 3	英外相報告英接收法國艦隊實非得已所以維持既定之戰爭政策
page 3	宋子文曾赴紐約
page 3	法輪法艦避入聖約瑟港
page 3	英德空軍互擊對方陣地德空軍襲擊英倫似已進入新階段
page 3	日野村大將將赴菲島
page 3	羅新內閣名單發表反猶太人色彩甚濃
page 3	加拿大人踴躍從軍
page 3	日海軍當局又對美施恫嚇美無意接納日方要求決心維持太平洋現狀
page 3	羅內閣發表宣言聲明外交政策盡力維持東南歐之和平適符軸心國家政治制度
page 3	荷蘭駙馬在英檢閱荷蘭艦隊
page 3	星洲當局決心拘禁一切敵僑
page 3	愛爾蘭總理重申中立立場
page 3	法修改憲法草案增加總理勢力欲效美國　制
page 3	世覽會英陳列館突有炸彈暴炸炸斃二人傷五人
page 3	英眾議院將開秘密會議討論經濟作戰部工作
page 3	美獨立紀念日羅斯福野外宴遊
page 3	墨西哥　人謀煽起大暴動此案案　嚴重料將干及外交
page 3	英武力接管法艦隊傳法對英斷絕邦交貝當托美向英抗議截留法艦英認貝當政府不只消極助德
page 5	邊界日軍撤退情形
page 5	日在邊界架設機槍
page 5	東寶團隊準備反攻
page 5	廣州傀儡暗鬥中彭派親信被狙擊斃命市產登記處為肇禍之胚胎
page 5	禪炭日軍曹我重挫尚路潰退奪取民糧我跟蹤掃蕩俘獲日軍多人官窯日軍增開馮涌被截擊
page 5	廣東傀儡之爭權陳派奪回不少稅捐各恃背景支配偽縣長
page 5	南洋惠僑向李漢魂獻旗
page 5	日兵厭戰私逃被截獲
page 5	日封鎖中山海面三澳交通未斷白蕉偽軍犯紅坭灣不逞陸洲日軍攻入玉洲民眾遭害銀坑日偽私放貨物發生衝突
page 5	日再擾紅坭灣不逞
page 5	日軍大屠玉洲民眾
page 5	銀坑日偽發生衝突
page 5	侵踞深圳日偽大部撤去邊界封鎖之最近情形形勢已轉和緩我團隊準備反攻
page 6	香翰屏談救濟東江糧荒問題米石源源赴惠米荒即可解決今後宜節食及取締奸商操縱
page 6	嶺東日艦增加窺擾樟林饒平日偽二千增援澄海進犯蘇南潮揭線我炮轟潮城予日重創
page 6	嶺東日艦窺擾饒平
page 6	日犯蘇南被我擊退
