page 1	羅斯福大選勝利之感言
page 2	蒙偽軍變更戰略因籌備未妥犯綏期或將展緩將以百靈廟商都為根據東北路同時並發綏當局整頓北邊防務實力充足可保無虞
page 2	綏省當局鞏固北邊
page 2	包王二逆到津活動
page 2	日軍密謀和俄攻綏
page 2	匪部缺餉發生恐慌
page 2	美籍婦女許萬素貞被謀殺案最近經已破獲兇犯為一車夫貪財動殺機幹探扮匪徒卒將巨憝擒獲
page 2	是案內容因財起意
page 2	破獲經過幹探飾匪
page 2	何鍵否認湘省府有將改組說
page 2	剌汪案犯余立奎等即將起訴
page 2	中央國府兩處舉行紀念週馮玉祥報告挽救國難應注意事項林主席報告復興民族的基本條件
page 2	田代宴宋商討冀察問題
page 2	上次會談無結果川樾約張繼續交換意見張擬於十日下午在官邸接見川樾擬歸國一行但行期未定
page 3	中英庚款董事會昨日舉行會議
page 3	滬日商紗廠工人怠工要求加薪
page 3	劉維章過漢赴洛謁蔣
page 3	蘇豫陝三省長途電話通話十二日開始營業
page 3	魯韓黔顧電財部請嚴懲偽幣犯以安金融而儆效尤
page 3	孔祥熙尚須續假靜養
page 3	外部換發駐外使領鈐章
page 3	瑞典駐華公使告老辭職歸
page 3	瑞典國王贈譚伯羽勛章
page 3	張任民任梧州關監督
page 3	九個月來糧食出口情形財部改期邀各部局商決糧食通盤計劃
page 3	保定學生減膳貢獻政府
page 3	橋本和知由津飛青晤沈
page 3	手工藝展會徵集出品規則得免運費稅捐限制
page 3	皖省興修水利
page 3	首都普考試務處昨成立陳大齊兼任處長
page 3	閻錫山講演糧價高漲
page 3	滬日人酒吧舞場遭受外人杯葛十九相繼停業
page 3	共黨婦女奮勇作戰
page 3	叛軍固守佔領陣地
page 3	叛軍佔據中央大學
page 3	馬德勒仍在官軍手中雙方攻守砲戰甚烈英法商妥決不承認國民軍政府共黨婦女軍參加作戰奮勇異常
page 3	粵本年三季對外貿易統計
page 3	湘黔公路暢通
page 3	綏旅平同鄉贈傅作義錦旗
page 3	英法對西意見一致
page 3	叛軍宣言明日入京
page 3	西京城內民氣激昂
page 3	叛軍續攻略有進展
page 3	國防委會人選發表
page 3	日軍閥企圖壟斷政權極力打擊政黨政治各黨領袖奮起抗爭日本政海從此多事
page 3	太平洋設防條約美國主張與英不同主張與其他問題同時解決
page 3	意外相抵奧京奧意邦交益密
page 3	德國社黨舉行起義紀念
page 3	美航業界勞資允開談判
page 3	津　　亂　秦心齋日內解平法辦
page 4	鐵爾登昨發表談話
page 4	今賽畢即赴菲律賓
page 4	澳名將在萌芽時代
page 4	德材盛可奪得台杯
page 4	職業員球術較優勝
page 4	球場內觀眾千餘人
page 4	友誼籃球賽休息後辛仲堅得手華人領前尼脫出而指揮反敗為勝三十四比三十一壓倒華仁隊上場京江未出僅以一分佔先今晚對南華作第三戰
page 4	兩怪傑過去之功績
page 4	講球經聽眾均神馳
page 4	論球藝鐵氏尤老到
page 4	普通界女子籃球賽計共六隊參加日間召開代表會編配賽程
page 4	拳王黑人路易斯明春來遠東旅行上海亦在其行程之列國人有一睹拳王機會
page 4	各行股票之市情
page 4	昨日廣州西紙市
page 4	滬外匯市情平穩
page 4	省法幣跌後微升
