page 2	我欲一問程天斗二
page 3	王士珍組閣將成事實
page 3	吳佩孚表示善後政見一產除交系匪系帝孽禍根二實行裁兵三促成統一
page 3	梁士詒葉恭綽尚匿天津
page 3	張作霖聞已回奉
page 3	吳佩孚抵軍糧城生擒奉軍司令李景林
page 3	吳佩孚欲靳雲鵬組閣徐不允擬以顏惠慶高淩霨過渡再　王士珍繼任現已派孫賓琦蔣雁行赴　曹錕
page 3	英使七日電張作霖奉軍集中濼州致京奉路　通如損害英僑生命財產惟張作霖是問等語
page 3	吳佩孚聞曹汝霖陸宗輿暗助張作霖餉電請徐世昌懲辦沿京奉路直奉兩軍仍有小衝突廊房奉軍因抗繳械又與直軍開戰
page 3	京津電　不滿車亦阻礙
page 3	王士珍內閣擬外交顧維鈞內務高淩蔚財政汪士元陸軍張　　海法兩部不動教蔡元培農　吳笈孫交通由高淩蔚兼
page 3	　傳顏惠慶出駐英公使張紹曾　直
page 3	京津京綏兩路
page 3	外訊張作霖集合殘部擬圖再逞並電孫烈臣派援但直軍海軍現險奉軍歸路張方苦難出國豈孫遂能人此訊恐不確
page 3	稅務　安格聯允撥鹽餘十萬遣散奉軍
page 3	張名振聞　袒張作霖嫌被監視
page 3	津訊梁士詒確乘輪赴滬
page 3	京電張景惠參謀王茲棟
page 3	　　敗率旅馳援六日抵　　　駐居康關直軍截擊遂繳嚴降
page 3	某　　　　解決時局計劃免　　　　　強　　　組閣以張　　巡閱　　　鮑貴卿督　　　　吳佩孚同意
page 3	趙倜職張作霖抗直飭趙傑　廣　之京漢路截斷曹錕令馮玉祥　　靳雲鵬旅合攻在矣激戰　日趙傑部不支旋潰聞趙倜有已向吳佩孚乞和訊
page 3	鄂省制憲呼聲甚高聞已派代表調查湘憲
page 3	津浦路修復今浦口已開車
page 3	吳佩孚宣言　騙張作霖出關　直　不越山海關一步
page 3	吳佩孚力主速　國　會議另選真　代表民意國會實行裁兵廢督
page 3	　月八號上海電漢口來電言趙倜在中牟縣戰敗馮玉祥現進迫開封
page 3	八號天津電昨　　往北京之火車已回天津
page 3	奉軍請　聯　同往　處流蕩搶掠村　晉有一火　約三千人行經前蕭租界居民頗恐慌幸不　界因查搜殘軍之直軍　　迫捕散軍在天津附近　　衡突數人
page 3	英軍　茄魯號艦長乘破冰船清淩號來津因夾河　　砲長鎗　激戰　烈　能於昨午到津後　英　河時　事已　　護清淩船上河來津
page 3	軍　　事劇其結果奉軍被俘之數逾一旅出外
page 3	七號北京電北京電　京方面除搜捕少數奉軍殘餘　外軍事　動已告終止但外縣仍尚不靖
page 3	　化鎮守使譚慶　抵　家口接管直軍第　旅　銘之職　由張家口赴察哈爾接管該軍事務
page 3	聞有奉軍貳千名由熱洵將抵通州因該軍接張作霖敗訊
page 3	現有五專員派赴戰地調查戰事損失
page 3	聞馮玉祥現預備赴開封因該處有戰事發生趙倜雖允協助　　但　必能反對吳佩孚聞陝西際樹藩已宣布獨立但直對奉戰爭已達收束地步則此種戟刺料於直無礙
page 3	徐世昌五日派鮑貴卿六日派王懷慶勸請王士珍組閣因其拒絕第三次派吳笈孫謂倘仍不允則徐氏　親到懇求仍為拒絕並恐徐氏親來七日自向徐府固辭
page 3	公使團續　會議討論時局問題
page 3	奉軍退　已過天津者人數達　萬五千以上過由海關者不足　現在秦皇島及灤州附近將敗兵　某方面推　捲　來之意味
page 3	吳佩孚七日上午一時　兵　五百人津　紮　車站　兵　佔領軍糧城
page 3	津浦路線奉軍徒步退走不成隊伍
page 3	奉軍　數逃　唐由英　義勇隊　業餘　開往該處保護外僑
page 3	八日十二時孫實　蔣作賓赴保定詢問曹錕對於時局善後辦法之意見
page 3	北京各界聯合會七日開會議決組織全國裁兵會議並　曹錕吳佩孚贊助
page 3	六日徐世昌任高淩霨長交通
page 3	日使小幡六日抵津
page 3	滬報載岑春　與直系結合前往洛陽但岑氏親信人否認其事
page 3	八日北京電據聞長辛店方面奉軍之退
page 3	四日徐世昌命令公佈八厘公債繼續發行
page 3	京當局消息四日晚張作霖與張學良梁士詒由軍糧城同乘汽車往奉天
page 3	傳聞杜錫珪之　戰隊四日上午九時半濼州
page 3	　日人夜北京衛戍總司令對北京東方　　社及各社通告回西苑退卻　奉軍第十六師及第二十五旅第二混成旅各部殘兵五日晨已解除武裝　南退卻之奉軍第一師及第二　八師經由第一師及第九師　其解除武裝
page 3	京財政部長鍾世名有於開戰之後將公款二百萬接濟奉軍費之嫌疑當局命令將其監視
page 3	東京電五日日本大藏省發表四月份對華貿易輸出一千零二　六萬四千元輸入壹千四百四　　萬壹千圓比較輸出超過　千五百八　一萬三千元
page 3	東京電六日日本外務省公佈
page 3	九號　海電　海至北京直接通車　早已恢復北京　不來海已丙星期晚亦可到
page 3	五月八號倫敦電云泰晤上報論說題曰
page 3	　號倫敦電　
page 3	馬　　離邕東　之確訊
page 3	續誌南寧某公　被桂匪劫掠事
page 3	洋服工人又圍困法庭
page 3	拉伕赴韶　驚　
page 3	省議長之逐鹿觀
page 3	海防　令就職記
page 3	笞婢案判結
page 3	金山　　　　　苦力衝突
page 6	　　惠州即因不贊成北伐不願
page 6	　拿馬　締華僑
page 6	反對合併交易所之意見
page 6	傳染症報告
page 6	燕虎
page 6	梅　督　遺產
page 6	法元帥返國
page 6	工人打鬥續聞
page 6	賣魚違例被罰
page 6	受傷　　　則
page 6	遞解案
page 6	被控懷有利劍
page 6	蛇　利　演佳劇
page 6	上海之罷工消息
page 6	英國減茶稅
page 7	佛岡縣民控告法官
page 7	廣州市學校之星球比賽
page 7	港商指數恩平縣　省跡
page 7	江西軍進窺南雄近訊
page 7	北伐贛軍分路入贛
page 7	　潯第　師返粵
page 7	令新會查煙賭委員卸　
page 7	惠愛路槍聲驚人
page 7	國立銀行之解散
page 7	　上游　防
page 7	電話局員役要求加薪
page 7	收捐又有歧視紙幣者
page 7	軍事人犯由省署收理
page 7	總司令部實行取消
page 7	增番軍隊屢因紙幣滋事
page 7	郵局之重要佈告
