page 2	調停
page 3	法部取銷報紙條例
page 3	警廳查封曹汝霜陸宗輿鍾世銘住宅曹陸在津鍾被拘
page 3	馮玉祥將任為皖豫勦匪總司令
page 3	交行選張謇為總理錢永銘副總理
page 3	將下全國廢督令改各督為裁兵善後委員長其兼省長者任為省長
page 3	政府因盧永祥請廢督特電嘉獎並擬留盧任第十師長
page 3	黎總統令張其鍠為廣西省長
page 3	政府以王士珍對於裁兵委員會謂名義未妥擬改為全國軍事善委員會將停戰廢督改編軍隊包括在內
page 3	董康高恩洪由保定回京報告謂吳佩孚對廢督裁兵及整
page 3	頓預算等均同意惟　陳炯明長粵主張先求陳民　意
page 3	黎元洪十七日電伍廷芳李烈鈞　期來京同竟初志
page 3	黎元洪宴會公使團改廿一日早十時
page 3	高淩蔚長直張紹曾長陝張其鍠長桂王永江長奉已下令
page 3	漢口訊陳光遠已將印信交蔡成勳十八日由潯赴漢蕭耀南派員歡迎並在署設宴聞陳十八晚北上先派衛隊運財物到漢寄存旅館
page 3	十八日閣議任恢華為蒙藏院副總裁孫寶琦為賑務督辦三多為會辦許寶　為銓聚局長唐在章兼國務院參議何煜任交通部查賑委員長
page 3	近傳奉直雖停戰議和但雙方猜疑太深恐難有效
page 3	蕭耀南電北京保定促組裁兵會並請先廢鄂督為各省倡
page 3	黎元洪擬向外表示施政方針一統一南北二劃分軍區三實行裁兵四結束外交懸案
page 3	保定急電蔡成勳謂廣州有變北伐粵軍後路援絕速收復贛境
page 3	曹錕吳佩孚電黎元洪直軍已遵令停戰如奉軍不來攻擊直決不挑戰
page 3	外交團定廿三日覲黎元洪
page 3	黎元洪十八日令公布市自治制定九月朔施行
page 3	廢督令聞各省代表尚未一致由曹錕吳佩孚轉電黎元洪暫緩頒發俟妥商始下黎頗為難
page 3	董康擬整頓全國財政計　一各省財政駢支機關實行裁併二改訂財政部官制三禁止截稅款
page 3	四日來省城戰潮中之見聞粵軍急於去孫之原因孫中山離省時情形十七日孫氏砲擊省城之寫真
page 3	戰事速發原因又一說
page 3	停戰係因外人調停
page 3	旅客所述之羊城狀況
page 3	馮自由朱卓文自由出境
page 3	酒樓工人加薪問題
page 6	九龍大酒店
page 6	刑名案三誌
page 6	墨西哥外債
page 6	美國禁酒新例
page 6	法總理赴英
page 6	煙未納稅被罰
page 6	西　溺斃
page 6	失物有主
page 6	　控摸竊
page 6	被　懷劍
page 6	　鐵路減薪
page 7	孫軍謀復省城之計劃
page 7	滿目瘡痍之廣州　
page 7	省議會電請陳總司令返省
page 7	魏邦平敦促陳競存返省
page 7	湯廷光調停海軍
page 7	十八十九兩日均無槍砲聲
page 7	葉舉致溫樹德電
page 7	葉夏聲亦被粵軍拘留
page 7	西堤又有火警
page 7	宋夫人離省時之化裝
page 7	省城兩日來之見聞
page 7	照常辦事之機關
page 7	前敵　伐軍消息
page 7	總統府戰後之情形
page 7	粵路通車傳聞
page 7	駐　軍隊調
page 7	警察徒手　勤
page 7	順德民軍自行解散
page 7	大搜社仁坊區宅
page 7	粵軍聯合巡查隊之布置
page 7	許崇浩之脫險情形
page 7	請伍廷芳回署又一說
page 7	十八日後之廣州市情形
page 7	澳門最近之見聞
page 7	瑣聞一束
