page 1	論自力更生
page 2	英日初步談判克萊琪報告已抵倫敦雙方意見分岐故絕無結果張伯倫聲明不變遠東政策
page 2	英政府攷慮克萊琪報告
page 2	二次談判改十九日舉行
page 2	津日軍當局擬封鎖白河
page 2	英法蘇互助協定昨再舉行談判蘇要求互助協定成立前三國先行締結軍事協定
page 2	青島英領事館工人全體辭職
page 2	晉南我軍某部乘勝突入解縣長平血戰我獲勝利
page 2	張家口日軍事法庭開始審斯比爾
page 2	綏省我軍奮勇殺Ｘ
page 2	法國將派空軍赴英答聘英機擬再長途飛法
page 2	華北大雨交通線破壞我軍一度衝入保定石家莊至開封鐵路被衝毀
page 2	湘北我某部迫近羊樓司關麟徵將軍談湘Ｘ力竭氣衰
page 2	抗戰影片運昆放映映畢即攜南洋
page 2	查德菲爾忠告侵略國注意英國實力望勿估計錯誤
page 2	沙面中國電報局定二十日結束
page 2	颶風波及閩江
page 2	顏露爾由青乘艦退滬
page 2	廣州日軍發表聲明書指香港為反日根據地廣州報紙猛烈反英
page 2	南保代表已首途赴英南保參加和平陣線可望實現
page 2	別矣汕頭一
page 2	潮安完成克復西江我迫江門中山情勢和緩
page 3	愛恩賽赴波之任務
page 3	法否認甘茂林赴波
page 3	日軍報承認蘇機襲滿成功齊齊哈爾昨被轟炸
page 3	七月上半月南北各戰場我軍戰果作戰二二六次俘獲甚多
page 3	英國南部車站發生炸彈爆炸
page 3	智利發現危害國家陰謀
page 3	英大使否認助津我游擊隊
page 3	南華南征隊淨勝棉蘭三球二比二與馬來亞隊言和菲方擬請南隊到岷比賽
page 3	夏令籃球賽本月廿五開始首週秩序已擬定
page 3	全港公開水球賽域多利挫南華
page 3	戲院職工鼎近訊
page 3	反侵略國參謀部繼續軍事談判法軍事代表團　伊斯坦坡爾英國軍事領袖愛恩賽抵華沙
page 5	可注意之虎門Ｘ艇
page 5	　江之Ｘ陸續撤退
page 5	江會之Ｘ日見減少
page 5	各　砲戰時有發生
page 5	順德便衣隊襲Ｘ續訊大良碧鑑路之巷戰Ｘ方死傷共有四名我便衣隊馬良壯烈犧牲
page 5	北街Ｘ艦艇已退去
page 5	疊石之役戰情續述
page 5	我軍進擊竹洲頭Ｘ
page 5	瓊島最近戰訊Ｘ犯保亭被我擊退黎王請纓助戰殺Ｘ不少二次進犯中途被擊退回
page 5	Ｘ猛烈攻城之激戰
page 5	黎王助戰決定反攻
page 5	Ｘ被包圍狼狽潰退
page 5	二次進犯又告不逞
page 5	深圳舉行防疫注射
page 5	深圳墟酒　茶室罷工一瞥現已復工
page 5	汕頭陷Ｘ後粵省郵電之整理
page 5	南　Ｘ軍紛紛撤退
page 5	嚴密封鎖南鵬島Ｘ陽江縣府佈告
page 5	廣州市東南上空發生劇激空戰
page 5	新穀登場續購洋米粵南米貴已有轉機專署借撥五千元購洋米新穀陸續上市米價回跌
page 5	專署撥款購免稅米
page 5	商會取銷辦米前議
page 5	合浦辦平糶款撥出
page 5	茂名穀價陸續回跌
page 5	早造收割趕速辦理
page 5	兒童教養團開始徵收兒童
page 5	中山形勢轉趨安定虎門伶仃突集Ｘ艦艇百保江會戰事亦沉寂時有砲戰
page 7	實行限制華貨入口
page 7	考察團決展期出發
page 7	港政府大募華籍工兵人數已增至三百餘名服役期限延長至五年
page 7	九龍雙層巴士俟政府批准即試行
page 7	業餘劇人演女子公厲得款撥助國內文化事業
page 7	石塊免轉口稅
page 7	滇越紅中航機改星期一飛行
page 7	菲律賓飛剪機因誤班不來港
page 7	郭　吳澤華分任商會正副主席董仲偉與容冠文任正副司庫李星衢等十五人任幹事值理
page 7	南洋荷屬實行限制華貨進口凡當地已有出產者概禁輸入港商考察團因此決暫緩出口
page 8	談話錄下
page 8	反對入伍
page 8	在七月底
page 8	請求免徵
page 8	賊匪數十人械劫新界住戶掠財物僅值數十元擄兩人向深灣逃去
page 8	強迫服役法將于月底施行檢驗體格後必要時乃開始訓練十八歲至四十一歲須入戰鬥隊
