page 1	我國應取之外交態度
page 2	滯滬外輪七十二艘日禁止外輪駛佔領港口
page 2	滬公共租界宣布戒嚴
page 2	豫東日軍千餘進犯考城一帶我分別痛擊搏戰兩日斃日四百餘燬軍多輛
page 2	西北訪問團定期出發
page 2	當陽西北日軍被殲岳陽日軍出境不逞
page 2	桂林各界公祭鍾毅將軍
page 2	羅保進行初步談判
page 2	滬又起鎗殺案程梁二人遇刺
page 2	銓敘部舉辦公務員考績
page 2	卡爾抵威海衛
page 2	滬郵管局長乍配林返抵滬
page 2	日視察團長訪越督專對某項重要問題提出抗議
page 2	龍州方面日軍北犯弄農被擊奧北日軍偷渡遭我砲擊
page 2	日偽力圖摧毀滬兩租界地位密勒評論報揭破陰謀
page 2	魯寧陽附近斃日數百
page 2	海內外各界
page 2	財部頒發命令鼓勵商人運入煤油容許商人自由運煤油入自由區無須向政府領執照及繳納關稅
page 2	蓉將辦國醫院現　積極籌備
page 2	駐教延使節可獲公民資格
page 2	中回教協桂分會昨開改選大會
page 2	陝臨時參議員延長任期一年
page 2	塔王由渝抵蘭
page 2	蘭市倡行工作競賽運動
page 2	納粹分子煽動日本圖在遠東牽制英美日大使重光抗議日人被捕案英謂逮捕日僑非係對日報復
page 3	意軍攻克巴沙拉為攻英埃初步意屬里比亞德納城被炸港內飛機輪船均被炸燬
page 3	前任荷蘭首相謀組國民陣線此項計劃必行不通
page 3	意報編製故事挑撥英美感情
page 3	羅馬發表英潛航艇奧斯華爾號被擊沉該潛艇之司令官亦被俘獲
page 3	羅國鐵衛團散發傳單警告羅人奮起工作勿割讓一寸之土地
page 3	對日南進政策英國不甘坐視松岡擬設國策會社圖開發南洋各島資源
page 3	德又封鎖法國佔領區與自由區絕不許自由通行
page 3	張伯倫的病
page 3	四角戀愛
page 3	英首相勸告英人準備勿懈
page 3	希首相廣播重申希臘中立
page 3	西班牙郵船施維拉號突然發現於巴西港外該輪此舉係恐西國參戰
page 3	美國會議員漸多贊成關島設防倘美肯支出二萬萬　千萬金元則可將關島建成一海軍根據地
page 3	德禁猶太人使用電話
page 3	崛內照會維爾斯反對禁油
page 3	美國慈善宗教團體辦理國外賑務共達十二萬萬五千萬金元亞洲各國中國所沾潤最多
page 3	蘇國會通過立國歸併於蘇
page 3	前任美農務次長侯維氏昨逝世
page 3	近衛召見白鳥敏夫謀加強軸心關係軸心國家倡組經濟集團集合蘇德日意對抗英美
page 5	在邕城內大舉拉伕
page 5	在鹽埠街縱火焚燒
page 5	邕龍公路戰事重心
page 5	我軍又再圍攻小董
page 5	匪偽爭收沙費在廣州市郊發生激戰李羅兩偽隊長失蹤死傷隊兵三十餘名
page 5	廣州灣貨運依然停頓物價繼續狂漲羅庇和斯昨警告商人不得私運貨物出入口
page 5	致函商會
page 5	防止輸出
page 5	舉辦平糶
page 5	粵省婦女組訓之推行曲江實驗區之成績談將組婦班推進工作鄉村婦女多已自動剪辮
page 5	東路華僑保護站視察記
page 5	廣三鐵路日軍車遭截擊
page 5	中山大學全部遷回粵北許崇清抵韶商洽
page 5	合利榮記市容新渡利岡丸拖輪水鍋爆炸船伴十三名祇得三名逃生拖渡即行斬纜幸未有波及
page 5	順德縣長劉超常辭職訊
page 5	日揚言必佔中山八區斗門我團隊已積極備戰日艇不斷窺伺泥灣門但未發生戰事三埠澳門航商因交通梗塞多暫結束
page 5	日偽揚言將攻斗門
page 5	小托陷後情況甚慘
page 5	三澳航商暫多結束
page 5	汪派雜軍發生火併
page 5	桂南我軍活躍邕城內外粵南我軍猛襲邊區要地邕寧發生大火情勢混亂電白浦海面日艦他竄
page 6	從化西岸又起劇戰
page 6	粵路我軍兩路出擊
page 6	嶺東戰事繼續開展我軍包圍楓溪控制日軍尖峰山日軍亦被痛殲
page 6	楓溪日軍被我包圍
page 6	潮城北郊大戰即起
page 6	瓊崖黎苗自動組軍抗日
page 6	石龍日軍竄擾茶山橫瀝
page 6	順德奸徒欺騙手段日新冒用姓名藉善行騙
page 6	教部增撥生產教育經費
page 6	三水縣黨部派員下鄉散賑
page 6	南僑團兩代表繼續離韶南返
page 6	被拉逃脫之伕役談去月杪廣州拉伕情形日軍有三次北犯企圖我大軍雲集嚴密監視日在后海另築大機場
page 6	東江南岸戰事沉寂
page 6	日軍趕築后海機場
page 6	寶深路沙頭之戒嚴
page 6	桂省力謀教育用品自給擴大教品製造所一部分改用機器
page 6	粵北我軍兩路出擊從化西岸劇戰再起日犯蘭柴坑擊潰逃我攻新街外圍克石角
page 7	魚菜源源到港市價略告　跌
page 7	佛山輪昨仍未返港但南泰公司謂該輪明日赴省
