page 1	美對日之輿論制裁
page 2	綏西激戰半月來日軍被殲數千燬戰車汽車等三百餘輛
page 2	日轟炸機又襲滇越鐵路向　遠附近投彈多枚我空軍聆報淩空截擊
page 2	鄂北偽軍不堪日軍壓迫紛紛率部反正
page 2	某軍官談定海我軍英勇事蹟下士班長王龍被俘不屈二等兵張得勝壯烈殉職
page 2	日軍兩路渡江增援龕山一帶激戰蕭山日軍圖襲錢清鎮赭山登陸日軍被圍殲
page 2	西昌各界舉行討汪大會
page 2	陝慰勞懇親週舉行開幕一日間收禮金萬元
page 2	我援兵源源開到圍殲古井殘日江會日軍乏糧四出搶劫
page 2	已獲成功使用與舶來呂無異售價則僅十分之一
page 2	川省籌備慶祝達賴坐床
page 2	桂南大捷我克復南寧日倉皇向欽縣逃避南寧大火附近村莊亦被日軍焚燬
page 3	蘇軍侵入曼那漢陣線芬軍大受威脅傳芬總理飛倫敦向英求軍隊援助
page 3	肯亡國就調整要救國就抗戰
page 3	日前外相欲利用開放長江為對美談判索價工具各方甚注意有田外相對此事所持態度如何
page 3	維里斯乘輪赴意
page 3	德將進行大規模潛艇戰海軍部已奉希特勒命令向各中立國輪採取攻勢
page 3	瑞典國會決定維持嚴格中立瑞丹挪三國外交大臣將在丹京商應付德國
page 3	日本興亞院長大發謬論中國事變結束謂不出三種　徑
page 3	英意商務談判遭遇困難
page 3	關島改良案美下議院否決並非恐觸怒日本
page 3	德輪亞爾德麥號幾被英艦截留挪艦開到強迫釋放英德海軍發生激戰
page 3	林語堂將返國惟行期仍未決定
page 3	一英轟炸機在北海被擊落
page 3	英命出海各輪須　防禦設備防德飛機機槍襲擊
page 3	滬法租界發生一謀殺案死者為偽府官吏行剌者經已逃去
page 3	顏露爾義正詞嚴主張實施禁運美國對我貸款案已定於明日通過
page 5	九區各地展開劇戰
page 5	銀洲西岸亦有戰爭
page 5	江會睦洲最近情勢
page 5	日艦昨晨又犯疊石
page 5	我分三路急攻欽邕線右翼挺進迫近小董平銀江又起炮戰雙方不斷互轟我游擊隊襲大塘燬日輜重甚多
page 5	張炎出巡安舖佈防
page 5	日陸戰隊在大岡被我包圍誘殲斃日水兵二人傷三人
page 5	粵省務會議四縣長之更調
page 5	財部嘉獎粵省行推進儲蓄業務
page 5	李主席在紀念週報告抗日者生降日者死粵北大戰予民眾極大教訓顧翊群報告粵省財政狀況
page 5	粵電政局限制行商拍密碼電
page 5	偽軍增援沙容後小黃圃昨又被日軍登陸我軍退守黎茂大沙等地準備反攻日軍登桂洲海尾圖犯南頭被擊退
page 5	向小黃圃猛犯
page 5	地方損失頗大
page 5	形勢略見緊張
page 5	粵緝私總處委定高級職員
page 5	九江日軍馳援三水河口
page 5	廣三路日軍車行經街邊出軌
page 5	順德大小羅村慘被偽軍焚劫
page 5	桂穀二百萬石運粵調劑南路西江民食羅主任已奉李主席電准並由三七八區統籌分配
page 5	古井各地我軍大舉反攻日艦艇又圖在銀洲湖西岸強登企圖直窺三埠台山現正劇戰日艦兩艘昨犯中山疊石不逞
page 7	各稅開徵辦法
page 7	適應戰時需要
page 7	的士增加車費已獲准第一英里大的士收五毫九龍小的士收三毫五仙
page 7	港督頒發三項緊急法令禁止私擅接濟輪船燃料劃出禁區不許居民擅進
page 7	限制接濟燃料
page 7	劃出港九禁區
page 7	港府督拆不合衛生屋宇
page 7	擬聯合向華民政務司呼籲
page 7	下月五日舉行燈火管制演習演習時間決不預先公佈當局希望居民能與合作
page 7	禁止捕魚區域
page 7	鶴山僑商擴大平糶運動募款二十萬購米回邑
page 7	修改商船則例
page 7	戰時新稅研委會建議徵收所得稅辦法範圍較金錫儀提案縮小戰事結束後須立即停徵
page 8	入口貨品須具証明書証明出品廠及國籍
page 8	港府發表政費收支狀況
page 8	兇徒毆傷路人
page 8	一球居下風貢隊又告敗績四比三華聯僅獲勝越軍此行四戰皆北
page 8	西貢隊後天返越征滬軍昨歸來
page 8	今日足球獨幕劇東方迎戰警察四時一刻在香港會
page 8	大生杯排球戰訊
page 8	春季大　馬之第一日摩剌馬　獲三大錦標名駒史派斯禮創出新紀錄打比彩票銷足七十萬已停售
