page 1	日　又圖和緩俄美
page 2	馬占山電告綏西我軍勝利大營盤之敵被殲百餘名西黑嚏清斃敵五十餘名
page 2	日方又散播和平空氣謂有第三國願出任斡旋
page 2	閑林埠之敵被我擊退富陽餘杭方面連日戰爭沉寂
page 2	渝市各界公祭班禪首由中央致祭由戴　賢主祭
page 2	敵空軍蹂躪蕭山慘狀遭狂炸者凡七次死傷民眾二千餘
page 2	被我游擊隊襲擊平漢路北段車運停頓南下列車在保定以北被游擊隊襲擊石家莊以南路軌多段被游擊隊破壞
page 2	日人又起野心謀奪滬鹽運署
page 2	南京暴寒難民不　風雪生活極感痛苦
page 2	三八節滬婦女界並不舉行儀式從事實際工作以期加惠災黎
page 2	敵機兩次窺洛
page 2	英籍教士在滇被匪害死
page 2	美艦奧胡號載糧運往南京交美大使館
page 2	陝水利局長李儀社昨逝世
page 2	國府修正公佈交通部組織法
page 2	行政院會議改組青省政府任命譚啟秀為中將參議
page 2	我游擊隊克復吳橋
page 2	我空軍在陝擊落敵機三架
page 2	寇十萬準備南犯徐海
page 2	晉省之敵連日傷亡逾萬
page 2	上窯明光一帶我軍夜襲斃敵千餘我克黃泥舖突破淮南敵軍防線敵士兵多厭戰偽匪軍一部投誠
page 3	英政府未改變對華友誼態度國聯會已通過一援華草案英現正考慮如何實施此案
page 3	托洛斯基黨人準備與德訂軍事同盟條件為割蘇若干領土與德布哈林在軍事法庭之供詞
page 3	艾沙談話西北軍民準備抗戰到底西北各省為中原戰場之左翼有掩護西戰場北戰場之功用
page 3	巴德立離華前我各團體以長函托巴氏攜交國際和平大會向國和會申謝同情並請切實援助希望實現倫敦大會之八大決議案
page 3	朝日新聞載稱日醞釀組新黨多數政黨將與民政兩黨合流首相近衛有任新黨總裁之望
page 3	捷克不容他國干預內政貝奈斯總統發表之談話
page 3	英眾議院通過國防政策張伯倫在眾院演說謂英必需擴充軍備
page 3	日推行精神動員取締左派思想左傾思想書籍已被禁止銷售
page 3	倫敦市長將廣播為我難民勸捐
page 3	鳳凰群島主權爭執英美均重民航兩方利權平均問題即可解決
page 3	董顯光奉委中宣部長
page 3	佐士頓在愛丁堡逝世
page 3	羅馬尼　壬本月赴英聘問
page 3	中日戰事影響德貿易受打擊
page 3	旭丹演說影響法郎慘跌
page 3	中英借款談判不為滇緬鐵路
page 3	太平洋上爭羈美決建造巨型主力艦其噸位速度均較現在各艦為大藉以對付日本新式袖珍巡洋艦
page 4	中華體　會出民徵求會員
page 4	男普通籃球賽今晚共有三場
page 4	加銀近期略降
page 4	美英匯兌再縮
page 4	港外匯市呆滯
page 4	鐵如杯乒乓賽華大對協女
page 4	友誼球類比賽
page 4	八九金價回跌
page 4	省毫券市仍靜
page 4	公開網球賽　打昨日華軍兄弟全得勝
page 5	廣東婦女界昨舉行三八節紀念詳誌
page 5	通過提案
page 5	大會宣言
page 5	黨政軍聯會維持失業工人之籌劃
page 5	軍政當局會組粵國防檢閱團
page 5	河南慶祝
page 5	獻旗典禮
page 5	敵艦在萬山島海面演習並佔兩葉銅澳兩島故佈疑陣虛張聲勢其實敵艦祇得數艘其餘均為漁船汽艇警備部中人談昨日沿海敵情
page 6	廣州分會停止籌組
page 6	余漢謀吳鐵城兼粵軍管區正副司令征募訓練兩處改定名稱加緊籌備下月正式成立
page 6	市商會擬請減國防債派鎖額
page 6	市會請勿變更
page 6	革命同志抗敵會舉行懇親大會
page 6	梧定期舉行防空火炬巡行
page 6	省主席召開全省保安會議
page 6	經濟部派員到桂籌辦水利公司
page 6	蠶絲局長廖崇真草擬戰時充裕粵糧食計劃二已送交糧食會審核
page 6	軍委會勸務會議對桂省交通之發展
page 6	汕市平糶近訊
page 6	永龍新民兩輪觸礁一脫險一沉沒幸無傷及人命
page 6	河南和平等村籌辦水上巡查
page 6	順德番禺統率會已成立
page 6	編組民眾武力
page 6	東莞牧戶深夜被劫
page 6	吳川縣長巡視各區
page 6	統率委會成立
page 6	匪洗劫四魚艇
page 6	壯丁匪徒激戰
page 6	土匪圖劫不成
page 6	石岐南門之家庭血案揮刀亂斬老婆當堂拘獲候訊
page 6	汕當局之加緊防奸軍事長官視察漁區張鼎丞部設通訊處
page 6	國防公債開始勸募基金保委會即成立該會組織章則已擬定
page 7	熱烈情形
page 7	分別演說
page 7	王氏致詞
page 7	何氏致詞
page 7	主席致詞
page 7	麗澤女中
page 7	某紳請組織平定屋租委會政府當局現在考慮中昨如羅旭和徵詢一切
page 7	盛況空前本港婦女界數千人紀念三八婦女節何玉英何香凝王考英演說全場動容通過成立陣亡將士家屬後援會提案
page 8	或將討論制裁加租
page 8	財政委會追加政費
page 8	三八婦女節播音演講何艾齡和許地山夫人之演詞壹戰事發生中國婦女對國家已多所貢獻希望國際友好能繼續保持其同情之心
page 8	何艾齡演詞
page 8	滬青服務團移粵工作昨派兩代表來港公幹
page 8	饒神父昨抵港
page 8	淩道揚演講廣東儲糧概況去年豐收儲糧工作極順利現儲米糧足供六個月之需
page 8	充厚抗戰實力實施儲糧工作
page 8	去歲禾造豐收儲糧進行順利
page 8	救債會報告募債成績現已銷五百四十餘萬元中藥商糖商慷慨捐雨具
page 8	澈底消滅痘症衛生局派員檢查住戶遇痘症病人即送院療治全屋傢具並須薰洗消毒
page 8	民食異常充足抗戰前途樂觀
page 8	法輪裕蘭地號在威海衛擱淺英艦角城號赴救華船員九人失蹤
page 8	由港經海防赴滇法領發通過證
page 8	中藥行商
page 8	糖商總會
page 8	立法局今日會議羅文錦將質問日艦轟炸漁船事件政府調查結果何時始公佈如不欲公佈則其理由何在制裁加租問題或提出討論
page 10	九龍關之佈告疊埔貨物報稱辦法
page 10	本港播音台更換國語新書
page 10	劉液池在港逝世
page 10	四民航機同日離港啟德機場空前盛況
page 10	英國皇后輪今日抵港所載遊客多為貴要巨商
page 11	我空軍戰利品展覽敵機所用機槍多從外國購來敵人怯弱符籙也搜得一大批
page 11	敵機的殘骸
page 11	爭先跑進展覽室
page 11	每分鐘千六百發
page 11	最後勝利的徽象
page 11	閩南重鎮國防前線晉江與金門相隔一水地位重要惜救亡工作還未運動起來
