page 1	德意對美的外交戰略
page 2	貝當將與希特勒簽訂割士屈辱條件
page 2	佛郎哥力拒絕參戰恐西被英加緊封鎖
page 2	　領崛內談話亦放和平空氣
page 2	我正式否認日和平建議現我得美之加緊援助故我愈決心繼續戰爭
page 2	澳洲　新西蘭積極準備盡力與他國合作
page 2	傳南京近郊發生激烈戰事我已克溧陽及某要點日軍部否認我軍勝利
page 2	美國加緊出機供給英國
page 2	日荷商務談判進行遲綏日代言人亦已承認
page 2	韋爾基又攻擊羅斯福　共新政失敗使國民收入減少
page 2	布立特演說美國危機漸迫侵略者以美為第二目標美須盡力援助中英兩國
page 2	英空軍元帥演說英國空軍力量增強美機亦已源源運到明年春間可以壓敵
page 2	德國加緊反英宣傳
page 2	日皇感冒從事休養
page 2	貝當乘車入淪陷區與希特勒舉行會商法國將來命運有重要決定
page 3	羅斯福與國務卿討論時局大勢同時注重歐亞兩洲下大決心維護和平
page 3	慰勞總會新訂捐獻慰勞金匯款辦法通電全國同胞注意
page 3	日和與汪退論日本南進與結束事變
page 3	日潛艇一艘遇暴風沉沒
page 3	日機四十二架轟炸重慶我高射炮火猛烈料已有新炮運到
page 3	多瑙河會議將在羅京舉行參加者德意羅蘇四國
page 3	胡大使在美演講日本侵華深陷泥淖對軸心國無力幫助
page 3	神岡日軍竄擾受創
page 3	泰法談判已陷僵局法方拒絕士開談判泰將不派代表赴越
page 3	皖南日軍竄擾失敗我克潛山向三橋挺進浙東諸暨回竄殘日圖犯紹興鄂中我軍克天門附近兩據點
page 3	日從海參威轉運貨物入德
page 3	傳日蘇雙方將開談判締結不侵協定
page 3	滇緬路運輸速率加強
page 3	閩省　僑踴躍投資建設
page 3	首批日僑由港撤退抵滬
page 3	港粵航線恢復之說不確
page 3	松崗向內閣報告日汪談判情形阿部與汪精衛意見完全調協
page 3	郭泰祺與英外相會談
page 3	凡爾登的英雄
page 3	美商輪繞道赴仰光
page 3	智利發生地震
page 3	埃及英軍襲擊意軍陣營擊燬汽車八輛獲一俘虜
page 3	美租賃法輪不准駛離海防日軍派員前往檢驗全部貨物係欲運華
page 3	加拿大將開始訓練跳傘部隊
page 3	美陸軍航空隊增加一千餘隊
page 3	美國行走新航線加緊運貨物來華從美洲經好望角至仰光避免太平洋日海軍騷擾
page 5	各路大軍挺攻龍州
page 5	粵府撥款補助港澳學校內遷內遷各校擇址復課
page 5	邕寧亦陷我軍重圍
page 5	日機飛茂散放傳單
page 5	韶募寒衣得萬餘元決舉行一仙運動
page 5	石龍日營又被夜襲石龍增城日軍互調
page 5	開放中山說未證實
page 5	傳日將開放岐關路我軍隊包圍白蕉準備反攻五邑當局擬改組巡河艦隊
page 5	開發連山富源省行設第二墾植場暫定資本五百萬元
page 5	南路政務視導團出發羅翼群視導高雷各縣鄭豐則負責欽防方面
page 5	余漢謀電勉兩鉅紳
page 5	日圖控制廣州灣商業推銷日貨改組商會中法感情仍甚融洽
page 5	槍決舞弊犯官
page 5	迪維賀拜會我當局
page 5	西江巡河艦隊改組
page 5	廣州日軍增防容奇
page 5	最近對港交通情形
page 5	園山英敕撤職返日
page 5	防城大村再起炮戰越桂邊區我軍猛攻鴨水灘防城頻遭轟炸防禦工事無恙邕江兩岸我日兩軍血戰展開
page 6	李塱各鄉搜索糧食
page 6	近日迭向日軍攻擊
page 6	林偉儔將軍談粵戰局
page 6	東莞寶安我　情勢
page 6	在前線訪晤翟司令
page 6	僑胞救濟祖國義民集款千餘萬興辦實業省振會續撥東莞徐聞各縣振款回粵港僑各地義民已分別安置
page 6	粵財政廳取銷廳款參　會表示欽佩
page 6	東江鹽價低跌
page 6	廣東省府第四科昨成立吳勝已任科長
page 6	桂競秋將離粵就任安徽省委
page 6	番禺縣府近狀
page 6	寶安日軍仍頻有調動翟榮基述出擊日軍詳情東莞寶安我日之情勢
page 7	節建儲運成績一覽成績優異者中央將予獎勵
page 7	記者學會會員登記完竣
page 7	紅　米席女主人深夜被匪殺害匪徒持刀入店行兇店中人竟毫無所覺
page 7	主持店務
page 7	死者家世
page 7	疑賊圖劫
page 7	深夜被害
page 7	胡文虎否認任崇正會會長
page 7	各大學聯誼會定期開音樂會
page 7	英美日僑民繼續撤退日領崗崎昨再發表談話
page 7	美僑過港
page 7	日領談話
page 7	昨氣溫暴降最低五十七度
page 7	兒童劇場今日選舉職員
page 7	日總領岡崎談省港航運將可恢復港越英輸尚無復電消息已有多艘改航仰光　線
page 8	陳述案由
page 8	　　被告
page 8	六賭匪今日遞解出境帶家數人昨日被捕大坑字花廠暫停閉
page 8	義軍須習射擊
page 8	馬會秋季彩票德利六萬餘元捐充慈善費英專營會　賑華會各得其半來春彩票溢利　決　捐贈
page 8	連砍兩刀
page 8	案中要點
page 8	加拿大教士過港赴渝
page 8	與德佔領區通訊辦法規定
page 8	軍械廠　職工請訂恩恤辦法已　稟當局正侯批覆
page 8	本港防空處續購防毒面具
page 8	工程師協會選舉下屆職員
page 8	高里斯將赴渝
page 8	寡婦被竊珍飾價值港幣十元
page 8	大埔道截劫案被告詳臬定讞
page 8	偽幣案昨續審證人多名上堂作證
page 8	　主　被辭退農人挾銀斬斃兩東主被警捕獲昨解高級法庭查辦罪名成立承審官判處繯首刑
page 10	今日足球甲組聯賽東方戰香港會海軍對抗蘇皇軍聖約瑟逢米杜息
page 10	全港華大週年水運二日起在鐘聲舉行競賽項目編定開始報名
page 10	德權鼎聯賽崑崙戰大中華
