page 1	今後粵局之整理
page 2	蔣電李白勸停軍事行動服從中央並令中央軍分向桂邊移動衛立煌陳繼承等師均向桂邊推進李白在邕會議決領全桂戒嚴令
page 2	南昌各界開歡迎會熱烈歡迎粵空軍程時煃代熊任主席致歡迎詞譚壽答詞報告空軍離粵經過
page 2	整頓粵省金融決從廢止苛雜入手孔財長對記者發表談話
page 2	汪精衛病體日佳兩月後可歸國
page 2	美陸軍少校在滬跳樓自殺
page 2	粵桂省府各委均將更動
page 2	天津總站截獲大批私貨
page 2	細木繁訪石友三長談
page 2	劉瑞恒舞弊案所犯調查屬實已提案彈劾
page 2	粵漢路　一事權各局合併改組定期下月一日成立淩鴻勛任管理局長
page 2	京市首次大熱熱度達九十七度
page 2	橫行巢湖劇盜余仁才等就擒
page 2	剌汪案緝獲疑犯蘇院開庭偵查
page 2	宋漁父哲嗣宋振呂昨病逝嗜學不倦待人和藹親友聞耗莫不悼惜
page 2	教部謀增進電影教育決設電影委會
page 2	政府籌備繼續償還路債
page 2	粵局大定蔣令胡師協同四路軍入省並邀陳濟棠赴贛協商善後熊式輝攜善後方案赴大庚訪餘治商鄒魯本月底返國入京商粵事
page 3	報告事項
page 3	討論事項
page 3	任免事項
page 3	畢業生訓導班簡章內容
page 3	察省自治委會組織大綱
page 3	農本局籌備不及或將展緩成立
page 3	司法院第十九次常會議決要案五項
page 3	湘黔路工程籌備處昨日正式成立
page 3	陣調元赴濟行授旗禮
page 3	滬越界築路電話問題未有繼續接洽
page 3	蒙藏選舉行事務所昨日舉行成立
page 3	王泉笙昨日乘輪　菲行前電懇蕭佛成入京
page 3	西班牙革命軍致政府哀的美敦書飛機準備轟政府公署京駐軍亦舉事攻擊郵局
page 3	日陸軍省改變對華政策
page 3	英貴族院討論華北走私
page 3	海峽會議閉幕日本提保留條件
page 3	行政院昨開第二七一次例會通過改組蒙政會大網草案決議派宋子良兼代粵財廳長職務孫楚楊　歐王靖團　各分任軍長
page 4	今晚公開籃球賽印警對華僑隊失敗難免做殿軍乙組兩場頗可觀
page 4	英銀價遠期略升
page 4	青年會主辦全市童子乒乓賽廿五日下午止截報名
page 4	乒乓聯會定期廿六日頒獎
page 4	港外港市情趨好銀行大量沽出申電
page 4	廈門群惠女籃球隊今晚首戰飛燕隊該隊在福建省運會曾膺冠軍飛燕隊雖不弱預料難免失敗
page 5	張唐赴韶之經過
page 5	余部昨日可到省
page 5	各軍今後之駐地
page 5	桂軍消息之傳說
page 5	四路總部遷廣州
page 5	重要長官委定說
page 5	余漢謀今日返省
page 5	陳漢光改編警備軍警備軍有兩團異動現已就範聽候改編
page 5	各界查驗準備庫情形查核準備庫存白銀數目無訛
page 5	整理財政聲中粵商民請減免各種苛稅中央未核准者一律撤銷同稅目而廣東特別重征者請減輕
page 5	西南異動之起因與陳氏下野經過之補述陳維周赴桂考察後之進言當時有反對者反謂其挑撥粵桂惡感繆培南至欲以屍諫陳臨去時尚知以保存白銀為重
page 5	李煦寰任民廳長訊
page 5	張唐赴韶返省後余漢謀今日到廣州張唐返省商定各事項余部第一師昨晚先到附城各地改由余部分駐關于桂軍之種種消息余氏遲遲其行之原因
page 6	宋子良乘機來粵孔部長之電告
page 6	燕塘軍校聞將改易名稱繆培南對員生宣佈保證繼續辦理學生前途有著安心放假
page 6	粵路上行車昨停車卡均調作軍用
page 6	綏靖區仍舊辦理
page 6	仁愛善堂仍贈醫王仁　繼續維持
page 6	各江段艦調省河集中候命
page 6	西南兩機關結束昨訊公文雜物交省府接管
page 6	林主席復理省政後余孔兩氏之電慰民財兩廳之情形
page 6	唐海安抵省昨午就代理鹽運使職並召財政人員舉行訓話
page 7	陳濟棠暫緩放洋蔣囑粵局奠定始行
page 7	黃光銳昨日北上
page 7	何啟澧昨已返粵
page 7	樂水者幾死于水
page 7	星洲犯遞解過港
page 7	朱汝珍南遊返港
page 7	警探搜樓拘九人
page 7	南洋考察團赴岷
page 7	虎豹別墅進伙紀各界到場觀禮者逾千人
page 7	到者逾千人
page 7	招待極週到
page 7	別墅之內容
page 7	車輛失事之統計
page 7	紅丸為害甚余鴉片港政府決舉行清毒運動刊印傳單勸居民設勿沾染並嚴飭警探密查製丸機關
page 7	勸懲步驟
page 7	流播甚速
page 7	丸之原料
page 7	販運辦法
page 7	劉紀文昨乘輪晉京謀蟬聯廣州市長位置
page 8	三項質問
page 8	兩宗決案
page 8	宣讀各例
page 8	剌宋子文案日間可宣判各方證供傳錄已畢
page 8	住客放鎗嚇竊匪禮頓山道誤傳發生劫案
page 8	繁榮會今日會議全港商民大會明日舉行
page 8	劫貨艇五賊入獄
page 8	中區居民會年報定廿七日舉行會員大會
page 8	輾斃水手案研究
page 8	兩婦人行使偽幣各處徒刑一年
page 8	兩少年服毒遇救
page 8	定例局今日會議羅文錦將有三項質問政府會否切實禁開煙館赤沙海灘清潔問題會否注意半年來供給文員之電油幾何
page 10	初級法庭案彙誌
page 10	買賣人口
page 10	設館聚賭
page 10	衛生局昨開常會
page 10	乘霸王車
page 10	勒索婦人
page 10	摸竊疑案
page 10	西南中學畢業學生本屆統計二百五十三人
page 10	二千餘兩私煙案一犯被罰五人無罪
page 11	番禺縣長之更動
page 11	荔枝比賽已給獎品
page 11	古兜警隊募補缺額
page 11	陳村風雨塌寮傷人
page 11	紳耆請願掃除花會
page 11	匪劫塘埔村之激戰
page 11	狂風暴雨傷斃三人
page 11	石灣輪渡貨艇停駛
page 11	三水迭遭潦患早稻失收
page 11	沙田豐收穀價大跌
page 11	台赤警隊連日會剿銅鼓匪幫與匪搏戰兩交斃匪四名獲械一桿赤溪後備隊長一名陣亡餘皆無恙
page 11	新會東北區農村雜寫
page 11	中山防軍他調後楊縣長乘艦出巡各區時局轉變後物價回跌
page 14	建軍之本義
page 14	中央機關
page 14	兵役
page 14	軍隊組織
page 14	軍備擴張與現在兵力
page 14	極東紅軍
