page 1	英王遊美之收穫
page 2	津英總領向日嚴重抗議英人出入英法租界實不應受日軍檢查
page 2	張伯倫氏報告天津局勢政府現正統籌全局以便應付遠東局勢
page 2	為Ｘ封鎖第二日津租界之情況Ｘ圖煽動暴徒衝入租界失敗英僑被檢極嚴被迫脫去衣服
page 2	英報論調對日絕難讓步津案絕非地方問題絕非讓步所能解決
page 2	英攷慮對日報復將廢止英日商務協定商務部就經濟報復辦法草擬報告日如提出過分要求務必加以抵抗
page 2	應付天津問題英法美開始交換意見三國或有採取共同行動之可能日當局實欲迫英接納四項要求
page 3	國府明令褒揚四存員生中常會議決褒揚蕭佛成
page 3	孔院長向全國民眾播講堅忍抗戰自力更生貳
page 3	偽密探在滬被擊傷勢甚重
page 3	胥中士寧死不屈嚴守軍事秘密臨刑高呼口號
page 3	軍事方面
page 3	外交方面
page 3	閩壯丁自動入伍省抗Ｘ會鼓勵當兵按人發給獎金十元
page 3	綏遠我軍敗偽蒙軍固陽包頭之間電桿我破壞
page 3	津河北省銀行決遷出法界
page 3	李天柱傷重斃命
page 3	魯南激戰我派大軍援助
page 3	鄂北我迫隨縣湘北Ｘ兵車中地雷Ｘ各路挫頓謀總攻
page 3	李漢魂通電表示擁護緝汪
page 3	Ｘ機一架在安澤南尋獲
page 3	Ｘ機飛襲泰縣
page 3	晉南平陸茅津相繼克復後我掃蕩計王古王殘Ｘ晉西柳林軍渡殘Ｘ肅清土門Ｘ增加西犯被擊潰
page 3	連日Ｘ傷亡逾萬人
page 3	晉南Ｘ向東路竄擾
page 3	柳林軍渡殘Ｘ肅清
page 3	贛新聞界追悼孫家傑
page 3	西江我軍焚燬滘口Ｘ營
page 3	浙東Ｘ軍在定海登陸不確
page 3	綸昌主事人拒絕Ｘ偽要求
page 3	桂改標準時間
page 3	Ｘ再西犯被我擊潰
page 3	贛　之猛犯羅舍渡北
page 3	日設公司吸取懷寧煤礦
page 3	德中央銀行宣佈改組
page 3	英皇夫婦話別加入
page 3	紐約金市下降
page 3	中國帆船在紅海下沉船上人員全體獲救
page 3	法美兩大使昨訪謁王外長
page 3	英將在日間貸我鉅款
page 3	蘇外長莫洛托夫接見英國專使英法均極望能與蘇早成立協定此次會談英方未提出何項草案
page 4	盛極一時
page 4	好景不常
page 4	歇業原因
page 4	英海軍將操砲
page 4	廣州大學籌賑遊藝大會定本月廿四日舉行
page 4	屠房殺牲統計每日殺牛二百豬一千頭
page 4	英帝航機遲到
page 4	港督將招待港大畢業學生
page 4	印警索賄疑案華探供述目擊情形
page 4	文協會員明日舉行晚會
page 4	南洋不景氣重臨本港織造業大受影響是年春幫生意不及去年半數小規模廠家百分六十已歇業
page 5	防緝Ｘ貨指定通行路線
page 5	抗戰團體月底一律登記
page 5	改進防空提高民眾意識
page 5	韓江潦漲準備填築堤防
page 5	第四戰區電令防Ｘ收游擊隊
page 5	游擊隊喬裝農民襲擊流化橋
