page 1	遠東形勢之現階段
page 2	豫北日軍遭我誘殲
page 2	桂南日軍困處絕境
page 2	贛北日軍蠢擾被殲
page 2	洞庭日艦被我擊退
page 2	蘇北最近一週戰況
page 2	虹口西區一帶由英商團接防美國隊值防遭日反對
page 2	淮南路南段被我破壞
page 2	滬西已成綁匪巢穴沈九成又被綁架往虹橋路
page 2	海內外各團體紛電將士致敬
page 2	日決定排除教會勢力美加在日教會大為減少救世軍被壓迫亦須更名
page 2	日商相小林將赴荷印
page 2	對美強硬照會日加否認
page 2	陝婦女界努力徵募工作寒衣代金源源匯解
page 2	渝市災後清除竣事新渝市將產生
page 2	美加聯防後英美密切合作美售艦將以加拿大為過渡
page 2	陳嘉庚將赴韶
page 2	白干尼爾捐款百萬購機組　白干尼爾據隊
page 2	渝市的新生
page 2	美臨近大戰漩渦
page 2	　　　子的幽默
page 2	滇緬路封鎖後醫藥用品亦未有運到現有二千五百噸藥品聽候運入
page 2	溫德莎公爵抵巴哈馬群島各界熱烈歡迎
page 2	美國七月份貿易出入統計出口減少入口增加
page 2	阿根廷國會議決挽留阿狄斯
page 2	羅士商約已在土京簽字
page 2	印度本月起限制生鐵輪日
page 2	傳美與教廷再倡和平運動
page 2	川抗建分會發起獻機運動預定募款二千萬元購機百架呈獻政府
page 2	襄河西岸我軍出擊新絳日軍受創回竄信陽東北日軍遭我伏擊重創
page 3	倫敦樓房中彈著火
page 3	倫敦近郊空戰劇烈
page 3	轟炸之久為素僅見
page 3	轟炸結果平民受害
page 3	英機炸擊法國海岸
page 3	雙方捐折達二百架
page 3	德機被擊落四十架
page 3	加拿大機參加空戰
page 3	德機投彈炸擊農田
page 3	美陸海軍報謂美國迫近大戰漩渦國防建設急不容緩吾人勿再斤斤爭辯
page 3	羅匈談判破裂經過
page 3	羅匈談判藕斷絲連羅尚不欲其決裂表示有繼續可能
page 3	蘇聯否認向土要求
page 3	意希空氣稍見緩和
page 3	美人電賀托案兇手美當局現正查究
page 3	法技師發明人造汽油成績佳成本廉
page 3	巴拿馬政府注意外人行動外人共有千二百名恐與第五縱隊有關
page 3	閃電空戰再展開德機千架襲英倫倫敦撲資茅斯均被炸英空軍亦反炸法海岸
page 4	鄺山笑黃曼梨主演望夫山的解剖上
page 4	一部新生命的武俠片插翼虎日內完成新靚就有精彩的演出為武俠片開一新階段
page 5	從化戰況
page 5	我克平山
page 5	樂同相持
page 5	佛山日營發生炸彈案傷斃日軍官兵各二人剌客逃去佛山及廣州市連日均加緊戒嚴
page 5	廣州市路上常有餓殍發現
page 5	南海平洲日軍撤退我團隊準備入駐
page 5	日炸豐順　隍揭陽大捕歹徒
page 5	三水焚燬日貨
page 5	組女國民兵團
page 5	日軍糧食恐慌
page 5	郎擎天部反正
page 5	日機狂炸貨艇
page 5	寶安日軍發砲探我虛實我守原有陣地沉著應戰東寶女國民兵團駐守廣九路日機炸汕尾貨艇死傷百餘人
page 5	粵省黨部整理粵北黨務李伯鳴巡視各縣
page 5	日犯三江不逞
page 5	我軍掃蕩從花線克復平山直薄獅嶺攻入石湖戰事激烈樂同日軍敗竄新街棄械頗多
page 6	日犯東興遭我痛殲
page 6	我軍夜襲衝進防城
page 6	江口激戰殲日二百
page 6	廣東省憲政協會宣言實行憲政中我人應認識者有四點
page 6	五區專署倡導築塘墾荒
page 6	粵南我軍衝進防城激戰江平墟日再犯東興慘遭潰敗大崗日軍竄擾江口被殲二百
page 7	戰爭影響人民生活物價飛漲不已平均較去年同時增百份五十中下階級無力支持同聲叫苦
page 7	海盜截劫大批生豬貨主脫險來港報案
page 7	救護員一部將復員
page 7	戰時演習與前不同
page 7	市須注意明晚燈火管制辦法戰時演習與前不同入暮即須遮掩燈火
page 7	中華郵政總局招考機工監事報名者多未依照手續
page 7	新新酒店職工響應募衣運動以國幣五千為目的
page 7	各僑團定明日祝孔港九教聯會並紀念教師節
page 8	本港現存煤米充足煤可供半年以上之用米存有一百一十萬擔
page 8	米之存儲
page 8	各地搶購
page 8	存煤大增
page 8	工合運動開展在川康中國工業合作香港促進社播發
page 8	金曾澄出任青年教育社長積極救濟戰地失學青年
page 8	中國文協會續辦巡迴演講秋後舉辦文化講座
page 8	普益商會獻金萬四千元昨已匯呈國民政府
page 8	紀念記者節青記與外聯將聚餐
page 8	塌屋壓傷四人
page 8	父子同遭滅頂
page 8	蔣光鼐夫人劉慕儒遺產值二十餘萬元
page 8	友邦人壽保險公司職員簡朗如亦被匪徒打單勒索三千元限燈火管制之夜交款簡素有佛爺之稱未向警署報案
page 10	昨日棒球義演聯賽隊打勝仗六比三挫美艦聯隊愛殊和首次遭敗績
page 10	前夕四角游泳對抗鍾聲突然退出之經過吳俊文一手之遙猛著先鞭但計時鏢四個紀錄均相同
page 10	水國動態
page 10	四報同人水藝
page 10	南華四次水藝
page 10	夏令籃球戰訊
page 10	東方對抗勵進
