page 1	德蘇忽締結不侵略協定
page 2	張伯倫再度聲明決為波蘭保證
page 2	德當局發表協定全文該約有效期為十年在簽字後立即生效
page 2	英法兩方面備戰極忙英國各地燈火管制法後備軍奉召回營
page 2	希特勒拒絕英方警告漢德森兩謁希特勒並訪問里賓特羅甫
page 2	英皇返倫敦召開會議討論應付非常時局首相入宮覲見英皇
page 2	波蘭軍隊調動甚忙
page 2	波德邊境有小衝突
page 2	但澤警察捕波蘭人
page 2	意亦繼德傾向蘇聯
page 2	三國談判暫告中止
page 2	法國人士仍甚鎮定
page 2	德國債券昨日狂跌
page 2	倫敦各報態度堅決
page 2	英令儲存主要物品
page 2	美總統羅斯福注意歐洲風雲打銷旅行計劃提前返京將致書希特勒呼籲和平
page 2	美國擬就撤僑計劃
page 2	駐意日使訪齊亞諾
page 2	倫敦官方否認日將封鎖香港九龍邊境英日軍尚維持友誼邊境僑樑公路炸毀實無足異
page 2	德蘇不侵協定已簽字德向波蘭提領土要求波蘭聲言不惜一戰保國家獨立德境英僑撤退法開始軍事動員
page 3	倫敦高等法庭駁斥請領保護狀案謂過去並無先例可援
page 3	軍委會發表一週來戰況戰事軍心仍　晉東南其他各線均零星戰鬥
page 3	杭州城受我控制四郊國旗高揚傀儡惶恐不已
page 3	晉南高平來犯之Ｘ中伏晉城殘Ｘ漸次肅清
page 3	張余李三長官發表敬告吾粵同胞書全文一勉國人澈底抗戰爭取勝利
page 3	豫南我軍夜襲信陽達到目的後撒退
page 3	日本米荒形勢嚴重將實行統制米價
page 3	結匯出口貨物應領匯價差額標準依照承購外匯時價擬批明證明書上俾出口商能預計贏虧鼓勵土貨外銷
page 3	天津英兵誤觸電網身死
page 3	謠傳滬Ｘ武力接收越界築路地段雙方嚴密戒備尚無特殊形態
page 3	菲律濱準備收容香港難民現正開始籌備房舍組委員會負責辦理
page 3	廣州兩漢奸被狙斃命
page 3	中監會決議開除梅思平等黨籍重申開除陳群繆斌等黨籍決議
page 3	粵各界舉行討汪清奸大會
page 3	荊河腦Ｘ撤退鄂北我軍進攻隨縣
page 3	粵北我軍進攻從化神岡在大岡嶺激戰後我軍衝入沙貝村
page 3	河南方面
page 3	日訓令在華各當局壓制反英運動日本對歐洲政策將有根本改變日政府要人紛紛舉行重要會議
page 4	爛泥灣破獲紅丸機關搜出大批紅丸並捕男女六人昨日提訊五犯入獄一人獲釋
page 5	我軍東下準備反攻
page 5	Ｘ機兩批擾沙魚涌
page 5	沙頭角Ｘ昨擾坪山
page 5	寶安縣府將設大鵬
page 5	新會戰情電報彙誌
page 5	南頭深圳Ｘ軍動態
page 5	粵省府轉頒組織民眾肅奸網辦法各縣組肅奸團由縣長任團長破獲漢奸者獎十元以上現金
page 5	桂洲偽護沙隊藉名搜查擾民絲商失去鉅款
page 5	最高軍事當局頒佈防止Ｘ偽招募壯丁辦法
page 5	調整軍政機構戰區司令部之訓令
page 5	省當局進行復查全省適齡壯丁以期杜絕征兵流弊
page 5	順德淪陷區各偽組織強收工資捐強徵壯丁編組偽軍並代築工事及修路
page 5	粵闢廣大農場大規模植桐千萬株由財建兩廳同計劃
page 5	龍泉發生激戰中Ｘ又進窺崖門對鎖線江會戰事仍烈Ｘ又進犯禮樂
page 5	我軍迭向江會反攻
page 5	中山方面最近情況
page 5	昨日崖門已告緊張
page 5	睦洲陷後連日情況
page 5	Ｘ圖犯三角沙不逞
page 5	Ｘ之目標仍在龍泉
page 5	我中央電源源東下東路在九一前將有大戰南頭深圳Ｘ軍之最近動態
page 6	爭奪楊梅再度激戰
page 6	Ｘ船運糧被我截擊
page 6	夜襲馬口殲Ｘ廿餘
page 6	龍遊崗Ｘ趕築炮台
page 6	粵省當局修正禁糧出省辦法
page 6	番禺Ｘ偽之恐慌何端率部攻沙灣Ｘ偽利宗樹部克復二窩頭殲Ｘ甚眾虎門外萬頃沙　聚Ｘ艦艇甚多
page 6	中山幹部人員集中訓練
page 6	周老太會見一段談話一
page 6	南海沙頭我團隊預伏殲Ｘ擊斃Ｘ軍數十名
page 6	東莞　發愚夜襲Ｘ營炸毀Ｘ營殲Ｘ廿餘名
page 6	萬頃沙Ｘ艦艇　集
page 6	我團隊克復二窩頭
page 6	沙灣Ｘ向市橋撤退
