page 1	蘇德瓜分波蘭之推論
page 2	英法商討應付新局英法兩國以下決心非獲全勝必不罷手
page 2	波蘭政府發表宣言責備蘇聯侵略行動並請意國加以注意
page 2	德軍實行猛攻華沙已驅防軍退入城內但波軍仍繼續抗戰
page 2	德蘇發表共同宣言德蘇軍隊在波行動不違背其自身利益
page 2	羅期福再呼籲勿濫炸無設防之城市及屠殺無辜之平民婦孺
page 2	柏林將頒新例限制糧食
page 2	雅典號搭客多已獲救
page 2	上海工務局與日成立協定將租界英軍防區一部份移交日本
page 2	有向荷政府建議擴充泗水海軍根據地又建設戰鬥巡洋艦若干艘
page 2	美國勢將展期承認菲律濱獨立因香港與菲律濱兩地方係阻日南進之前哨壁壘
page 2	高級將領百餘人通電討汪
page 2	希特勒希望蘇聯全力參加歐戰同時停止援助中國避免與日發生磨擦
page 2	羅斯福召會議討論中立問題英法對蘇未表明態度前美國亦將不取何種行動
page 2	兩大勢力壓迫下波軍命運已定東西受擊退劫無路非投降則惟有消滅
page 2	粵民遣子從軍當局傳令嘉獎
page 2	開戰以來英輪被擊沉達三十艘共重一十九萬噸
page 2	在畢勒斯特里都夫士克德蘇兩國軍隊相會合德軍退出拜亞里士托城讓蘇軍接防立陶宛再動員後備兵加強邊境防禦
page 3	大會休會詞
page 3	對日抗戰
page 3	作戰力量
page 3	中華民國
page 3	愈足證明
page 3	歐戰爆發
page 3	斯洛伐克等地發生革命運動德當局以高壓手段應付大批革命份子被其處決
page 3	Ｘ機狂犯閩省西南晉江等地被轟炸
page 3	日本國民新聞報著論恫嚇美國謂倘美對日態度不變則太平洋將變為戰場
page 3	劉湘國葬執紼　數萬
page 3	行政院議決豫省政府改組衛立煌任省府委員兼主席
page 3	北路慰勞團行抵陝北舉行獻旗大會張總團長演說
page 3	晉東南長治長子一帶連日劇戰我軍直薄壺城與Ｘ發生激戰安澤縣長勇戰和川失而復得
page 3	王逆克敏抵滬
page 3	我機隊空襲江門西北
page 3	許世英飛抵渝
page 3	國參會重要決議案一
page 3	德西防線兩軍劇烈炮戰法海軍出動肅清德潛艇
page 3	貴重物業出投
page 3	國民參政會休會蔣議長休會詞定期召集國民大會一製定憲法實行憲政
page 5	黎村境Ｘ完全擊退
page 5	Ｘ撈沉艦似有退意
page 5	張家邊已趕辦善後
page 5	昨晨Ｘ機窺伺一瞥
page 5	當局禁止輪渡來往
page 5	Ｘ艦　聚放雞海面一再窺襲電白博賀港梅菉當局禁止市民趁墟Ｘ機三度飛襲鬱林情形
page 5	佈告疏散
page 5	三度被炸
page 5	侵入鬱林
page 5	復欲夜襲
page 5	瓊島我軍反攻再克樂會
page 5	新會河道受Ｘ砲威脅各輪渡均改夜航
page 5	粵財廳推進戰時稅制人治法治相輔而行
page 5	收兌廣東金銀定由中行負責
page 5	Ｘ偽掃蕩游擊隊新會東北各鄉籌款自衛搜查禮樂區時Ｘ我激戰
page 5	第四戰區通令禁游擊隊擾民
page 5	Ｘ軍三次在大鵬登陸港惠交通昨仍未斷
page 5	東江沿岸Ｘ艦動態
page 5	Ｘ海陸空軍犯大鵬
page 5	港惠交通仍未斷絕
page 5	譚啟秀派隊痛剿陽江土匪
page 5	花縣城南之戰
page 5	慰勞將士團再赴東江
page 5	總裁手令取銷兩種標語
page 5	新會縣抗先隊改組
page 5	六縣長官聯席會議
page 5	橫門尚有Ｘ千餘徘徊窺伺Ｘ我昨仍在大王頭珊洲坑對峙中Ｘ將橫門外沉艦撈絞似有撤退意中山當局昨禁止輪渡來往中山河
page 7	法領事館停發護照原因
page 7	中華步行團連日開遊藝會
page 7	戰時工作研究班初試昨已揭曉
page 7	郵費增加後寄空郵者仍眾
page 7	英美郵船增加載腳真相
page 7	廿二晚燈火管制時新界將無警報發放居民可于九時起掩蔽燈火防空局已通告當地各紳耆
page 7	象棋擂台賽第二晚之戰績
page 7	英美派艦東來增厚駐遠東海軍實力
page 7	兩個被撤職店夥挾恨斫傷舊東行兇後從容遁去現在嚴緝中警當局將傷者送入醫院救治
page 7	婦慰會響應徵募寒衣運動決下月開賣物會籌款
page 7	警探搜捕海盜獲疑犯十一名
page 7	是年月餅滯銷
page 7	截劫案仍押候
page 7	勸銷救債成績
page 7	學生賑濟會唁關晃明家屬
page 7	糧食統制專員將再進一步限制物價令糧食商呈報存貨數量嚴禁包辦商人賤買貴賣
page 8	發表談話
page 8	本團財政
page 8	議決各案
page 8	新界沙浦村破獲製造紅丸機關搜得紅丸廿餘萬顆四犯各處徒刑三年
page 8	消防實力大增後備隊第一期訓練成功
page 8	帝航機港曼班下月恢復原班期
page 8	嬰兒出世須向港府註冊
page 8	華警被控毆人私寨主人述被歐經過
page 8	八一三獻金二次匯呈國府
page 8	兩婦路遇搶匪
page 8	養中校員生獻金
page 8	秋季大賽馬消息
page 8	海河聯隊將與東方舉行一場義賽廿七日在香港會場交鋒收入善款撥作募帳運動
page 8	徑賽訓練法要網三
page 8	夏令籃球準決賽大中今戰勵行
page 8	自衛團區長會議陸靄雲解釋團員職責各團員務須潔身自愛恪盡職守無殷寶　證者決一律拒絕參加
