page 1	為國大選舉告本港僑胞
page 2	僵局尚未打開日方對我一面交涉一面備戰遠東火藥庫隨時可爆發我為保持主權計對日不能再讓一步今後全視日方讓步若何為和戰關鍵日民反對赤字公債痛罵法西斯蒂軍人
page 2	廿五週年國慶紀念各外使觀林祝賀之盛況
page 2	陳誠由粵飛漢訪何成濬商鄂軍務
page 2	蘇縣孤山煤礦補行開幕典禮
page 2	蔣鼎文對記者談閩省最近政情綏署兩週內移設建甌閩南剿匪四路軍負責
page 2	中央舉行總理蒙難紀念
page 2	英大使許閣森昨抵滬各團體定期歡宴
page 2	國慶紀念首都童軍大檢閱蔣委長親致訓詞勉以擁護國府服從命令並以十二守則親口授予作為會長禮物
page 3	歐洲現局多一糾紛奧大利政潮勃發史泰漢堡親王被迫出亡內閣授權總理解散內衛團組織 維也納已成武裝大營各機關均派重兵防守
page 3	南苑廿九軍一部向南撤
page 3	蘇俄使館失去重要文件
page 3	萬國麵包店被日兵搗毀
page 3	陳誠奉召提前離邕返京
page 3	桂學生參觀武寧鎮砲台
page 3	桂五區選定國大候選人
page 3	俄日續訂開採煤油新約
page 3	林主席演講紀念國慶當切實奉行三民主義大家都應該感到責任重大一致起來努力於三民主義
page 3	海關總稽查處準備遷津辦公
page 3	歐洲時局動盪中意國加緊擴充軍備一千二百家兵工廠增加工作時間決在西西里島等處建築大飛機場
page 3	華中運動會開始各項運動女鉛球破華中紀錄
page 3	皖獻壽機天柱號舉行命名典禮
page 3	應蔣委員長電邀章嘉活佛抵京報告各蒙旗近況
page 3	德政府規定白銀公價
page 3	殖民地運動會議德國宣佈展期各方頗以為異
page 3	中臘友好條約已交立院審
page 3	首批輸日蘆鹽明日即可出口共計六千四百噸
page 3	偽蒙匪軍聯合企圖大舉侵綏作戰計劃分三步驟以王英匪軍任前鋒
page 3	歐局轉趨嚴重對西班牙內戰中立問題各國立場不同態度互異中立委會空議一場絕無結果葡國以退會為要脅德代表閃爍其詞蘇俄所提要求各方均甚注意
page 4	筆桿同志也不弱港記者征省獲勝四項球類賽僅籃球失敗不喜歡喜忘形明年元旦省記者殺到香港來我們應當如何籌備訓練以資答敬
page 4	乒乓波
page 4	排球
page 4	籃球
page 4	小足球
page 4	昨日募款獻機足球比賽收入一千五百餘元成績一比一華聯戰和世運隊觀眾六七千人皆具愛國熱忱兩隊表演精彩大飽球迷眼福
page 4	收入數目
page 4	球場佈置
page 4	掌聲雷動
page 4	觀眾踴躍
page 4	李惠堂參加世運歐遊雜感一追述中英之戰
page 4	華聯不弱
page 4	家平佳絕
page 4	兩隊略評
page 4	混合成軍
page 4	世運隊先勝一球
page 4	一比一和局告終
page 4	黃美順遠射成功
page 4	鐘聲社水運會情形
page 4	女子籃球友誼賽獅獅團遇興華隊
page 4	全港公開排球賽今晚召開代表會
page 4	國慶日省港足球賽成績補錄本港尋常杯比賽
page 5	雙十國慶日四路軍閱兵誌盛空中飛機列陣施放煙幕情形
page 5	閱兵台佈置
page 5	檢閱之長官
page 5	行禮時情形
page 5	汕商人將請求令外人完納豆稅既係國稅無可藉口免以低價妨礙商業
page 5	廣州市禁賭後擬建市立大游樂場在城隍廟後便空地
page 5	東路之圍剿邊匪與曾黃兩師佈置防地對南澳治安之注意
page 5	日艦芙蓉號抵汕
page 5	黃曾兩師調駐閩西南後仍受四路節制外傳改歸李揚剿匪區範圍黃濤與記者談話
page 5	四集團　邕垣行營成立
page 5	陳誠由桂返粵後昨晨乘機赴漢口陳派劉克述赴港再晤某軍要
page 6	黃專員赴桂籌辦征收所得稅
page 6	土造火柴業開維持業務會議
page 6	西南遇事機昨日已起運回港
page 6	省會警察局停收三種救國捐
page 6	感化院擬改組訊
page 6	各區保安副司令人選已內定訊
page 6	一六零師團長陳濟南
page 6	陳慶雲劉紀文鄧彥華李仙根等
page 6	雙十節勒流賽龍艇紀
page 6	今年倍覺熱烈之雙十節粵各界舉行紀念詳記市府招待外賓情形
page 7	　爵紳慨捐十萬元
page 7	獻機會收到之捐款
page 7	各團體仍繼續募捐
page 7	僑工會得各方贊助
page 7	電影界大規模籌款
page 7	書畫社將開展覽會
page 7	象棋界籌款之進行
page 7	國醫會昨發起捐款
page 7	各學校捐輸之踴躍
page 7	國選港辦事處今日起頒發推選票九龍選舉歸併寶安縣辦理本港一部份競選人受影響
page 7	選舉史冊在審查中
page 7	工人團體選權問題
page 7	聘監察員監視開票
page 7	領推選票須帶圖章
page 7	何東等介紹陳伯旋
page 7	何東自購一機籌蔣已電告中央認損十萬元華南電影界大規模籌款
page 8	禮堂佈置
page 8	來賓擁擠
page 8	新人服裝
page 8	行禮情形
page 8	證婚人詞
page 8	鴛侶芳名
page 8	織造會主席談國選代表之標準並推許郭　為　黨候選人
page 8	港澳僑胞慶祝雙十節港方致力購機工作未暇鋪張澳方注重儀式情形較為熱烈
page 8	市面
page 8	商界
page 8	工界
page 8	學界
page 8	劉維熾來　談財政困難粵省建設不易省營事業僅士敏土廠糖廠獲利其餘各工廠尚需鉅款始能完成
page 8	據劉廳長
page 8	生產機關
page 8	十敏土廠
page 8	恐不易舉
page 8	請撤銷糖業專賣港糖商仍積極進行
page 8	國技表演
page 8	提燈巡行
page 8	各街牌樓
page 8	各界聯歡
page 8	澳門
page 8	各界慶祝孔聖誕孔聖誕在太平戲院行禮
page 8	旺角疋頭店被匪入竊華探放槍轟斃疑犯灣仔勳寧道之鎗聲亦是住客追捕竊匪
page 8	旺角
page 8	灣仔
page 8	三銀行發幣統計
page 8	送蔣壽禮另有一種
page 8	也教學院昨日講學
page 8	臬庭刑案定期開審
