page 1	德國又一和平攻勢
page 2	鄂南我軍克復崇陽岳陽外圍據點多被我克復鄂中我軍大捷克復多寶灣
page 2	晉南我軍向西掃蕩夜襲張店鎮斃日軍百餘人絳縣以東各據點激戰甚烈
page 2	贛北我軍全線出擊克復高郵市萬　宮等處現正　殘餘日軍掃　中
page 2	汪精衛出賣海南島與日擅自商訂契約
page 2	粉墨登場又二年北平傀儡劇兩週紀念南京群角將飛平客串慶祝王克敏代表群醜對日謝恩
page 2	晉雙十二紀念民眾擁蔣遊行
page 2	保衛湖南一週紀念各地籌備慶祝
page 2	佛教應訪問團已抵仰光
page 2	粵財廳嚴令取締揀用新版國幣違則以擾亂金融論罪
page 2	滬財政商務星期刊觀察中國法幣外匯之前途能否回漲視乎遠東局勢而定
page 2	德國秘密警察在波大肆屠殺
page 2	馬尼剌大火
page 2	英承認以軍用品供芬
page 2	意外相報告外交局勢
page 2	長江英艦隊再度撤退兩艘
page 2	加籐已飛北平將與美大使　臣會商調整美日關係之問題
page 2	南北戰場我同時出動日軍地位陷空前困難係我準備第三期抗戰初步活動
page 3	莫洛多夫答覆國聯拒絕和平調解建議
page 3	日本向美購進大批機器冀克復軍火產量不足困難佔日本進口貿易之第二位
page 3	前駐柏林日大使大島發表談話德意兩國不致衝突關係于日外交政策
page 3	芬蘭中部將有空前大戰蘇最高軍事當局會議議決以大兵猛攻芬蘭
page 3	駐滬美海軍陸戰隊司令菲根奉調返國
page 3	德發表白皮書敘述戰爭前因謂英國蓄意開戰
page 3	加里利亞地峽全線均有劇戰
page 3	蘇聯發表軍報各線均　進展
page 3	芬蘭政府報告東線蘇軍受挫
page 3	芬蘭溜冰部隊正展開游擊戰
page 3	艾登發表談話英國內部團結正係勝利條件
page 3	瑞典王批准新閣成立
page 3	德貨船布爾漢號被一潛艇擊沉
page 3	南太平洋日本代治島日本已反對國際共管日內瓦報告書日延期送出
page 3	英眾議院昨開秘密會議首相張伯倫出席報告戰時英國物質之供應
page 3	美紅十字會救濟歐洲難民支撥五十餘萬元
page 3	慕尼克炸彈案另一秘密所謂案中責任人原來係一老囚犯
page 3	直布羅陀發出空襲警報
page 3	埃及舉行海陸空軍演習
page 3	日在東北壓迫基督教徒
page 3	英法成立財政經濟協定充分運用資源支持戰爭
page 3	英輪一艘在北海被炸沉沒
page 3	德對外貿易均告停頓
page 3	納粹黨在歐洲東南組織大規模宣傳活動受津貼報館約有六十家以上明信片上印有各種宣傳標語
page 3	英向阿根廷購買大批肉類
page 3	南菲洲等當選國聯政院委員
page 3	駐比美大使戴維斯乘　意郵船返抵紐約預料歐局將有驚人變化美國考慮與比締結商約
page 3	國聯芬案委會主張驅逐蘇聯出會蘇聯態度依然倔強將以絕交恫嚇英法
page 5	我軍三度攻入防城
page 5	日犯石廣圖窺那樓
page 5	日艦轟沿岸試虛實
page 5	各縣舉行清查戶口
page 5	救濟難民搶救難童
page 5	曲江沒收日貨公開陳列
page 5	銅價高漲中奸商收兌銅元省府昨飭屬取締並嚴禁囤積居奇
page 5	令游擊區軍民消滅日偽移民
page 5	寶安縣府加緊緝私
page 5	四邑金融情況最近調查岐視舊幣風潮之蔓延新會物價最近之漲落
page 5	嚴禁行使日偽鈔票
page 5	保護華僑匯款回鄉
page 5	增城偽軍內鬨我軍襲增城之激戰
page 5	偽護沙隊放火報復中山小黃圃淪陷之經過我團隊現正準備反攻捕獲漢奸多名已槍決
page 5	我團隊再攻入睦洲江會各線仍有激戰
page 5	我團隊再反攻睦洲
page 5	日機六架飛到睦洲
page 5	江會各線仍有激戰
page 5	日軍圖犯靈山那樓我夜攻防城與石廣之激戰衝入防城城內痛殲日軍後退出靈山縣城遭日機慘炸空前鉅災
page 7	粵三區行政專員李磊夫電復鶴山商會已製印臨時糧食轉運證利便商民向高明縣採購
page 7	全港歌伶昨夕舉行義唱
page 7	琴齋書舍學員成績展覽將請全港書家評覽
page 7	婦女會今夕慈善餐舞
page 7	歌協會寒衣捐款匯出
page 7	耶穌誕英皇播音演講本港電台轉播
page 7	立法局開例會
page 7	史塔士道西人住宅失竊
page 7	稅委會改期召開會議
page 7	警探在思豪酒店搜出巨量嗎啡可製紅丸百餘萬粒拘四疑犯昨晨提審
page 7	籐行又獻巨金並捐棉衣一千件
page 7	中青救護隊開張家邊服務
page 7	中央賑災會撥款賑濟新界難民將款交惠陽東莞等商會辦賑瓊僑賑濟會購棉衣救難胞
page 8	馬彩糾紛案昨日繼續提審
page 8	按揭糾紛案昨日續審情形
page 8	深水埔　局街兩賊行劫磚瓦店失敗事主向後門走出外報警賊見事敗露急分頭逃去
page 8	真小新校舍落成
page 8	真光女中消息
page 8	新運婦女會遷址
page 8	無法送遞之電報
page 8	本港臘鴨市情
page 8	普樂爵士續任立法局議員
page 8	永安公司逃伴蘇寶鎏昨被拘獲警察擬今日將蘇氏控案
page 8	學籃賽昨舉行頒獎李應林胡好蒞場主持典禮表演賽冠軍民大輕取聯隊
page 8	女籃賽快開鑼娘子軍備戰忙新軍虎豹隊決不參戰
page 8	楊秀珍昨日結婚
page 8	星期日國際杯賽南華名譽券無效
page 8	酒店職工會回應征募寒衣
page 8	電政專家演講電報發達史古時蠻族以鼓聲傳報消息十八世紀始發明線電報
page 8	商賑會昨會議擬擴大籌助英慰勞會先徵求該會屬下各社團之意見
