page 1	但澤局勢又嚴重
page 2	某司令長官談此次中條山挫Ｘ因素Ｘ軍第八次來犯較前恐慌更甚我誘Ｘ至有利地區遂一舉殲Ｘ
page 2	Ｘ機多架又襲重慶投下炸彈多枚市內發生大火
page 2	我游擊隊襲擊津電燈廠另一隊攻擊西郊警察所奪得大批軍火揚長而去
page 2	汪赴華北毫無結果梁因利害衝突與汪反對甚烈
page 2	蒙偽邊境緊張Ｘ軍紛紛出關Ｘ國內無兵可調迫而出此津浦路北運兵車每日五列
page 2	Ｘ軍已允展期封鎖閩江要求　解決鼓浪嶼事件　制外輪每週一艘駛汕
page 2	川臨時參議會昨日成立
page 2	Ｘ國原料缺乏銅元絕跡改製錫錢替代
page 2	大汗　櫬運過靜寧
page 2	冀西之Ｘ分路西犯Ｘ約二千餘人Ｘ機十餘偵炸
page 2	皖鄂游擊隊屢次予Ｘ重創合肥Ｘ蠢動被擊潰鄂中戰事近來沉寂
page 2	Ｘ稻葉師團一部在岳東被包圍
page 2	滬Ｘ又捕華人
page 2	滬富商高鑫寶被逮捕被捕原因不明
page 2	常熟及滸墅關我游擊隊殲Ｘ京滬京杭兩路戰事緊張Ｘ發偽鈔滬郊匪軍譁變
page 2	我軍分襲江會一度衝入新會城我克新街分東南兩路前進太平場附近我Ｘ爭奪甚烈
page 3	美眾院通過修正中立法案禁運軍火條款亦經修正羅斯福解釋購買白銀案
page 3	英法蘇協定或將下週簽訂英法蘇各代表再度討論
page 3	英召集駐外使節會議內閣人員或將有更動
page 3	蘇聯艦隊在波羅的海舉行演習太平洋艦隊擬在海參威演習其他海軍艦隊則在黑海舉行
page 3	駐美蘇大使訪問赫爾對於美蘇關係必有重大影響
page 3	法內閣緊急會議討論應付但澤問題波蘭決心抵抗侵略
page 3	我戰時藝展會將在蘇舉行中央社一日列寧格勒
page 3	英首相今日廣播演說
page 3	英軍需部長發表強硬言論願引導外籍人參觀英各廠俾知英國對回擊力量雄厚
page 3	英日談判前途未可樂觀法方觀察謂該談判將曠日持久情形如何與歐洲發展極有關係
page 3	Ｘ圖在三奧洞登陸未逞
page 3	挪威內閣局部改組
page 3	桂各界歡送榮譽隊重上戰場到榮譽隊員及各界代表千餘人
page 3	滬中華日報定期今日復刊導報宣告停刊
page 3	東戰場我軍進迫宋瀆高塍
page 3	德國陰謀以漸進手段兼併但澤德國青年紛紛往但澤加入義勇團各種軍火均自德國源源運入該市傳希特勒於七月前往但澤
page 4	婦女兵災會昨日贈旗成績
page 4	少婦服毒求死
page 4	印警行為不端法官判罰三百元
page 4	迷姦疑案撤銷
page 4	超立社新職員
page 4	女郎跳車慘死
page 4	鉅竊案仍押候
page 4	三女子被控開設私寨
page 4	學賑會戲劇班擬日間公演
page 4	一批賭徒被罰
page 4	少婦作賊處徒刑
page 4	警探又破獲毒窟
page 4	失學難童救濟會請各校聘用失業教師中華義學僅聘用二百名尚有一千三百餘名賦閒
page 5	新開路我軍進會城
page 5	我機乘時出動炸Ｘ
page 5	昨傳Ｘ犯古鎮不確
page 5	香洲Ｘ艦防我夜襲
page 5	終未有起航蘇漢樑談轟炸三灶
page 5	各路反攻進兵甚急
page 5	我新空軍轟炸虎門Ｘ艦與新造Ｘ營在虎門投廿餘彈炸沉Ｘ運艦一艘重傷一艘在新造投下三彈Ｘ偽兵死傷者七十名以上
