page 1	論英國之攻守
page 2	滇南民眾毀家紓難
page 2	桂南日軍進退維谷刻仍隔江相持
page 2	日要求英禁援華物資通過緬甸香港英外部正注意考慮日內即可對日答覆
page 2	我在西南各省發展各種工業需用各種技術人材容　大學畢業學生
page 2	羊樓司北要點被我收復
page 2	桂縣長權限提高
page 2	南鄭壯丁踴躍請纓
page 2	日機百餘架昨又猛炸重慶投彈多枚引起火頭數個我平民被炸但死傷甚微
page 2	雷嗚遠神父在渝逝世
page 2	太平洋美艦隊行蹤神秘
page 2	滇越車失事案公司賠償損失
page 2	暴徒圖謀破壞大美晚報
page 2	法軍千餘人越入瑞士邊境中有大將一名被瑞當局扣留
page 2	豫南我軍猛攻信陽
page 2	長江日艦二艘被我擊沉
page 2	巴拿馬運河區空氣甚為緊張運河兩端敷設水雷美稱僅係演習性質
page 2	潮安青麻山日軍蠢動
page 2	日派檢查員赴越南監視物質過境日本華南派遣艦隊一部廿五日已奉令開　海防
page 2	襄河各渡口大部在我手中對孤懸河西之日軍即可予以消滅打擊
page 2	我軍猛向南昌挺進克萬壽宮附近據點分路圍攻安義我軍進展神速
page 3	駐倫郭法大使辭職退休
page 3	愛爾蘭困難經已解決可以助英作戰
page 3	宋子文將抵美任務末明傳或要求　　協助運出存於越南鎢礦
page 3	法意休戰協定經已正式宣佈侵入法境意軍並不撤退法國若干要地解除武裝
page 3	駐意埃及使節撤離意境
page 3	倫敦被襲傷斃平民多名
page 3	傳德蘇兩個締結侵羅協定德容許蘇獲得羅之一部土地德正勸羅讓出該土地於蘇聯
page 3	美共和黨確定外交政策主張擁護世界和平鞏固美國地位
page 3	盛傳魏剛將軍日內往敘利亞剛秉基已抵項倫
page 3	法宣傳局對英表示不滿英方對此亦有解釋
page 3	行政院四七一次會議
page 3	法在美定購軍用品已由英國承購霍特不願為英製飛機引擎國防委會已另向他廠定製
page 3	我駐法顧大使由法往西
page 3	英每月製機達五千架
page 3	德法休戰協定德方宣佈全文內容與前所傳無大出入
page 3	英海陸空軍襲擊敵人海岸法潛艇仍巡查地中海
page 3	越南接納日方要求美國或將提出抗議日方否認日軍越過安南邊界太平洋美艦隊行蹤極為神秘
page 5	日偽分路猛攻淡水
page 5	日我兩方爭奪淡水
page 5	沙魚涌已成為焦土
page 5	寶安傀儡昨再出演
page 5	鎮隆穩定惠城被炸
page 5	日在中山積極增編偽軍日　中門抵石岐指揮
page 5	中山日偽強征鄉民築路乘機勒詐斂財
page 5	偽軍多不肯為日利用安民挺身隊改編原因編入偽保安隊廿二日實行
page 5	地政局三期整理地政計劃將畫樂昌仁化乳源為　施區
page 5	華南日海軍易將副島任華南日海軍司令高須改任南海艦隊指揮
page 5	西江下游日艦之出動虛張聲勢圖牽制我兵力西江各地日軍多調犯東江日又佈告無期限封鎖中山惟偽軍又在馬騮洲抽貨稅聲言抽稅後准通過中途又被掠
page 5	新會日軍頻犯各鄉
page 5	馬騮洲日偽設關卡
page 5	西江下游日艦動態
page 5	中山虎門沿海日艦多已調往瓊崖
page 5	台赤海面匪氛未靜夏春場貨船被焚劫燒斃多命車旗尾海面日艇截劫雜貨船
page 5	強制拉募
page 5	前線增援
page 5	不願應募
page 5	堵截封船
page 5	廣州日軍又拉伕封船駐三元里等地日軍均北上增援其需用伕役共為一萬七千餘名
page 5	日偽分路攻淡水我軍源源增援展開血戰沙魚涌已陷變為焦土寶安傀儡又爭奪偽職
page 6	瓊崖日軍駐地調查
page 6	設校訓練黎苗群眾
page 6	粵兵役協會徵求征屬之友首期徵求二十萬人配定各縣徵求數額
page 6	日機飛崖投彈肆虐
page 6	達濠海面日艦搜擾貨艇
page 6	台山青年團廣召鄉民入團
page 6	官山日軍再撤
page 6	順德龍江偽軍攜械反正
page 6	新委中山縣長林卓夫將就職決增設警政隊維護地方自治
page 6	粵北前線慰勞黃將軍在廣東各界慰勞團獻旗禮當中黃將軍痛快淋漓報告殲日經過
page 6	日增兵瓊崖之近況我設校訓黎苗增強抗日陣線日機飛崖縣肆虐毀房數間
page 7	國境昨日安謐如常
page 7	三團體派員調查新界難民打鼓嶺有難民數千女兵災會派員施賑
page 7	安樂村有難民七百
page 7	寶安商會昨再開會
page 7	女兵災會派員施振
page 7	油麻地血案謀殺三命大隊警探往查究
page 7	日領否認日兵犯海防
page 7	今年可免水荒
page 7	商賑會昨會議
page 7	港府勸告難民回鄉
page 7	婦女兵災會演劇籌款孫夫人籲請僑胞踴躍購券
page 7	各地難民待振孔殷
page 7	省港公路橋樑破壞
page 7	傳日軍已佔鯊魚涌
page 7	史美昨晚播音演講勸市民踴躍捐助戰費捐款一百十萬元已匯英廷
page 7	邊境裝置電流鐵網
page 7	港府否認軍火運華
page 7	本港實施防衛步驟新界邊境設電流鐵網橋樑公路破壞港海日艦未增加粉嶺居民奉政府令遷徙說不確港府發言人否認有軍械運中國
page 8	九龍城宋街兩賊圖劫不成少女呼救賊棄械逃走一賊在途中被警截獲
page 8	肺癆症之可怖一週間死一百十八人
page 8	本年五月份對外貿易統計
