page 1	蘇聯對英法建議之表示
page 2	湘北一週戰況斃二千現仍膠著於原陣地粉碎Ｘ圖壓迫我軍南撤計劃
page 2	緩境我軍發動游擊戰克復哈拉胡同等要地冀東我游擊隊在通縣南與Ｘ激戰晉南大武Ｘ分三股向我進犯不逞
page 2	五月下半月各線我軍戰績總計作戰四二二次斃Ｘ二一四一六人
page 2	組慰勞團分赴前線慰勞
page 2	皖南我軍克查家灣
page 2	梓桐縣民請纓殺Ｘ
page 2	滬租界一漢奸又被剌斃
page 2	打破階級觀念馬蔑特氏親王與縫匠女結婚
page 2	Ｘ阻止綸昌工人復工工潮暫難解決
page 2	鼓浪嶼問題略為好轉
page 2	參加抗戰朝鮮義通隊戰績昭著某某長特傳令獎勉
page 2	戰罷回國德軍列隊巡行由戈　將軍檢閱
page 2	我軍開抵淞滬路中段業已發動反攻該路全線Ｘ軍力薄弱至該路迭次遭我破壞
page 2	各地標準時間推行法每日由中央廣播台報告各地自六月一日起實行
page 2	我鐵血團炸燬Ｘ機四架
page 2	黔省企業公司成股本六百餘萬元
page 2	蒙偽邊爭日來漸趨沉寂關東軍當局宣佈蒙軍陣亡逾七百
page 2	萬壽宮牛行間Ｘ軍交通中斷
page 2	滬三報明日復刊大美報表示不屈已決定不再復刊
page 2	漢水東岸我軍活躍南林橋之Ｘ仍被我包圍中新牆河北岸我Ｘ仍成對峙
page 3	英法提案蘇聯未能接受
page 3	遠東問題願助中國抗日
page 3	俘虜植被進上尉廣播演講日軍閥打破中日民情幸福我們勿再上當中國優待俘虜用事實粉碎日軍　惡宣傳
page 3	中國優待俘虜
page 3	日本軍閥的宣傳
page 3	喚起日本國民的反省
page 3	日德兩國進行秘密談判德堅邀日加入軍事同盟
page 3	三國協定尚有成立可能
page 3	法土協定旦夕即可成立屆時當在巴黎土京同時公佈法反對派對土已改主張讓步
page 3	英大使館陸軍武官在張家口被日軍扣留原因擬通過日軍陣地赴北平
page 3	照會英津領要求移交刺客係行刺鄭士剛案者
page 3	傳英波協定將改軍事同盟英中歐司長史丹蘭聘波與波外部重要人物會商
page 3	甘省銀行開幕
page 3	蘇外長莫洛托夫發表重要演說英法所提建議未能令蘇滿足對我國被侵略願予切實援助
page 4	美機搭客激增三個月統計八千餘人
page 4	婦女會昨會議
page 4	印警索賄疑案押候七日再審
page 4	藥行商會舉行一週紀念
page 4	莫會督夫人昨在東院逝世
page 4	法民航機抵港
page 4	衛生局時症報告
page 4	惠陽青年會近訊
page 4	颶風擊毀漁船一艘漁人五名獲救一溺斃
page 5	西江下游Ｘ減
page 5	汾水江有激戰
page 5	容桂Ｘ調江門
page 5	新會肅奸運動
page 5	瀧水恢復繁榮
page 5	中山小黃圃昨告淪陷Ｘ大舉進犯與我發生劇戰大黃圃同時告急形勢嚴重
page 5	廈門Ｘ軍開往西江增援潮汕仍積極備戰各縣政務之調整疏散人口與開墾
page 5	豔卅日晨擾黃塘及南邊村Ｘ
page 5	瓊島游擊隊連日進襲海口
page 5	增城Ｘ騎兵一小隊昨向臘埔搜索前進被我游擊隊擊退
page 5	東西北三路戰訊近誌Ｘ犯兩龍墟白田岡不逞我軍冒雨攻增城之劇戰
page 5	北路
page 5	東路
page 5	西路
page 5	停止外人遊歷實施辦法
page 5	汕市易長消息有以羅為雄繼任訊
page 5	容奇發生癘疫Ｘ軍死亡甚多
page 5	實施辦法
page 5	容桂Ｘ軍實行封鎖大坳水道袁部團隊擊沉Ｘ艇一艘Ｘ砲擊大坳卒不支而退
page 5	西江下游Ｘ艦艇之蹤跡我向會城反攻在汾水江激戰新會之肅奸運動瀧水墟漸復繁榮
page 6	華僑動員總會擬派員出國繼續募捐
page 6	軍政機關須設立精神總動員會
page 6	合浦三　港Ｘ艦　集似為避免颶風吹襲Ｘ機冒雨窺襲徐聞
page 6	中山沿海Ｘ艦增加Ｘ艦昨發砲轟擊海洲Ｘ企圖登陸被我守軍擊潰
page 6	在抗戰中滋長著的肇慶三救亡工作的活躍
page 6	五邑各界追悼陣亡將士
page 6	海豐組織兵役協會
page 6	中山縣府令各鄉拆卸碉樓
page 6	粵港青年會隨軍服務團活躍在粵戰場上
page 7	義演名劇籌賑閨秀名流粉墨登場各界紛贈花籃獎勉太平戲院花香四溢
page 7	劇場佈置極為華麗
page 7	主辦人劉慶萱致詞
page 7	貂蟬名劇震驚全場
page 7	各難民營人數統計較上星期又減九十二人
page 7	萬興泰米店謀殺案訪得之女傭與案無關彼受僱僅十天數月前已辭職該店最近有無女傭尚未證實
page 7	御者五千餘人參加防空訓練
page 7	愛國女學生姊妹八人返國服務
page 7	各區原有工廠搬遷極感不便廠商聯合會昨日提出討論決闡釋理由請港當局注意
page 7	報告事項
page 7	討論事項
page 7	杭立武將返渝
page 7	深灣海賊騎劫貨艇適遇暴風雨全船沉沒榜人兩名失蹤三名幸獲拯救海賊六人蹤蹟渺然料已溺斃
page 8	十載經營僅餘一身
page 8	沒收金飾民怨沸騰
page 8	原料缺乏物價奇昂
page 8	國內壯丁徵無可徵
page 8	新任培正校長楊元勳昨就職
page 8	慶祝教師節宣言港九教育界聯合會
page 8	原文如次
page 8	四次大會
page 8	聯合戰線整飭聯合戰線
page 8	神聖任務
page 8	英振華港分會擬建萬人緣法會籌款救生吊死義實兩全作善降祥理無或爽
page 8	失學難童登記決定今日結束
page 8	市虎噬傷路人
page 8	中山僑商再請免洋米稅
page 8	學賑會女學團定期舉行夕陽會
page 8	永祥金舖劫案三疑犯昨提堂
page 8	東區中小學學生作文競賽定本月十八日舉行
page 8	新界農協會去年會務報告
page 8	最近雨水統計超過平均數額十八寸
page 8	女郎服毒獲救
page 8	六邑籌賑會定期開游藝會
page 8	Ｘ政府經濟崩潰頒布金飾國有苛例搜括民財企圖穩定日圓價格兵源漸竭竟徵至十三歲小童
page 10	夏日消遣又多一場所銀礦灣闢作泳場風景優雅交通便利避暑游泳兩皆適宜
page 10	南粵公司新靚就銀牌賽昨頒發獎品
page 10	申報杯女子籃球開賽仍未有期男子乙組入圍決賽定五日舉行
