page 1	異哉日報之謠言
page 2	王寵惠宴各國駐華使節並邀京各軍政長官作陪賓主百餘人誠一時之盛
page 2	日將在滬辦事處附設對華經濟調查部調查中國經濟與財政實際情形喜大舉經濟侵略之推動力量
page 2	滬越界築路解決問題日方從中作梗恐不免陷於停頓
page 2	青省將舉行追悼陣亡將士
page 2	內部視察分為四組出發
page 2	加藤談話川樾辭職說恐不確日報所載中國有備戰模樣僅為日一部分人士之觀察
page 2	安欽在津傳法
page 2	政院昨晨例會決議改組皖省府張惠長辭古巴公使職照准升任該館秘書朱世全代辦
page 2	報告事項
page 2	討論事項
page 2	任免事項
page 2	邵毓麟即將赴任宴請友好話別
page 2	劉尚清任皖省府主席蔣委長腰傷仍未痊昨抵滬檢驗許世英患急性中耳炎赴滬就醫
page 3	在滬日人跳舞老師公然誘惑婦女日領館對其加以彈壓
page 3	第三次調查合作事業統計
page 3	滬市電車工人罷工潮未解決
page 3	徐州城內發現楚霸五賞軍酒瓶
page 3	華南米業公司首次董事會議宋子文為董事長陳伯章為總經理
page 3	與虎謀皮藍斯白雷謁希特勒請贊助和平會議法比瑞丹挪等國已贊成此種會議德官場對藍希談話尚未表示意見
page 3	被菲綁去兩銀行家藏于莫干山中由匪七十名看管
page 3	張景惠代殷逆赴朝鮮作說客
page 3	三月份對外貿易入超激增十倍
page 3	西海面監察計劃計劃已于十九夜起實行西政府對監察計劃表示不滿宣言令海空軍保護政府船舶
page 3	佛朗哥統一右派組織
page 3	國際糖業會議尚無具體決案
page 3	英金融界評論意見
page 3	德國陸軍祝希特勒誕辰
page 3	德在摩洛哥建築防禦工事
page 3	俄飛行家戈路文乘機向北探險飛抵魯多夫太子島
page 3	許承基勝意名將史特范諾史氏為現歐洲網球名將許君此次　勝可謂難得
page 3	日傳蘇俄在海參威壓迫日本商船
page 3	徐各團體歡迎胡宗南駐節
page 3	英輪輸運鴉片案美法庭昨宣判波南斯氏監禁十年四華人則解送回國
page 3	法籍神甫稱讚中國進步
page 3	日外海陸三相會議交換外交重要意見此次會議以對華問題為中心並對英美蘇等關係亦有論及日官方表示日蘇僵局有打開希望
page 4	昨日預賽聖約瑟佔得優勢
page 4	東方體育會足球隊明日征菲一行十九人內有不少名將在菲逗留二十天比賽八場
page 4	因在省作吳主席杯賽東亞女子籃排球隊改期北返來港時仍表演兩三場已約定與興華隊對壘
page 4	改期之原因
page 4	仍在港比賽
page 4	普通界籃球賽青年會遇港大港大聯絡生疏青年會操勝券
page 4	華南中學今開首屆運動會復舉行論文比賽
page 4	英銀價遠期略漲
page 4	慶祝英皇加冕域多利辦游泳賽中西團體及軍人均參加
page 4	今日甲組尋常杯南華華對東方會
page 4	八九金跌後微升
page 4	省法幣市價堅穩
page 4	英格蘭對愛爾蘭廿五日決賽國際杯下午四時一刻在加路連山督憲杯旭和杯下月初舉行
page 5	粵人一致力爭免稅洋米入口案程天固徵集解決糧食意見
page 5	廣東財政廳擴大會計室組織功第四科兩股歸併於會計室
page 5	粵海關監督處否認擴大征收浚河捐
page 5	曾養甫整理會省財政十九日會議之情形對廢除苛雜之進行
page 5	汕市營稅額定卅萬元商仍請稅局核減十九日會議之情形
page 5	交涉經過
page 5	應付辦法
page 5	協議減稅
page 5	省府人員之更動李大超長第三科
page 5	林雲陔飛抵廣州
page 5	昨晨省務會議對洋米免稅進口擬有辦法發證登記將交海關辦理李大超談吳主席整理省政之步驟注意救濟農村並擬親赴各縣視察傳吳主席將兼建廳長續訊
page 6	主席致詞
page 6	選出董監
page 6	定期開業
page 6	籌備報告
page 6	完成粵桂湘鄂滇黔長途電話網計劃
page 6	鹽商請願代表昨日過港晉京
page 6	自梳女險些被拐脫險後投訴警局拘去串拐嫌疑人
page 6	勸告申報所得稅
page 6	星洲華工進口額下月續增千名訊
page 6	粵湘鄂贛四省特展會
page 6	上海東亞　專　球隊
page 6	粵當局擬籌建大規模痳瘋院
page 6	省會警察局長李潔芝為整頓本省警務
page 6	按押行請海關署制止關員任意搜查呈文
page 6	菸農昨聯合請願維持土煙葉專賣案
page 6	華南米業公司創立會宋子文臨時主席致開會詞孫哲生張佩紳等當選董監
page 7	遠道尋夫芳心甫慰
page 7	流彈誤中鐵店少東
page 7	槍聲三響兩死一傷
page 7	樓上住客疑放炮竹
page 7	遇劫
page 7	運鎢
page 7	九針島海面六賊劫艇傷斃二人賊黨持槍劍劫去鎢千餘元事後水警在長洲尋獲破艇
page 7	損失
page 7	鄉親縷述死者家世
page 7	緝匪
page 7	大批郵件候飛剪號機載運
page 7	我國將以外交手腕解決華南走私問題王外長先派員南來調查一切擬要求港政府協助寶安緝私
page 7	私梟活動
page 7	地勢關係
page 7	英政府決增建新艦七艘建費統計一千零五十六萬鎊中有一飛機母艦重二萬餘噸
page 7	派員南來
page 7	醉日人擾亂治安
page 7	瓊行政專員公署無派員來港募捐
page 7	懷械圖劫案詳臬
page 7	汽車煙案判決
page 7	林雲陔過港飛粵
page 7	久另重逢床頭人忽變眼中釘魯警殺妻自戕疑該警有外遇致起殺機鐵店少東中流彈受重傷
page 8	英皇加冕又一貢獻
page 8	電影女星飾金屋十二　分乘配景汽車參加巡遊李綺年對此又有何意見
page 8	到會代表
page 8	綵樓燈牌
page 8	免稅邀准
page 8	扶輪會中胡惠德醫師報告八一區年會經過為利便會務進行採納四區制分會盡量容納各種國籍會員
page 8	是屆大會職員
page 8	出席代表百餘
page 8	贈王正廷禮物
page 8	下週開會
page 8	維持秩序
page 8	重新劃分　區
page 8	會員年費一元
page 8	備受當局歡迎
page 8	會員演講者眾
page 8	促進國際友誼
page 8	促進會務發展
page 8	刁作謙談九龍城案解決辦法居民權利已有相當補償
page 8	指導青年德育
page 8	努力社會事業
page 8	收容無依兒童
page 8	如何盡忠職責
page 8	致謝各方盛意
page 8	以持助為宗旨
page 8	九龍關昨調查米舴存米量洋米穀百萬擔日間可入粵
page 8	省港米商
page 8	九龍關署
page 8	中日外交
page 8	九龍城案
page 8	入口確期
page 8	躉存米量
page 8	港江輪再減客腳
page 8	暹羅霍亂症流行來港飛機輪船均須受檢
page 8	如果我是庫務司西報徵求答案過半主張徵抽獨身稅或主張辦獎券征外僑居留稅免征妨礙商務稅項眾意皆同
page 8	問辦盛券以廣收入
page 8	贊成重徵奢侈口稅
page 8	逐步計劃徵所得稅
page 8	邵仁枚氏昨日赴滬
page 8	互相換旗紀念
page 8	龍目點睛
page 10	雪廠街苦力自縊
page 10	攷察團明日赴瓊商會將開茶會歡送
page 10	紅丸案三犯入獄
page 10	車身進口之稅制粵海九龍兩關修正公布
page 10	屈臣氏藥房年會
page 10	兩滅火局將合併旺角與深水　局
page 10	書法比賽改期頒獎
page 10	僑教會決向中央僑委會陳述香港僑校的立場請轉粵教廳照僑學辦法處理推定李達人等三人起草呈文
page 11	台山捕賭傷斃六命拘獲賭徒十八名
page 11	五區專署計劃炸灘石疏濬韓江
page 11	美海軍上將抵汕
page 11	黃濤巡閩南防務
page 11	廣州市工務進行概況一林逸民在市府紀念週報告
page 11	二建築完成之工程
page 11	新昌旅店火警續詳
page 11	華田鄉之敬老大會
page 11	西人行竊案解法院
page 11	每元僅得下米七斤
page 11	拘拿全獄職員究辦
page 11	中山林敏雅日昨已省釋
page 11	頒佈田畝重查罰則
page 11	壯丁被稅警繳槍械
page 11	防軍槍決七名著匪
page 11	軍警維持風化佈告
page 11	軍政會商緝匪辦法
page 11	青雲文社實行改組
page 11	惠陽檢驗嚇窩鄉奇屍案
page 11	台山君子坑發生土匪行劫焚殺案
page 14	冀省政府整理各縣畸形行政區域限一個月內劃清接受如有阻撓者以抗令論
page 14	整理辦法要點
page 14	爪哇華僑祖國觀光團抵滬團長潘開興率領一行廿七人勾留一月僑務局設茶會歡迎
page 14	昨日抵埠
page 14	團員名單
page 14	團長談話
page 14	茶會歡迎
page 14	考察行程
page 14	團體歡宴
page 14	不顧中央駁斥津日租界實行擴展利用漢奸購郝家台地四百餘畝日特殊區域拓廣對我威脅重大
page 15	參觀渡槽卞君引導
page 15	南莊跌水可裝水電
page 15	離開渡槽參觀農樣
page 15	農林專校前途遠大
page 15	午餐之後登車東返
page 15	工程人員樸實勤苦
page 15	陝西八惠渠之一下渭惠渠參觀紀中央社記者丁　進
