page 1	日英提攜與內在的矛盾
page 2	中央秘書處負責人談國大法規修正經過及其意義採更民主的原則羅致全國人材造成施行憲 政良好基礎取銷候選人由國府指定權俾全國公民得有最大之自由
page 2	修正經過
page 2	修正意義
page 2	大地影片拍攝經過自動議迄完成歷三年餘現該片已由電檢會　准即將公映
page 2	蔣委長背傷痊愈現在私邸靜養
page 2	冀察外委會主席魏宗瀚昨就職魏談今後外交方針務求中央地方聯繫
page 2	日傳四川反動份子暗設機關企圖暴亂經綏靖公署動員軍警襲擊匪巢捕獲主犯及搜獲重要文件頗多
page 2	長騎丸上搜獲大批私貨某人拒查竟動武兩關員被毆受傷
page 2	鐵部著手籌備在贛設鋸木廠資金定為二十萬元期於三個月內成立
page 2	他人圖我正亟津日駐軍開通演習冀東偽機關人心不安紛請辭職某方在廈暗設政治與走私機關
page 2	王外長宴前越南總督墨使謁王外長致敬
page 2	京贛鐵路十月底可完成將來由京至南昌可縮減至八小時
page 2	徐許綁案昨已擒獲匪首徐許尚為餘匪監視
page 2	嚴防私貨津關增設分卡
page 2	日大使川樾提前返日川樾返國述職後將向外相辭職日軍部方面仍主挽留川樾回任
page 3	中央儲備銀行法初稿將可完成
page 3	保定無線電台著手籌備建築
page 3	徐孝揚女士在日學習航空考取滑翔二級操縱技術超群
page 3	龍煙礦開採將由中日合辦據傳接洽已具端倪
page 3	沙王已返抵滬
page 3	顏爾露昨抵滬泊滬美艦計廿九艘
page 3	春荒災重米價昂貴薛岳請濟黔災
page 3	佐藤定日內再會見俄使續商調整日俄關係前兩次會談已獲得重要諒解點將繼續交涉具體問題
page 3	西國叛軍猛攻比爾布城
page 3	美著名電影明星約翰巴里穆夫婦離異理由為極端虐待並未要求贍養金
page 3	貴陽各界開會歡迎週覽團到軍政長官及各界民眾二萬餘人薛岳致詞歡迎指導貴州發展交通
page 3	英運糧船三艘駛抵比爾布港
page 3	解除比國洛約義務英法比協定簽字英法共同宣言發表後並錄送德意兩國政府
page 3	藍斯白雷返英報告訪德經過
page 3	意奧談話結果奧將與德合作放棄一切反德步驟國社黨參加奧內政
page 3	意國仍願保證奧國獨立
page 3	禽畜性別改稱公母
page 3	蘇俄官場發現舞弊秘密組織史太林大舉肅清重要官吏被逮者達三百人多屬警官及密探部之人員中有畏罪自殺者
page 3	巴里克今日謁宋交換財政意見
page 3	蘇聯遠東生命線西比利亞雙軌鐵路年內完成全路工程偉大計長二千五百餘哩該路完成後於日蘇戰爭關係極大
page 3	海南島發生鼠疫姚永政奉令調查
page 3	英王喬治五世紀念坊揭幕人民捐資建造紀念前王典型
page 3	于電陝辭謝祝嘏
page 3	英政府在柔佛建軍用機場
page 3	日政民兩黨密切合作後總選舉勝利可期此舉足反映日民眾反對現政府之決心林內閣態度倔強仍準備威脅兩黨妥協
page 3	閩學生號機命名
page 3	美遠東艦隊司令劉孝桐率部抵蚌
page 3	奧警搜查國社黨非法機關捕重要人員廿名
page 3	日親王秩父宮在倫敦之活動
page 3	德意合作日趨密切戈林再訪意首相負有重要任務兩項商議撤回兩國赴西志願兵勸墨索里尼赴德晤希特勒
page 4	勇戰之下中華有佳妙演出原屬零對零與奧斯德賽和李國祺擺烏龍陣致負一球奧斯德隊已奪得甲組錦標
page 4	今日國際杯決賽愛爾蘭英格蘭碰頭英格蘭隊於七年前曾得勝利一次愛爾蘭隊開奶杯土從未嘗有共名愛隊全以奧斯德隊代表將得勝利此場比賽南華所發名譽券不通用
page 4	我國足球隊參加世運會所得印象李惠堂在播音台作足球講座第七講
page 4	港粵女籃球交兵興華大勝潔芳潔芳今日對南華民大籃球隊來港明白先戰青年會
page 4	昨日足球賽成績
page 4	聖約瑟陣線零落南華南為所欲為四對零獲大勝
page 4	普通籃球賽成績
page 4	小球賽成績及秩序
page 4	華仁乒乓隊勝華義
page 4	英銀價再縮一咽
page 4	東亞展期歸滬在港作三場比賽排球今日對南華不收入場券籃球明晚對興華後晚對港聯
page 5	防空處人員題名籌備演習之進行
page 5	無照影片一再延其禁映六月十五日執行
page 5	孫宋下月來粵訊
page 5	張繼麥煥章抵省後之行蹤
page 5	民食會原任秘書處某負責人對洋米簽證案之呈辯
page 5	改組米商公會訊
page 5	免稅洋米穀昨日開始登記情形前往省府登記米商頗眾俟審查後登證放行入口民食會派員分駐各關辦理
page 5	又一視察員受走私嫌疑撤職
page 5	登記情形
page 5	申請書式
page 5	入口問題
page 5	許可證書
page 5	派員駐關
page 5	召見米商
page 5	免納附稅
page 5	吳鐵城兼任保安司令後決從新改編全省保安隊先組保安教導總隊兩隊另編保安團重質不重量強化保安實力減輕負擔
page 6	程氏談話
page 6	吳主席巡各機關記
page 6	廣州市銀行著手調查工廠商店工商貸款之準備土煤油廠之家數
page 6	汕商申報營業稅
page 6	扣留鹽船請放回
page 6	漢民路昨日塌屋
page 6	征收所得稅要聞
page 6	河南省商會電
page 6	事務處改名稱
page 6	警探破獲德商被竊鉅款案
page 6	情節離奇之匪夥械劫智婦扁門困匪案軍警現已派隊四面包圍正在計劃圍捕中但事主被昨挾待生死未卜
page 6	撤銷土煙專賣案稅額問題將解決財部昨有電覆汪宗珠召集於商討論陳慶賢談話
page 6	廣東各界籌款購　祝壽會
