page 2	我不得不表明一點
page 3	黎總統擬下令將曹汝霖陸宗輿交法庭訊辦
page 3	周樹模抵京有起用消息
page 3	董康擬擴充九六公債為萬一千萬即日發行
page 3	黎元洪幕僚處內爭甚烈
page 3	外交團照會對黎元洪就職表示好感
page 3	張紹曾昨由保定回京謁黎元洪言吳佩孚堅辭陸軍總長惟對奉主減張作霖實力至廿七廿八兩師及八關各派宜盡裁汰未入關之兵暫為保留黎已電王占元轉張作霖
page 3	聞交通部進行大借款以統一鐵路為名擬還到期鐵路外債及為裁失政費等用
page 3	外訊高士儐在琿春已被捕並有槍斃說
page 3	懲辦曹汝霖陸宗輿令顏惠慶主先起訴再下令方合手續故未副署黎元洪亦未蓋印
page 3	黎元洪已派王占元赴愉關為和議裁判並派金兆炎赴保定商結束奉軍辦法
page 3	漢口傳湘趙恒惕遇剌未中剌客已槍斃
page 3	蔡成勳再辭援贛總司令謂南北將攜手無援贛必要國務院覆令迅接各軍毋固辭
page 3	陳炯明電吳佩孚請勿以武力解決時局吳覆武力匪所願惟聯省自治應由國會制定非口舌能致
page 3	董康高恩洪稽查財政交通兩部舊賬曹汝霖長該兩部時借款均由陸宗輿經手內有三萬五千萬無著高請下令通緝顏惠慶及王寵惠均主先交法庭審訊
page 3	顏惠慶以伍廷芳不來已向
page 3	黎元洪堅辭
page 3	聞內閣　全部改組說
page 3	吳佩孚以蔡成勳迭電告急並辭援贛總司令擬調王承斌廿三師南下助戰並令薩鎮冰率艦隊助蔡攻孫文
page 3	陸榮廷二十日到滬即回桂
page 3	饒漢祥向黎元洪辭行並留書痛陳時局黎派員挽留勸勿灰心
page 3	晉閻錫山電告已裁兵六營
page 3	奉直議和聞張作霖索相當地盤王承斌電北京保定請示保定核可任為將軍府上將軍
page 3	江天鐸因舊國會攻擊張國淦代張大讌議員並託要人為張幫忙
page 3	　十日閣議董康提出擬發十　年短期公債一萬二千萬請顧維鈞商公使團退還庚子賠款否亦緩交五年即以該款為公債擔保顧欲先將用途開示公使團董不允後改先列用途交財政委員會通過再由顧商公使團
page 3	陳光遠軍約萬餘人潰變大掠殃及教堂外艦紛赴潯州保護外僑
page 3	韶關之軍事消息
page 3	粵省政變之港聞
page 3	省長印信移交粵軍保存
page 3	孫系人物之蹤跡
page 3	長洲砲台情形又一說
page 3	直廷芳近狀
page 3	油麻地劫案初審
page 6	　黃陂出席國　會議
page 6	　收外蒙交涉詳紀關心　十國權者注意
page 6	追述贛局危
page 6	　總統停戰令
page 6	陸海軍出險紀
page 6	英國撤消駐中國郵局期
page 6	星架坡亦繼續　屋租
page 6	　國海軍
page 6	日本批准雅邑島條約
page 6	新發明無線電探海燈
page 6	法國執獲大幫煙料
page 6	國王行動
page 6	俄意條約
page 6	烏約縫衣工罷工
page 7	逃難　婦被驅
page 7	抬轎苦力又打架
page 7	轎夫打架被控
page 7	小輪被碰裳傷
page 7	破獲剪綹機關續聞
page 7	瑣聞一束
page 7	更正本業工會事
page 7	九龍汽車工人又罷工
page 7	索賠損失案
page 7	深水灣命案續聞
page 7	英皇加冕日
page 7	公司聚會報告
page 7	傳染症報告
page 7	銀價
page 7	九龍開放水喉
page 7	本港得雨之數
page 7	謝贈美酒
page 7	影畫誌
page 7	被控私開救火水喉
page 7	煙土案
page 7	竊案一束
page 7	關國雄領子彈解梧州
page 7	嚴令保護各團體各居民
page 7	羅翼群逃後之憲兵
page 7	資送國會議員離粵
page 7	西濠酒店電網斃人
page 7	觀音山天橋下之時裝女屍
page 7	省　軍事消息
page 7	廖仲愷解兵工廠看管
page 7	各　紛建閘門
page 7	　　　廣州市情形
page 7	總商會勸各商店開市
page 7	大本營散失圖劫被獲
page 7	廣　路遣散女職員
page 7	官眷逃避被截
page 7	以重兵監視海軍陸戰隊
page 7	粵軍軍宮研究所又被海軍解散
page 7	海軍騎集第三師巡艦
page 7	胃兵圖劫被獲
page 7	江大江漢江鞏三艦行蹤
page 7	駁船卸貨須知
page 7	促進和平豈能徒託虛名
page 7	保護自來水廠
page 7	新會警長為招兵機關所累
