page 1	現階段之經濟戰
page 2	晉南日軍潰退
page 2	五原戰役我婦女自動抬送傷兵傅副長官據報後特予獎勵
page 2	金融劇變中上海市場的萬花筒物價瘋狂飛漲日商自食其果
page 2	渝新聞界公祭李堯卿劉柏生兩同志八日晨在重慶長安寺舉行
page 2	滬金融市場人心安定提存風潮已平
page 2	海內外各界繼續討汪
page 2	臨湘日軍被殲殆盡我乘勝向蒲圻疾進鄂南一部向陽新進擊
page 2	綏西虞後復興會工作完畢城鄉秩序已安堵
page 2	保定石家莊附近激戰
page 2	挪威北部戰爭仍繼續進行中德　軍轟炸聯軍陣地英空軍亦轟炸挪威克
page 2	墨索里尼又對民眾狂吼打破一星期來沉默態度
page 2	法幣低跌僅係暫時性質
page 2	瑞蘇商議易貨問題
page 2	南僑第二分團由渝抵沅
page 2	滬偽市長傳筱菴向工部局抗議為謝逆被刺事
page 2	蘇匈關係漸見好轉蘇允將大量木材換取匈之出口貨
page 2	豫南日軍狼狽流竄鄂中我軍斃日逾千晉南董封大道日軍全部動搖
page 3	英眾議院通過信任現政府案國會即日宣言休會但現內閣或將改組
page 3	四川省經濟建設綱要業經蔣委員長核定
page 3	工黨議員抨擊政府
page 3	一週戰況四月廿八日至五月四日軍事委員會發表
page 3	空相報告作戰經過
page 3	首相躍起致反駁詞
page 3	海相報告作戰經過
page 3	勞特喬治態度激烈
page 3	英國輿論改組內閣
page 3	張伯倫運日甚忙碌
page 3	美國輿論謂英軟弱
page 3	羅斯福外交活動向分兩方面進行一為應付太平洋美艦隊集中夏威夷一為與教皇攜手阻意加入戰爭漩渦
page 5	日艦艇犯鶴山邊境
page 5	整理廣東財政財廳向四行借款四百萬以營稅契稅收入為擔保已分呈備案限年半清還
page 5	借款四百萬元營稅契稅擔保
page 5	週息七厘半十八月償還
page 5	四邑穀米不源日裕米荒問題已告解決洋米未有入口搜羅土米接濟
page 5	舊欠百餘萬應扣還本息
page 5	粵偽省府將揭幕各樹勢力之政爭潮偽番禺縣長被撤之內幕
page 5	各淪陷區均鬧米荒
page 5	增城偽軍出擾博增邊境激戰滘廈馮屋慘遭蹂躪
page 5	檀香山華僑投資辦理粵墾區辦法已定將來純益三方面平均分配由省振會督導及管理墾民
page 5	欽邕路東側戰雲密佈日軍突西犯鏖戰甚烈彼圖奪取重要據點但不獲逞楊美一度淪陷旋即為我收復日艦又闖進北海港未敢異動
page 5	日軍西犯全部崩潰
page 5	新舊日軍發生火迸
page 5	日大舉反撲黃屋屯
page 5	日機狂炸四邑台開屬內多處落彈
page 5	各線戰事仍在沉寂中我當局令各部嚴防日軍誘殲日艦艇犯鶴山黃寶坑被擊退淪陷區均鬧米荒民眾多外逃
page 6	鼓勵商人集款自運
page 6	市郊各鄉匪徒披猖南圃鄉之空前鉅劫八百餘匪黨入鄉洗劫歷時兩晝夜日汽艇兩艘入鄉梭巡亦被騎去
page 6	蘆苞戰時色地方有畸形的繁盛人民捱貴之痛苦
page 6	救濟南路米貴問題
page 6	粵建廳獎勵僑胞開發實業
page 6	省府更調連平紫金縣長大良抗戰官兵從優獎卹
page 6	粵綏靖署槍決漢奸四名
page 6	省振會撥款救濟傷病官兵和平縣籌款慰勞
page 6	日偽軍擾害我船艇彙記
page 6	瓊島日軍出擾到處受創
page 6	抑平南路米價近訊免稅洋米二千包已分配各縣省府核准減輕購米款項匯費廣州灣演戲籌款購洋米賑濟
page 7	政府當局縝密考慮
page 7	留港挪輪均已復航英航務部規定航行範圍
page 7	古瑞庭昨赴星為難民救濟會募捐
page 7	住客聯會請速實施
page 7	東院定期賣花
page 7	九龍倉列為禁區旅店航商營業受影響華人酒店客棧召開會議聞當局將發苦力許可證
page 7	英輪嚴防水雷船上又有新設備
page 7	印刷業商會新職員昨選出
page 7	青山道發現被縛女屍
page 7	九龍關分卡變更檢查時間
page 7	淡水魚昨絕市澳門絕無運來
page 7	焚艇案傷者昨日又死三人警探當局購緝匪徒
page 7	九龍仔山坭傾瀉活埋小童慘劇死者一人重傷者兩人
page 7	警探搜捕歹徒
page 7	滬童軍舉辦旅港團員登記
page 7	修正防止迫遷法例港府尚在縝密考慮中必要時或交小組委會負責研究關係社會安寧住聯會促請實施
page 8	銷行全國為數甚鉅
page 8	香港分會今日成立
page 8	警察當局查核梁謙武捐款確數存款簿據均帶返偵探部梁住勝斯酒店凡十五月
page 8	四月份各塘存水統計較去年同月略增
page 8	香港方面
page 8	基隆街劫案詳臬定讞孫冠改接贓罪
page 8	本港銷數冠於各地
page 8	中英邊境私梟猖獗竟持機關槍押運私貨
page 8	九龍方面
page 8	氈酒四瓶
page 8	英海軍機械員被控酗酒駕車輾斃手車夫高級法庭昨日正式提審主控官述慘案發生經過
page 8	靳氏兄妹畫展訊
page 8	下週之公眾假期
page 8	錯走路線
page 8	祇覺頭痛
page 8	儲蓄券在港發行後銷數為海外各地之冠節儲建運港分會成立成績將更佳儲匯局副局長徐繼莊氏來港談話
page 10	銀聯足球義賽本星期六舉行另加插一幕女子隊對益壯隊
page 10	響應傷兵之友運動明日籃球義賽女子培道戰思起男子鐘聲抗南華
page 10	九龍高級學籃賽今日止截報名
page 10	昨日學排戰績
page 10	友誼球賽消息
page 10	乒乓聯合會近訊
