page 2	對日交涉大警告七亡國條約的痛史國恥紀念的公憤願我國民其無忘
page 3	閣議不允羅文幹出獄
page 3	不信任案眾院列入今日四號議事日程
page 3	黎元洪令李易標為廣惠護軍使申葆藩欽兼鎮守使洪兆麟洪威將軍兼粵軍第三師長
page 3	曹錕接沈鴻英電保洪兆麟惠潮鎮守使李易標瓊崖鎮守使謂兩令發表即就職曹轉徵張紹曾吳佩孚意見
page 3	丁槐電張紹曾言孫洪伊徐謙反對下孫文工兵督辦令保洛來電亦主張緩下故暫擱聞吳佩孚意待統一自兼
page 3	公使團擔任保存天津意械不任再接濟張作霖
page 3	二日日使訪張紹曾抗議美無線電台約同日美使亦因此訪張言本月美日在華府協議此事張飭外交海軍交通三部
page 3	會同核辦三百三部會議以段祺瑞任內曾確允日本三十年專利今美日商議結果交華會所規定之東方審查會調處
page 3	財部決移用內債基金京滬銀行界屢抗議均不理冀將基金內關餘除略付無保外債本息外餘充政費英美法少無保之債故仍贊成安格聯原議但日本因西原等借款數百兆均無保力贊財長劉恩源政策
page 3	公使團對八國委員調查中國司法態度極冷言邇來中國自毀司法精神
page 3	吳景濂語人近傳吾謀組國會內閣說係張紹曾派宣傳政策並非事實
page 3	宜昌訊開縣戰事劇烈結果楊森敗退萬縣盧金山亦退守夔州待援蕭耀南一日電吳佩孚請示機宜並趕運炮彈接濟盧金山
page 3	閣議通過廿一款覆牒尚須送外部修正方發表
page 3	參議院二日會議不信任案付審查刪不信任字改為喪權誤國應予罷免案
page 3	王寵惠在保定時曹錕言羅文幹案非出已意故王讌粵籍議員連名保釋
page 3	蕭耀南覆吳佩孚已派員赴閱黔軍尚有戰鬥力即給械援川
page 3	黎元洪密派代表謁曹錕商繼閣事曹不表示態度但曹另電張紹曾荐顏惠慶長外交即為繼閣地步
page 3	呈佩孚得牒報某國密聯孫文張作霖接濟械彈幫助作戰南侵湘贛北侵錦榆夾攻
page 3	倒直
page 3	劉冠雄電京與某省有重要接洽須妥協方晉京
page 3	孫傳芳恐劉冠雄防礙援軍電京請催劉離閩
page 3	沈軍連日會議之所聞北路佈防之嚴密注重西江以防桂陸暢論奉軍尚未能入關
page 3	瓊州學界開拒債聯席會議
page 3	電燈工人罷工
page 3	藍煙通火船加薪風潮
page 3	警司告示照錄
page 3	攔途截搶又聞
