page 2	霍亂之預防及療法三
page 3	吳佩孚定宥廾六日對湘下總攻擊令限期克復岳州進取長沙
page 3	川軍攻陷巴東施宜吃緊吳佩孚派董正國赴援
page 3	段祺瑞召集陸軍部差遣員及軍官畢業生赴湘參戰每人川資六十元聞出京者已六百餘人
page 3	駐公安湘軍三千餘人渡河進攻被第八師擊沉船十數艘死傷甚眾並生擒數十人
page 3	吳佩孚電召張鈁梗廿三日到漢口聞與陝局有關
page 3	公府某洋顧問條陳徐世昌約共三項一收復蒙古不宜因循宜乘俄根基未固速出兵收復再與俄議和二陝省善後須肅清漢中三鄂事用武力解決務將湘軍驅逐出境以圖統一兩湖
page 3	湘人要求自治吳佩孚蕭耀南不允以致續行決裂中右路激戰雙方死傷甚眾
page 3	川軍窺鄂甚急秭歸知事已逃蕭耀南催孫傳芳速赴上遊警備
page 3	吳佩孚電告前敵軍事得手速匯百萬元接濟
page 3	靳雲鵬請徇曹錕所請下討湘令徐世昌尚躊躇未決
page 3	財政部自蒙湘鄂等處戰事發生已支出軍費千餘萬
page 3	參陸處電張作霖赤塔交還庫倫恰克圖無期邊防勿懈
page 3	李兆珍長皖係由倪道烺代為運動費去二十餘萬惟李見各界反對懼得禍已呈辭不就
page 3	津浦徐蚌路線將修竣昨又
page 3	沖毀須再緩四五日乃可通車
page 3	加拿大銀公司借款三兆已簽　靳雲鵬命先提百萬元交曹錕轉運與吳佩孚
page 3	吳佩孚密請靳雲鵬派砲兵營下級官員百餘名赴前敵聞參陸處已選足額
page 3	陳炯明注意湘鄂戰事
page 3	孫文急於援鄂之情形
page 3	東方通信社電
page 3	黃培桂被馬濟扣留之傳說
page 3	五審謀殺李少帆案
page 3	魏軍補足四團
page 3	陳艦長酒醉發牢騷
page 3	鄧女士市選再運動
page 3	小火虛驚
page 3	是否又遇拆白黨
page 3	東華醫院控廣生行案定期開審
page 3	被控虐婢案再押候
page 6	贛省　近軍訊　
page 6	威埠領事更迭之內幕
page 6	沈廣聚宣佈與蔡成勳脫離關係
page 6	湘鄂戰事彙誌
page 6	趙恒惕　
page 6	吳　　過
page 6	吳佩孚倡聯省自治說
page 6	萬國報界大會消息
page 6	上海大風災記
page 6	車衣行另組商會
page 6	開門揖盜
page 6	懷銼何為
page 6	南華游泳日期
page 6	反對畜婢會宣言書續
page 6	擱淺法輪有脫險之望
page 6	要聞彙錄
page 6	日人對於美京會議的觀察
page 6	鳥絲倫大臣對於飛艇失事之感言
page 7	魏軍撤去兵站
page 7	罷工風潮洶湧未已
page 7	各艦陸續回防
page 7	祝捷會改期今日舉行
page 7	警察生彈冠相慶
page 7	廣州酒店被封案之葛籐
page 7	粵軍留守桂地之分佈
page 7	又解散顏作標部隊
page 7	洋輪兒戲人命
page 7	楊坤如病重
page 7	梁社為患於新會
page 7	惠陽令報告下鄉緝捕
page 7	蕭清恩平匪患之一紙例電快郵代電總司
page 7	大衾島建設瘋院之窒礙
page 7	小欖演戲幾鬧風潮
page 7	清遠印花員被控
page 7	傢私工會控建造木工滋事
page 7	江門商會對於抽收繭厘之疑慮
page 7	東沙角不准再開客棧
page 7	雷擊大蛇
page 7	鎖聞一束
page 7	船政署案
page 7	搭客墮海
page 7	銀價
page 7	南生輪載來解犯
page 7	舊屋瓦面傾塌
page 7	中國銀行定期喬遷
page 7	香港大學副監督抵星架波
page 7	煙台電線不通
page 7	遊客報失支銀信
page 7	報失少女
page 7	啟安丸中途修船
page 7	　港大酒店撤充營業
page 7	傳染症報告
page 7	天祥公司案被告得直
page 7	爭痧煖臍散方
page 7	私開煙局判監
page 7	偷打字機無據
page 7	煙案
page 7	搶錢檯判監一月
page 7	慘遭意外兩則
page 7	九如坊冒險　畫
page 7	縣選舉監未准銷差
page 9	俄約停頓與孫文有關
page 9	陳樹藩就陝西護法軍總司令
page 9	鄂省各界對吳佩孚之要求
page 9	提出太平洋會議標準
page 9	湖北公民第二次大會紀
page 9	西報述王占元敗走之原因
page 9	劉湘對於聯省自治之主張
page 9	東報紀中國本年之應還債額
page 12	茶居罷工尚未完全解決
page 12	大佛寺駐軍繳械
page 12	煙仔洋酒須貼印花
page 12	塾師仍反對巡迴教授
page 12	桂事近記
page 12	曾某擇配之趣聞
page 12	仁化小學姦案續聞
page 12	議員　家為鬼所崇
page 12	咨請湘省取消粵鹽軍費
