page 2	罷了
page 3	京政府電岑春　向川湘滇黔化除隔閡至接濟桂省平粵及通知外交對粵選舉總統一致否認各事自有中央負責
page 3	京政府將派張作霖充征蒙大使咸西北經略三特別區軍隊概歸調
page 3	張作霖儉廿八日謁徐世昌力辭征蒙責任徐詰以言猶在耳何忽反悔張答言　罷工
page 3	徐世昌催參陸處速定援庫根本計
page 3	征蒙事因西北疆吏關係暫停
page 3	徐世昌電召朱啟鈐速回　
page 3	京政府以陝甘聯盟擬令甘督陸洪濤真除但陸仍助陳樹藩合拒直　
page 3	陳樹藩電曹錕條舉六項其大　請後日緩兩月到任除衛隊外少帶軍隊
page 3	曹錕恐陳樹藩與于右任相結已派員赴陝向于張鈁接洽
page 3	曹錕因陝事昨先出京今由津撥予五十萬張作霖又得百萬為征蒙開拔費王占元得百萬為鄂西軍費又實業券六百萬為償還墊餉
page 3	京政府為曹張王在京津供
page 3	商輪多欲託庇外人
page 3	招商局昨開股東大會議咸擬亟謀整頓其要旨一董事不宜兼充辦事人二積餘總理應由總經理兼任三總經理應由股東投票公舉結果公留舊股東二人李偉侯周金箴鄭陶齊新董舉盛澤承陳翊周陳安生麥佐之張知笙邵子瑜另舉經理一人以盛泮澄多數當選由股東推定
page 3	王占元決由津浦赴蚌埠及寧潯三處晤張文生齊燮元陳光遠並約陳到潯晤　
page 3	張作霖已備
page 3	吳佩孚派參謀長代馮玉祥旅請給開拔費得四萬僅敷團　
page 3	京政府對陳樹藩抗命決用武力因直系已有布置促曹錕返任會同吳佩孚積極進行
page 3	吳佩孚由保定到津會晤王占元後同赴魯檢閱軍隊
page 3	皖浙閩贛各將行政會代表撤回齊耀珊派員疏　
page 3	國務院昨特電促閻　文兼程赴
page 3	潘復對財長謂非真除決不就　任但徐世昌不允已派人
page 3	靳雲鵬與張作霖因起用張勳相持不下張宣言若不能辦到則將不問蒙事頗露倒閣　
page 3	應費　十萬間接費約共千萬
page 3	外交輪艦亦要檢查
page 3	魏軍糧食子彈之豐足
page 3	省銀行辭職續聞
page 3	粵桂軍事要聞
page 3	取消加差餉案之佈告
page 3	招商局選舉鬧風潮
page 3	臬署案
page 3	增建大廈
page 3	美國之紀念日
page 3	遠東運動會消息
page 6	　協約簽　
page 6	辛博森反對英日續盟
page 6	大連金建問題有轉圜 　
page 6	華僑聯合會往來要事
page 6	破獲賭局案判罰
page 6	新西街火警
page 6	遂益船已返港
page 6	好海浴者慎
page 6	傳染症報告
page 6	搭客死三人
page 6	電車脫軌
page 6	銀價
page 7	派員巡視西路防　
page 7	疏通粵桂要人意見近聞
page 7	湯廷光去志甚　
page 7	又擬收祠宇契稅
page 7	醫界選舉市參事之內潮
page 7	某要人之逃兵談
page 7	馬君武辭職原因又一說
page 7	沙面之巨竊案
page 7	增城鹽警挾械潛逃
page 7	護沙營竟侵權壞法
page 7	限各縣依期解糧
page 7	馬口厘廠請減餉續誌
page 7	蘭軍調防
page 7	擬設西江警備司令
page 7	肇慶戒嚴情形
page 7	昌兵行劫乎抑真兵　劫　
page 7	湘粵交界之行路難
page 7	北江土匪乘機蠢動
page 7	潮汕漁團保　尚不肯解散耶
page 7	汕頭商事公斷處處長之另選
page 7	不准女伶在茶樓度曲之批令
page 7	瑣聞一束
page 7	中國在法之教育近狀
page 7	德國賠款近訊
page 9	袁祖銘北上之皇遽
page 9	英國對我煙禁之違言
page 9	雲南制憲已提出
page 9	何豐林電辭勳位
page 9	未有人情上船被罰
page 9	引渡案再押候
page 9	鶴園村被劫
page 9	懷有利劍判罰
page 9	全國報界聯合會常會記
page 9	顧維鈞回國消息
page 9	海籌艦長在防病　
page 9	澳門娼寮多有復業
page 9	煙未納稅被罰
page 9	貨車撞倒私家車
page 9	被迫私煮煙膏
page 9	強匪傷人
page 9	載胥及溺
page 9	偷銅入獄
page 9	意外斃命
page 9	愛國會再辦工讀夜　
page 9	賭案
page 12	陳炯明通電　　　
page 12	機器商業聯益公會之集議
page 12	梧州亦宣布戒單
page 12	機器工人將續提出要求　
page 12	旅館行請願取銷牌　
page 12	再電反對湘運軍鹽減費
page 12	銀業行注意維持中行紙代表謁見馬廳長憤　　
page 12	代表與工行長之問　
page 12	補錄整頓學風之分　
