page 1	　與世界和平
page 2	南昌之戰Ｘ受損失重大Ｘ亦自承此役遭遇困難足與盧森堡戰役相比擬
page 2	右翼武寧血戰經過
page 2	中路Ｘ軍幾全被殲
page 2	左翼之Ｘ進犯南昌
page 2	放棄南昌無礙戰局
page 2	立國會批准立德條約將米美爾歸德
page 2	平郊我游擊隊勢力雄厚Ｘ軍忙於應付
page 2	鄧家彥昨抵桂
page 2	滬金融界擬赴西南考察團員人選選派中
page 2	湘北劇戰我克復旗鼓嶺岳陽之Ｘ連日死傷二千
page 2	我空軍在射陽炸沉Ｘ艦兩艘Ｘ軍溺斃者極多
page 2	Ｘ軍千餘圖犯芮城
page 2	我游擊隊英勇戰蹟
page 2	浙江海門灣經已封鎖以防日軍登陸
page 2	滬西游擊隊已攻至北新涇松家行及閔行游擊隊圍攻Ｘ軍已達兩晝夜
page 2	離石之Ｘ分兩路犯店坪在新　村附近與我對峙
page 2	上門一帶我Ｘ激戰
page 2	綏包Ｘ偽形成對立
page 2	信陽殘Ｘ準備逃遁
page 2	我Ｘ在高安東北對峙武　東北地區戰況仍極慘烈　溪　一部南渡向靖安增援
page 2	武寧血戰經過Ｘ軍損失奇重
page 2	犯北街Ｘ被擊已退回艦上犯沙坪Ｘ被痛擊大部回九江敗退
page 3	西戰已告結束共和軍已放棄各城鎮意德西三巨頭將會談
page 3	巨量廢鐵由法運德德可用以製彈將之還　法國
page 3	英德商務談判停止進行
page 3	平沼對記者談日閣或將改組平沼近衛會商時局問題
page 3	世筆會法分會舉行中國文藝欣賞會各國名文演講稱道中國文化中國吳小姐當場誦讀李白詩
page 3	達拉第發表重要演說聲明法不能放棄寸土準備抵抗侵略與各國合作維持和平德意若以暴力來犯彼必反遭受打擊
page 3	波蘭否認德國迫還丹澤波蘭已實行局部軍動員相信自身力量足以抗德
page 3	渣打銀行舉行股東常會
page 3	張伯倫宣佈擬擴編志願原有十三萬人擬增加四萬人希望國會對此計劃加以援助
page 3	英議員批評香港驅逐游民法例凡無正當職業者皆應驅逐出境此例之實施難免有不公平之處
page 3	優待征人家屬桂省辦理情形
page 3	法積極充實越南防務建造大規模製機廠製造飛機
page 3	蓋達盛語淩英意有轟炸機　百架可飛倫敦施行轟炸
page 3	德阻斯軍防邊斯向德國交涉
page 3	好萊塢兩星締合
page 3	處置以鹽稅為擔保債務辦法財部發言人再加解釋
page 3	加利佛尼亞飛剪號作橫渡太平洋
page 3	加里寧服務廿年紀念
