page 1	救災與救亡
page 2	日在華設經濟調查部確已漸形具體化利用一般漢奸擔任調查工作漢奸任某被利用為情報主任
page 2	京滇週覽團已抵達目的地昆明全程三千公里需時一零六小時半此誠開我國交通史上空前紀錄
page 2	黔省旱災慘重顧祝同為黔災籲賑電請賑委會撥款二百萬元俾便辦理賑務以拯救災民
page 2	名古屋展覽侮辱我國我國採取有效辦法昨日乃下令將該中國館停閉並將展品封箱運回拒絕展覽
page 2	商都附近匪騎兵一小部竟侵犯我軍陣地我軍迎頭痛擊即將之解決
page 2	華北日軍增加駐通部隊　擴張在通營房
page 2	宋哲元昨離察返抵平
page 2	津日軍無理擅捕農民
page 2	平戒毒所失火所內收容毒犯大部乘機逃跑
page 2	劉尚清對記者暢談治皖方針皖省雈苻未靖注重肅清匪患
page 2	劉多荃在豫被刺受傷右腋中一彈即乘機飛滬療治兇手當堂擊斃行兇原因未明楊虎城辭陝綏靖主任將出國考察
page 3	津銀業界歡迎巴特里克
page 3	卞白眉致歡迎詞
page 3	巴特里克致答詞
page 3	粵鐵路建設公債案今日立院審議
page 3	津市府澈查海河浮屍令飭各局分別注意務期多獲事實材料
page 3	鐵部方面表示津石鐵路無建築之必要且與津浦路北段平行有違建築鐵路原則故主張祇可修築滄石線並須由鐵部主持
page 3	贛教廳長程時奎與兩記者涉訟
page 3	偽商集資在粵組墾殖團
page 3	長崎派小學生來華訪問我國小學演一幕親善小把戲
page 3	蘇再草擬第三五年計劃第二五年計劃大部業已完成
page 3	川災振款商定分配標準備重災縣每縣款三萬次重災每縣款二萬
page 3	德國否認參加轟炸古爾尼卡叛軍亦謂係政府軍自行毀滅巴斯克政府主席斥其言為荒謬
page 3	英國意見
page 3	馬麟過徐西返寧夏回民馬永德換車不慎被軋斃
page 3	冀東偽組織橫征暴歛發不聊生有　殺者
page 3	朱慶瀾由蓉飛抵西安朱當午即訪顧主任商談陝災救濟問題
page 3	石門返照濬闢游泳池五月底可落成
page 3	張自忠電告已抵東京
page 3	于何日內晉京
page 3	七屆全運競賽規程修正
page 3	中美無線電話年內即可通話
page 3	甘組籲賑團晉京呼籲請賑
page 3	于右任準備赴杭避壽
page 3	滬日滬人擊傷我國稅警現在全體關員稅警將向財部請示辦法
page 3	徐埠廢黃河掘出宋朝住宅
page 3	孔特使抵奧京
page 3	北滿抗日義軍昨攻陷寶山鎮擊斃日人三名
page 3	英法比三國暫不舉行談話比若與德開始談判事前必與英有磋商
page 3	齊亞諾抵阿爾巴尼亞
page 3	法航空部長赴英出席世界和會
page 3	我對紐西蘭台杯賽我代表一勝一敗
page 3	日政黨與政府間鬥爭將受民眾公開裁判參加鬥爭各方現正屏息靜觀總選結果同時民眾對投票之態度團保持為沉默
page 4	九龍華仁書院週年運動成績
page 4	邀各會選員參加域多利游藝會慶祝加冕十五日舉行
page 4	全港小型足球團體昨晚開會歡迎唐英桓盛況席間唐氏報告此次南來使命領袖盃決賽定在南京勵志社
page 4	友誼排球賽仿林中學對西南今日下午三時半在仿林球場
page 4	華雄會友籃球秩序
page 4	公開排球止截報名
page 4	英美銀價仍趨漲
page 4	足球結束球迷好去處公開壘球二日開幕香港會對日僑在海軍球場
page 5	吳主席補行宣誓期覃委員日內可到粵
page 5	吳主席飭續訂三年施政計劃
page 5	軍隊交互補充訊粵豫交換二千名
page 5	劉維熾入京述職短期內偕孫科南返
