page 2	我對於國民會議之意見續
page 3	方本仁十二日電告回省自述擊退譚延愷功續謂鞏固長江支持大局聯軍北伐會師武漢之聲一掃而空
page 3	孫傳芳齊燮元標榜聯治謂西北各省經有接洽但陳炯明駐滬代表劉君亮否認陳炯明有與聞其事湘代表袁華選亦謂趙恒惕決不聯齊
page 3	小孫派確拉李烈鈞聯齊燮元謂民黨如贊成與齊合作則蔡成勳部反戈逐方本仁後當擁李回贛李無表示
page 3	齊燮元派代表謁唐紹儀商聯治唐謂齊與孫傳芳贊成聯治甚好但江浙加入聯治時最好由江浙人說話接洽若由齊孫發動不免越　某代表嗒然
page 3	蔣方震在各報登啟事謂與馮玉祥無職務關係南下係私事
page 3	齊燮元孫傳芳將推周蔭人為第三路司令馬聯甲為第四路司令
page 3	張允明蹤跡詭秘張部已收編殆竣
page 3	盧永祥十四日電調奉軍第二軍第八旅南下及調皖軍相助徐州以南奉軍連日赴浦口渡江分駐堯化門棲霞山第十師全部向鎮江開赴鎮常齊燮元派二師六師一部西上阻截傳兩軍十四晨在龍華開火二師向下蜀退惟尚待証實龍華下蜀間鐵橋又毀
page 3	滬十九師七十六團十四日崑山唯亭六師廿三團十五
page 3	日開拔秦洸十四日離蘇滬鎮間十五日可通車齊燮元部沿路開赴鎮江高資下獨防守
page 3	孫傳芳軍由嘉興水道赴蘇州會師兵力共三萬餘常州第六師一部有接洽投盧永祥說
page 3	十三日閣議對滬事初擬下討伐令著盧永祥韓國鈞張宗昌分任電調皖軍助盧又電張作霖商奉軍固後方但下午三時段祺瑞如特別會議認齊燮元非有大軍不必張皇孫傳芳已電告撤防陳調元白寶山馬玉仁均電服從中央故決取緩和策先下四令四令見昨電十四日電留韓國鈞緩下蘇督辦令
page 3	十三日吳光新宅會議對滬決主用兵
page 3	十四晚段祺瑞宅特別會議決派員赴浙勸孫傳芳逐齊燮元
page 3	馮玉祥十三日率衛隊五百赴張家口度歲更將赴綏視察南苑馮部一團調赴長辛店
page 3	吳佩孚仍在黃岡江西決川艦中京傳入岳州不確
page 3	年關至少需三百萬可恃者僅鹽餘五十萬交通協款一百萬滬籌款不成李思浩極焦急段祺瑞召張弧入京助李
page 3	馮玉祥派劉驥薛篤弼代表列善後會議胡適允列席張紹曾謝絕
page 3	十四日路透社上海電云
page 3	十三號西商務報北京電云
page 3	十三日西商務報北京電云
page 3	廣西戰局重開之第一幕沈李黃積極籌備唐繼堯實行出兵許崇智　旅粵桂人質問胡漢民胡擬召集桂省軍事會議
page 3	西南大聯合與粵滇桂之軍事動作
page 3	北南兩路最近備戰之真相林虎急於入贛助方本仁鄧本殷分三路防林俊廷
page 6	財政協定簽字
page 6	中國無線電台案近訊
page 6	法德之商務協定
page 6	英代表回國報告財政會議情形
page 6	女子投水
page 6	大學堂聚會期
page 6	小錢債案
page 6	港督檢閱童子軍
page 6	船政署佈告
page 6	電報待領
page 6	海狗為冬季調養品
page 6	蓮社徵集香江竹枝詞
page 6	澳洲海員會長被拘
page 6	省港電報復通
page 6	奇異之並頭菊花
page 6	青年會工人補習班舉行休業禮
page 6	南華足球消息
page 6	老人墜海
page 6	竊案
page 6	破獲賭局
page 6	被控燒石砲違例
page 6	學生　有劍士的被拘
page 6	上港婦懷煙被拘
page 6	江寧輪脫險
page 6	少年墜樓之餘聞
page 6	善於歌舞之西女已到港
page 6	搶帽被拘
page 8	軍之電財
page 8	財政處委員又到台山討錢
page 8	肇江輪渡被劫續聞
page 8	陳得平開追悼會之騷擾
page 8	　　西關　　籌備處
page 8	華林寺僧請追還佛像古蹟
page 8	范石生由東江返省
page 8	爭辯保山民團之近訊
page 8	是否因檢查印花斃命
page 8	澳門當押行增加利率之提議
page 8	市校教員索薪情形
page 8	籌賑梧州游藝大會定期開會
page 8	槍決搶西紙之副官
page 8	楊希閔請實行軍用手摺
page 8	議決征收內河船艇軍費
page 8	香山人民呈請撤銷官產處
page 12	美國
