page 1	芬蘭之未來變化預測
page 2	桂南戰局
page 2	綏境我軍捷報我軍晚襲百靈廟及後腦包激戰澈夜我傷斃日軍甚眾
page 2	日機五十一架昨襲甘省蘭州上空空戰日機多架受傷
page 2	桂省防範漢奸活動施行五戶聯保連坐法如發覺窩藏漢奸應即舉報
page 2	我在蘇嘉路埋設地雷日兵車一列被毀死傷日軍三百餘
page 2	桂各界舉行保衛西南運動致電慰勞前方將士
page 2	佛教訪問團日記四
page 2	美重要人物在菲律濱會談商遠東工作聯絡問題
page 2	日頒新法令禁人民食白米
page 2	英國輿論痛擊蘇聯
page 2	川黨部積極推進黨務
page 2	浙各界誓不買並舉行火炬遊行
page 2	偽華舉銀行發出大量紙幣
page 2	岷尼拉發生風報
page 2	意對蘇聯極感不滿
page 2	美潛艇一隊開抵菲島
page 2	日本製造謠言企圖分裂我國內團結謂中央與滇主席發生決裂其實龍雲正極力擁護抗戰
page 2	德軍統帥視察西線
page 2	滬神州日報已於一日出版
page 2	英國會將開秘密會議討論軍需問題
page 2	德若有一可靠政府法可與彼談判
page 2	加拿大空軍將開歐洲作戰
page 2	英法對鎖德貿易瑞典提出抗議
page 2	粵北犯銀盞　日軍敗潰我軍克復石角赤白泥南路沿海日艦連日往來頻繁桂南邕賓邕武兩路戰事激烈
page 3	蘇邊德里奧基成立親蘇政府要求與蘇締結互助協定願將加里利亞割讓蘇聯
page 3	芬新內閣總理闡釋芬蘭立場願與鄰國談判和平問題芬蘭獨立地位不容損害
page 3	芬蘭難民雪中逃難情況極可憐
page 3	蘇空軍大轟炸芬京沿岸炮壘芬蘭北部蘇機尤為活動以柏三姆港為主要目標
page 3	鑒於唇亡齒寒北歐諸國危懼瑞典願盡力以援助芬蘭容許青年志願投交加助芬
page 3	蘇艦基洛夫號被芬砲軍擊沉蘇聯飛機十七架被擊落蘇坦克車十九架被擊毀
page 3	美議員多主張與蘇斷絕關係羅斯福痛罵蘇聯侵略蘇拒絕美國出任調亭
page 3	日首相定期召集會議
page 3	西寧第一次發出空襲警報
page 3	英國及中立國輪船被擊沉之統計
page 3	美正設法禁止日蘇購機
page 3	川縣政人員甄審會經於一日成立蔣兼主席兼主委
page 3	芬對蘇和解無望蘇軍仍繼續進攻加里利亞地峽戰情甚劇傳芬軍已克復巴沙摩港
page 5	偽軍四百進犯大
page 5	偽軍不支紛紛潰逃
page 5	江會方面時有劇戰
page 5	侵桂日軍顧慮後路被截圖擴展粵南外圍犯那麗被我截擊
page 5	寶安各地日軍調動甚忙
page 5	中山當局調整行政
page 5	廣州現成恐怖世界
page 5	新會最近戰情另詳
page 5	容奇海尾發生大火共有十一個火頭
page 5	廣東省政府區黨部已成立
page 5	七機關聯合組各縣辦事處
page 5	各地監獄速須遷移鄉間避免空襲
page 5	犯飭平日軍遭痛擊我軍退出樟林蓮陽
page 5	粵戰時貿易處本月中旬成立
page 5	新運會組宣傳隊勸導節約儲金省行提高儲金利息
page 5	廣州日軍大捕市內男女一教師函述被捕經過市民畏捕紛紛逃避廣州再陷混亂狀態
page 5	其原函云
page 5	押至新造
page 5	分為兩幫
page 5	雙方衝殺凡十餘次
page 5	企圖分路攻奪清遠
page 5	粵漢路南段之劇戰犯銀盞　石角日軍受挫日軍圖三路奪清遠在銀清公路被圍殲
page 5	配合伍觀淇部截擊
page 5	日機肆虐炸臨高唱公港燬民房二百餘死傷百餘
page 5	江門偽軍鬧餉嘩變
page 5	五邑港僑捐款慰勞將士
page 5	中山縣策進戰時黨務
page 5	容奇偽軍突增後日偽軍犯中山大　一度登陸我援軍馳至反攻即被我擊退江佛新鶴新開三路最近戰情
page 7	六中全會閉幕宋子文等返港
page 7	全港童軍昨舉行大操港督羅富國親臨檢閱及頒獎
page 7	瓊崖救濟會收到捐款萬元
page 7	自衛團募捐成績報告
page 7	傳英日協定增派輪船行走省港該協定昨日已在廣州簽訂
page 7	銅鐵行募捐寒衣成績共國幣壹萬餘元
page 7	衛生局討論修改牛奶則例
page 7	梅芳學生往兒保院演劇
page 7	三門關附近海盜洗劫貨艇劫去貨物值千餘元
page 7	米石入口徵稅本月壹日起實行
page 7	九龍區增徵手車牌費
page 7	省立銀行考選農林專材
page 7	本港輔幣不虞缺乏大批五仙幣由英運港庫務司勸錢銀店切勿操縱一元新紙幣已發出六萬元
page 8	義勇軍高射炮隊露營
page 8	去月劫案統計共發生劫案二十宗損失財物二萬餘元
page 8	黃鳳梧被控私攜電報密碼來港被告不到庭保款二千元充公法官下令出票拘　被告歸案
page 8	昨日甲組聯賽華軍齊奏凱旋二比一光華勇挫九龍南南亦勝香港二比一今日雛鳳迎戰東方
page 8	去月天氣報告最高溫度為八七最低溫度為五三
page 8	廣大英語研究會請陳丕士演講
page 8	光華壓倒九龍
page 8	南南僅勝香港
page 8	宵來兩幕籃球義賽巾幗到底不敵鬚眉卅三比十八南女負於記者卅七比十八培英擊敗港星
page 8	雛鳳今戰東方於加山李德祺重歸娘家肩任要職陳德輝再為南華披甲登場
page 8	約瑟戰和米軍
page 8	輪船開往英國須注意東岸禁區本港海軍當局通告各船公司
