page 1	英俄進行聯合中之日本
page 2	晉境戰況我佔優勢連日來汾河兩岸戰事甚烈Ｘ在軍事上已呈疲憊狀態
page 2	鄂中我軍均有進展
page 2	Ｘ犯南昌之前武寧爭奪戰
page 2	先後施放重性毒氣四次
page 2	犧牲之重驚嘆我軍之勇
page 2	江門新會Ｘ我激戰甚烈坑貝橋之Ｘ被我殲滅
page 2	軍委會發表去週各地戰況贛鄂我迭克要點Ｘ疲態畢露廣州我前鋒已突破Ｘ外圍線
page 2	豫東我軍三襲開封經過我僅以精銳一營入城掃蕩守開封Ｘ達萬人卒難抵禦
page 2	乍浦戰事擴大城內仍為我軍緊守增援部隊已抵城郊
page 2	蘇北游擊戰空前勝利某司令請當局嘉獎有功人員
page 2	七七抗戰英雄吉星文將軍病逝
page 2	贛我軍克蓮塘高郵南昌發生激烈巷戰奉新之Ｘ被迫有他竄模樣
page 3	預算案國防費達六萬萬餘鎊
page 3	軍委會編發戰地宣傳綱要二揭破Ｘ以政治掩飾武力侵略陰謀鞏固各地政權使Ｘ被包圍而崩潰
page 3	二戰地宣傳工作之任務與對象
page 3	對英實施徵兵法人咸表滿意
page 3	德外長最後決定接見英國大使最初德外長欲拒見英大使表示德國態度無緩和希望
page 3	德決採適當措置對抗英國宣傳
page 3	Ｘ國力將恐慌極點軍士思家厭戰郵箱已易磁製
page 3	直布羅陀實行戒備
page 3	羅外相赴德未簽辱國條約年來赴德而不辱者以羅外相為第一人
page 3	英國向那威購備大幫魚油
page 3	南外長飛德會商南匈問題南匈友好協定即將實現
page 3	美將放棄孤立政策與他國締結軍事同盟國務卿赫爾演說向獨裁者警告望各國平心青銅氣選擇和平途徑
page 3	德意日軍事同盟談判經已破裂因日本態度尚遲疑未決德尚極力欲誘日本參加
page 3	印度時人太戈爾覆野口函直斥日軍破壞文化
page 3	女明星陶蘋夫婦將來滬度蜜月
page 3	淪陷區裡反英運動日烈英商煙草公司大批香煙被焚
page 3	Ｘ機襲宜投燃燒彈甚多死傷市民數千
page 3	美艦歐胡號由漢抵滬載外籍搭客多名
page 3	唐淮準母親出售棺槨助國
page 3	桂行營高級參謀談克復高安通山重要性可見我軍在贛中愈戰愈勇南昌之Ｘ疲憊已為我控制
page 3	蘇聯與土伊伊阿四國訂立軍事同盟波蘇邦交演進情形滿意
page 3	比政府決心維護國家獨立
page 3	傳英美兩國又將貸我鉅款
page 3	羅斯福批簽海空軍建設費
page 3	法當局命令禁替外國宣傳
page 3	予恐怖者以恐怖英政府決定實施徵兵制預料被征入伍者約廿萬人財相提出下屆龐大預算案
page 4	女防空班考試
page 4	非法扣留
page 4	提醒日本
page 4	有其限度
page 4	嶺南大學招待孟祿博士
page 4	汕麻地小輪去年獲利甚厚
page 4	德忌利士公司年會西加士輪仍被Ｘ扣留出席各股東極表憤慨希望英政府嚴提抗議
page 5	會城戰事已成拉鋸
page 5	江門孤軍突破寧路
page 5	犯牛灣Ｘ被我困擊
page 5	廣海Ｘ艦圖作聲援
page 5	潭洲Ｘ艦亦已退出
