page 1	英美亟宜加強遠東方面合作
page 2	羅馬尼亞宣布加入三國同盟
page 2	協定內容簡單羅總理發談話
page 2	潘興將軍不願使法
page 2	美將派輪赴澳運載大批羊毛留作國防之用
page 2	西園寺病危
page 2	日強制執行接收鎮江電燈公司工商部次長湯某尚圖制止
page 2	英國會提議耶誕日休戰停止四十八小時
page 2	倫敦貧民居被炸燬一萬四千餘間德機又炸蔑蘭工業區
page 2	海防事件美副領被扣句餘鐘日反先提抗議美國務院尚未接報告
page 2	浙贛東段管委會發起獻機定名為交通號
page 2	小林調任滬海軍指揮官前　調往慘
page 2	皖選出參政員
page 2	日謂美女羅蘭士係有共黨嫌疑
page 2	傳有法艦一艘停泊直布羅陀
page 2	英美重視遠東防務美追逐機隊抵菲律濱蒲法姆有調動遠東陸空軍大權美將派員來遠東考察英軍計劃
page 2	德在美活動又一憑證海　長　浦氏向德大使館　津貼
page 2	烏拉圭繼續與美商建海空根據美副國務卿發表談話解釋此舉無損烏主權
page 2	英財部頒布新例目的吸收黃金外匯
page 2	羅斯福發表談話美決盡力援助英國所製飛機以過半數供給英國英向美商購五千噸貨輪八艘
page 2	羅馬尼亞果加入三國同盟土宣布保希邊境戒嚴蘇聯否認同意匈國加入軸心保如參加戰爭土將全力作戰
page 3	希臘軍乘勝追擊阿東南全被控制
page 3	希民眾熱烈祝捷首相演說勵國民
page 3	意遺棄軍實甚多殘軍向華倫納退
page 3	希軍開入哥列薩市民夾道表歡迎
page 3	皖北方面我軍克復渦陽宜昌西南克失子坡信陽以東殲日四百
page 3	晉南我軍迫近長子
page 3	臨汾以東我軍活躍
page 3	我軍兩度衝入偃掌
page 3	大洪山麓日軍慘敗
page 3	抗戰四十月擊落日機九百餘架外僑因濫炸蒙受損失極大
page 3	英政府祝希勝利埃京城人心大快
page 3	日機一架自墮宜城
page 3	意敗兵大焚輜重羅馬訊準備反攻
page 3	芬蘭報評意敗後德軍赴援甚困難
page 3	英報評意軍大敗軸心國弱點盡露
page 3	侵希意軍一敗塗地哥列薩城陷落後希軍續佔兩據點哥列薩城大部意軍後路被截意精銳五師三團已全師覆沒
page 5	激戰詳情
page 5	砲轟觀瀾
page 5	交通情形
page 5	日機狂炸台屬斗山上川斗山塌店戶甚多損失慘重上川島船戶被炸死傷多人
page 5	日機又向台城窺擾
page 5	斗山被炸損失慘重
page 5	恩赤鶴新縣長均已履新視事
page 5	粵策動游擊區民眾實施對日不合作運動組戰區工作隊負責推動並籌設全省合作設計會
page 5	日軍要求借用　州東海兩島廣州灣當局已婉拒租界走私之風復盛
page 5	南路米價尚在高漲中奸商又乘機操縱
page 5	我軍克復欽縣全屬經過在龍門港與日展開海陸炮戰爭奪望虎　日遺屍千具以上日機狂炸兩陽水東梅菉各地
page 5	望虎　一戰擊破日主力
page 5	我縱橫斬殺斃日軍極眾
page 5	合浦縣情勢已漸見和緩
page 5	日機狂炸兩陽梅菉水東
page 5	寶安日軍向各地竄擾烏石岩我日之激戰我軍退守觀瀾等地日軍不斷砲轟鹽田交通如常南頭前海封鎖益嚴
page 6	袁彭兩部攻克各沙
page 6	中山日軍陸續撤去
