page 1	德併捷後之歐局
page 2	鹿石努力抗戰蔣委員長嘉獎鹿石所部共有七萬餘人上月與Ｘ擊戰近二百次
page 2	蘇浙皖前線Ｘ軍支持困難浙北一帶Ｘ不敢輕出蘇北皖南我迭次告捷
page 2	浙北之Ｘ虛張聲勢
page 2	太湖西北Ｘ軍最弱
page 2	蘇北Ｘ已再衰三竭
page 2	Ｘ機轟炸襄樊被我擊落一架Ｘ機師一被擒一被焚斃
page 2	德軍開入捷境曾遇　烈抵抗德兵死十一名
page 2	皖南我收復望江城
page 2	都昌方面戰事穩定
page 2	我軍反攻克復文登斃Ｘ數百
page 2	Ｘ機連日襲牯嶺外僑產業被炸山中居民對Ｘ機暴行異常憤慨劉遜橋之Ｘ犯徐家舖被我痛擊
page 2	某觀察家談蘇日漁業糾紛如果日本武力保護捕魚有引起蘇日戰爭之可能
page 2	范石生先生在滇被刺斃命兄弟二人行刺傳係為父復仇
page 2	Ｘ犯晉西北遭我痛擊大敗我堅壁清野策略收效克復交口昨斃Ｘ甚多
page 2	Ｘ機轟炸吉安死平民三百餘毀房屋三百棟
page 2	川康建設視察團將出發規定到各縣時不必歡迎歡送務求對川康建設有確實材料
page 2	日軍進佔海南島後安南防務增強法擬在安南設立飛機場將舉行大規模軍事演習
page 2	江海關日籍職員非法逮捕旅客並拘捕外輪華籍職員外輪拒絕日憲兵檢查
page 2	王蔭泰作傀儡任寧偽外長
page 2	Ｘ偷渡襄河失敗Ｘ軍大部秘密調往偽滿邊境長江Ｘ軍勢弱無力再向西犯
page 3	英法召回駐德大使
page 3	對德侵捷美極不滿
page 3	英對捷克匯兌無市
page 3	希特勒之行蹤莫測
page 3	德軍廿萬開入捷境
page 3	捷政治犯五千被捕
page 3	波摩兩省恢復常態
page 3	日工商省調查新加拉度尼亞島鎳礦俾利用以擴張軍事工業該島某礦已為日買去說
page 3	英海軍財政司向國會提出下屆海軍預賽案今年增建軍艦四十三艘尚有三十艘行將完成歸隊
page 3	法荷等國積極援我售我大批軍火
page 3	大阪火藥庫爆炸反戰份子所為主動者乃庫中職員川岐義砲兵尉官二名遭軍閥毒手
page 3	為應付國際緊張局面英國將組織國民內閣放棄綏靖政策與蘇密切合作英法參謀本部磋商合作辦法
page 3	荷向美國購機增強東印度防務
page 3	米馬爾區勢將為德兼併米馬爾當局大起戒嚴立陶宛防軍亦大增加
page 3	中央銀行在滇推廣業務
page 3	Ｘ在定海登陸綁去平民二人
page 3	滬英商會長反對華北行新幣制一旦實行各國貿易受影響特請各方竭力阻止其實現
page 3	增加中國外匯平準基金協定英下院將舉行三讀立法程序可於下週內完成
page 3	紐約婦女俱樂部聯會聯蔣總裁夫人榮譽章由中國大使令秘書代表領取
page 3	德使接收捷克駐日使館
page 3	美貨暫停運往捷克
page 3	津英商會會長載奧特幾被
page 3	德吞併捷克收穫極大價值二千五百萬鎊軍械及原料品無算
page 3	綏Ｘ圖犯五臨
page 3	匈照會德意波等國將路沙尼亞佔領路總理向羅馬尼亞請援希特勒邀晤匈牙利攝政
page 4	英艦由粵返港
page 4	法航公司派員視察遠東業務
page 4	逃港難民參加救護訓練
page 4	英帝航機遲到
page 4	少婦投海獲救
page 4	捐金購債彙誌
page 4	陳策夫婦昨參觀農藝院
page 4	藏毒藥案判決首被告獲釋次被告薄懲
page 4	洋務工會新職員
page 4	女青會募捐成績
page 4	十年來本港播音事業領牌聽戶由五百餘增至萬餘去年增設短期牌照成績尤佳
page 5	Ｘ電船窺伺金利我橫石自衛團襲Ｘ奏效西江最近之Ｘ情
page 5	連日兩捷Ｘ軍大拉鄉民派機偵察我游擊隊
page 5	東線平安報太平Ｘ無犯寶安意傳Ｘ機炸深圳非事實
page 5	我團隊迭襲河南Ｘ營
page 5	粵省黨政軍加緊調整
page 5	東江Ｘ軍增防情形
page 5	粵主席李漢魂以五事誡僚屬
page 5	粵南成立補充兵團
page 5	大良陷後我生力軍開到馬岡沙頭之Ｘ向金橘嘴撤退沙　沿海一帶已無Ｘ蹤容桂又趨穩定Ｘ再度限容桂成立偽組織及勒給軍餉大良市郊團隊夜襲Ｘ營在西山後　戰
page 5	嚴　備防
page 5	再次去函
page 5	已無Ｘ蹤
page 5	抗Ｘ有餘
page 5	大良Ｘ大部撤出後又增援九江現大良祇有李道軒偽警留守江門容奇輪渡昨折回暫時停航
page 6	西江沿線陣地完成
page 6	Ｘ犯黃塘被我擊退
page 6	河口附近游擊活躍
page 6	南路情勢轉穩沿海Ｘ艦仍梭巡窺伺Ｘ機飛欽廉偵察並掃射機槍Ｘ艦昨又炮轟防城但無異動
page 6	粵南Ｘ艦最近動態
page 6	Ｘ機偵察欽廉各地
page 6	Ｘ艦炮轟防　海岸
page 6	Ｘ機連日又狂炸海康並　下荒謬傳單
page 6	區專署嚴禁低折幣值查究奸商操縱金融
page 6	Ｘ在淪陷區奴化教育紛設兒童義務學校
page 6	　德已成賊世界仙涌全村被劫失贓數十萬元
page 6	新任八區專員鄧世增昨就職並委出各秘書科長
page 6	李月恒將任遂溪縣長
page 6	合浦各界舉行歡送吳飛大會吳氏昨已赴韶履新
page 6	潮汕土製火柴恢復運銷外地
page 6	西江我陣地鞏固Ｘ偷襲黃塘又被擊潰Ｘ傳游擊隊曾襲河口
page 7	伍智梅昨抵港林嘯谷巡視難民情況
page 7	尤列誕辰紀念
page 7	經亨利今返國
page 7	本港婦女界討論團結問題
page 7	兩公司之年報黃埔船塢獲利百六十萬火險公司獲利七十六萬
page 7	黃埔船塢
page 7	深圳河上走私捷徑
page 7	私梟公然武裝走私配備槍械橫行無忌望我當局嚴加注意
page 7	武裝出入橫行無忌
page 7	某國棉紗改換商標運港此間廠商利其價賤頗多採用廠商聯合會停簽國貨證明書
page 7	聖約翰救傷隊組防空救護隊
page 7	美人種學專家奉派來華研究
page 7	火險公司
page 7	殺日人案提堂下星期可開審
page 7	瓊僑在廣州灣設難民收容所
page 7	鎢砂洋貨偷運不絕
page 7	Ｘ侵華南之影響港對外貿易一落千丈兩月來出入口貨值減三千餘萬預算全年將減縮二萬萬元以上
page 8	中華救護隊請振聯會資助
page 8	荃灣棚廠被焚損失千餘元
page 8	婦慰會餐舞會定期在思豪酒店舉行
page 8	英振難會募捐委會會議
page 8	保育會將舉行週年紀念大會徵求新會友擴展會務兒童節決定贈旗籌款
page 8	中央賑濟委員會再撥賑款廿萬分給粵桂兩省府辦理急賑瓊崖款七萬餘元已匯到
page 8	慶祝兒童節之籌備
page 8	　極為難童謀出路
page 8	紅丸犯受重懲
page 8	勞資糾紛事件去年祇發生八宗
page 8	索償保險費案火險公正人述　價經過
page 8	今日賽馬蠡測下午　跑共賽九場
page 8	截劫案昨詳臬
page 8	四賊圖劫御者
page 8	救世軍將開年會
page 8	中青籌賑會近訊
page 8	深圳難民營化為焦土起火原因為神經病婦秉燭拜神幸半月前難民已他遷故無傷人
page 10	南國紅　陳倩如
page 10	張瑛分身不暇
page 10	陳雲裳與胡蝶
page 11	星中華足球隊犯港西貢慕名邀往表演
page 11	今晚籃球有看頭東方對抗華南乙組亦有兩場
page 11	昨日網球大林珍輕取衣雲氏雙打一場因　改期
page 11	明日國際杯準決賽大中華迎戰英格蘭持名譽券者可半價購石屎台座
page 11	南華足球隊籌征澳洲
page 11	友誼小型足球賽
page 11	甲組聯賽今有劇戰東方出擊海軍下午四時半會師海軍場南華兄弟分戰警察九龍
