page 1	德外長何事赴意
page 2	鄂北隨安一帶日軍仍在我控制中大洪山麓各據點均為我軍所佔有
page 2	徐州以東展開激戰我重創日軍
page 2	五原日騎兵竄擾受挫
page 2	汪清衛昨赴南京準備召集中政偽會
page 2	板垣廣播演詞向英法送秋波日本對華用兵視為聖戰日願將佔領地區交汪管理
page 2	日外務次官谷正之將使美
page 2	渝各界籌備總理逝世紀念舉行體育比賽將有火炬巡行
page 2	朝日新聞評論日美關係惡化美再借款中國壓迫日本若仍無效美將動用武力須磨談論日美日蘇關係問題
page 2	群奸在南京演全武行爭攫販毒肥職
page 2	須磨談話
page 2	日貨充斥壟斷漢口商業對外貿易亦被日本包辦
page 2	當局決心推行禁政年老煙民亦嚴格辦理無論如何均無通融餘地
page 2	傅逆筱菴參加汪偽政權汪允予以偽交通部長
page 2	日本偵察機又在重慶發現
page 2	我與緬商定設三條郵運路
page 2	日軍開炮掩護軍艦駛航
page 2	滬郵務局被迫允收日軍用票
page 2	國民教育會議昨日在渝開幕陳教長　出席
page 2	郵政儲金局積極推銷建國儲蓄券售出總額已達一千萬元
page 2	日社會大眾黨內部發生破裂有九名黨員被指為叛黨但彼等聲言決不肯辭職
page 2	華北游擊領袖趙侗殉國游擊之母趙太太又為國家獻一子
page 2	日軍事人員大批更動
page 2	潮汕日軍分三路竄犯新開新鶴兩路我出擊桂南日軍在我嚴密監視中
page 3	蓋達氏評論蘇芬之和平
page 3	瑞否認迫芬與蘇談和平
page 3	游擊區裏的孩子們
page 3	德外長與意當局商討各項問題英先發制人釋放意輪使德外長訪意受打擊
page 3	英不允代蘇提休戰條件
page 3	瑞典志願兵將援助芬蘭
page 3	英將意輪釋放羅馬發生好感
page 3	印度王侯會議贊成印度完成自治但將來印度之憲法須保證各州之主權
page 3	維里斯昨晨入覲英皇倫敦各報一致歡迎維里斯維里斯將再赴巴黎及羅馬
page 3	在嘉陵大廈王外長歡宴四國大使來賓四百餘人極一時之盛
page 3	德外長定期訪謁教皇改善德與教廷關係
page 3	美記者楊格開始提審楊格延三律師辯護
page 3	近東法軍準備應變
page 3	蘇　堪察加佈置防禦工事在控制北太平洋藉此以威脅日本
page 3	蘇當局一再聲明不變援華政策
page 3	美准新型驅逐機賣於英法聯軍
