page 2	赦安福罪魁
page 3	美京電太會準期十五號閉會又傳小幡與顏惠慶在北京正在秘密商議魯案故日代表在美京藉端延宕小幡在北京用全力壓制中國務使二十一條不能提出太會並催促顏惠慶　決魯案顏辭職即因此
page 3	僑美商學各界均絕端反對新閣
page 3	鹽債票聞定八千萬已得洋稽核同意但要求一鹽警改良二禁督軍截留
page 3	梁士詒謁徐世昌謂鹽債緩不濟急須先借小款度舊歷年關
page 3	葉恭綽電王正廷徵求鐵路計劃
page 3	京政府擬仿淞滬例設山海關護軍使
page 3	劉式訓辭職已准聞將以沈瑞麟繼任外部次長
page 3	汪大　有任駐日公使訊
page 3	府院密電滬粵要人疏通罷兵並有主張再開和議說
page 3	陳樹藩部潰兵竄入鄂境蕭耀南令　聯陞派隊收撫
page 3	梁士詒擬定解決時局方針舊國會制憲　國會選舉副總統並正式召集三屆國會現下分頭接洽
page 3	張弧向某銀行商訂鹽債票未發行以前先墊借款俟售鹽債票得款歸還
page 3	顏惠慶辭呈有華會閉會即去職語
page 3	黑龍江土匪侵興化襲海龍國務院令黑督速勦
page 3	梁士詒在國務院晨八時辦公十時會客午刻一點辦公三點會客
page 3	沈鴻英派員赴鄂商議附北惟蕭耀南祗允改編兩支隊餘則一律遣散
page 3	曹汝霖任實業專使令已下
page 3	杜純有改　浙江財政廳長訊息
page 3	公使團與新銀團昨以非正式接洽對鹽稅公債注重用途將組五國委員會又議增稅案俟太會閉幕後方討論並將附件交由某使館研究起草亦須協定用途及禁撥作軍費
page 3	梁士詒昨晤甘肅新疆兩省代表詳詢西北事
page 3	王揖唐有特赦說
page 3	美京電魯案已續議惟仍相持不下無進步華代表擬即提大會
page 3	吳佩孚索餉電文語極強硬對梁閣仍無賀電聞因張弧僅顧曹錕張作霖兩方面穩度陽歷年關未付吳餉之反響
page 3	美京電魯案即英美不排解勢將停頓並其他遠東事件亦無從措施休士言俟海軍案解決方能他及
page 3	阿富汗運煙入新疆外交部函詰英公使
page 3	美公使聞起用張敬堯因催結敬堯任內戕殺教士案
page 3	陝西訊綏騎兵團譁變
page 3	美京電太會以續開三星期為限滿即閉會休士語施肇基謂中國問題除二十一條外均可望解決
page 3	吳佩孚四號電公府有不恤人言擅赦禍首未免倒行逆施等語
page 3	交行總理有擬朱啟鈐惟朱不允就
page 3	吳佩孚將開洛陽會議
page 3	美京電撤駐華客軍案已由東委員會通過
page 3	又電中日續議贖膠濟鐵路之付款辦法日仍堅執前說
page 3	請華借日債以付款經王寵惠拒絕日對中代表所提辦法三款不表示採納或拒絕會議又無結果
page 3	調兵會剿江口之散兵土匪
page 3	又擬向鹽商借款
page 3	催收稅餉過年關
page 3	各縣六局乃真有名無實矣
page 3	補述唐繼堯由　抵柳之經過詳情
page 3	華民政務司佈告
page 3	港政府注意美洲移民例
page 6	客軍須退出中國
page 6	九國　華增稅
page 6	華會果有　於中國耶
page 6	日本之與潛艇決議
page 6	將請德俄班加入國際稅則委員會
page 6	中國問題或由海南協約包
page 6	　之無理
page 6	日本運動阻提魯案之追述
page 6	被控用鏹水淋妓案
page 6	黯然無色之新內閣
page 6	印人慶祝先知
page 6	傳染症報告
page 6	上月雨量
page 6	工團總會舉行成立典禮
page 7	小童拉車有罰
page 7	第　公園之修改
page 7	令省報慎登廣西軍事
page 7	懷集亦有散兵為患
page 7	准取銷通緝譚禮廷案
page 7	援桂挪用軍政費之清單
page 7	陳小岳報　裁兵情形
page 7	開辦舖底執照之　情
page 7	停止支給通信社津貼
page 7	南署遷地之籌款阻力
page 7	請免監督善團之呈批
page 7	藉漁業公司行騙
page 7	番屬械鬥續誌
page 7	駐豬頭山營長又因姦案被拿
page 7	蘭軍去　之青岐匪患
page 7	派隊在東江一帶游擊
page 7	石龍貨船遇劫
page 7	崖門水東等處海面之賊船
page 7	旗民孤苦口糧之清欠法
page 7	衛生局稽察牛欄
page 7	定期考試中醫生
page 7	農品展覽
page 7	瑣聞一束
page 7	美貸款與丹國
page 7	加拿大用鎳幣
page 7	英國大火
page 7	間尼士歐洲財政會議開會
page 7	前德皇之家庭訴訟
page 9	顧維鈞提關稅案演詞
page 9	華商總會議案
page 9	外蒙四盟之分裂不願放棄其王公世襲苦俄黨之徵調無？
page 9	被控偷橡皮
page 9	漁人懷槍省釋
page 9	被控用足傷人罰銀
page 12	梧州
page 12	桂省捐棍抽及糧食之異想
page 12	馬君
page 12	　擬組省憲審查會
page 12	縣議會　聯合談
page 12	江門茶居行罷工
page 12	國議員主張暫時閉會無異自　解散
page 12	取締　險業之所聞
page 12	韶關最近情形紀
page 12	汕頭抽租捐建築營房
page 12	沙基馬路民業補償之研究
page 12	取締刊售傳單
