page 2	護法戰爭之是是非非六
page 3	王籠惠未允就內閣任要求
page 3	改代為署方肯擔任
page 3	顏惠慶將改任英使
page 3	蔡成勳已銷假
page 3	黎元洪高恩洪控黃報案五日開審
page 3	傳陳炯明允犧牲聯省自治條件由北方助陳推翻孫系
page 3	昨參眾院繼六年開會不飾新式黎元洪因地位未定故未出席
page 3	　日午參眾兩院各開常會由王家襄吳景濂主席宣言繼續六年開會兩院議員略有演說旋茶會攝影散會
page 3	一日閣議王寵惠未到僅李鼎新張國淦到餘均次長列席
page 3	黎元洪派董康勸王寵惠主席閣議但王仍未允並辭法長已之辭呈
page 3	聞政府電贛停止戰事蔡成勳不理且來電報捷
page 3	蔡成勳阻謝遠涵到任並電政府謂謝不來又謂何剛德權護稱職意在自兼
page 3	王克敏三十一日赴津係代政府運動借款為交換財長地步
page 3	贛省議會等及公團均派代表謁黎元洪請取消援贛總司令並懲辦蔡成勳撤北兵阻客入贛黎答俟有人副署即下令
page 3	　景翼部補充團團長王占標不受改編在彰德譁變胡派岳維俊往勦
page 3	昨閣議通過總稅務司安格聯條陳鞏固公債基金交財部辦理
page 3	顏惠慶昨赴北戴河
page 3	王寵惠經黎元洪派員切勸始允暫代閣揆一星期
page 3	顏惠慶請假無日期顏先備准指令
page 3	漢訊湯薌銘仍留漢口候政府訓令再定進止
page 3	黎元洪近派劉揆一赴湘勸
page 3	趙恒惕勿　持聯省自治
page 3	徐世昌登報聲明無組織政黨事
page 3	湯爾和因　格聯允撥關餘充教育費已到部視事
page 3	曹錕電請照民國二年舊例先給議員招待費
page 3	吳佩孚保張紹曾長陸軍湯薌銘長海軍
page 3	黎元洪擬以王達任皖省長約江朝宗張廣建入府面商江等均不贊成
page 3	八月壹號北京電
page 3	韶商所述韶關戰訊
page 3	請孫中山交回各艦消息
page 3	學校暑假有展期消息
page 3	風訊兩則
page 3	帆船罷工續聞
page 3	北街船照常開　
page 3	北江滇軍近訊
page 3	葉舉槍斃南僑　樂部員
page 6	四川戰禍之蔓延
page 6	遷移上海兵工廠問題
page 6	唐繼堯復尹昌衡電
page 6	清淨局會議食水問題開井議不能通過
page 6	段祺瑞並無代表到滬
page 6	陳嘉祐退出郴縣之所聞
page 6	外人注意中國財政
page 6	謝遠涵代表已抵南昌
page 6	　爹利街火警續聞
page 6	捕獲謀撬夾萬之匪徒
page 6	傳染症報告
page 6	銀價
page 6	永利源劫案再審
page 6	搶劫大新公司案詳臬
page 6	乍畏街又發生劫案
page 6	被控違犯工務署則例
page 6	被控賣
page 6	軍火案
page 6	打架案
page 6	包租人與住客爭吵
page 6	懷菜刀何為
page 6	被控偷夾　袋
page 6	飛律賓輪船罷工
page 6	日本與西伯利亞
page 6	印度麻工罷工失敗
page 6	馬克市情
page 6	上海要聞
page 7	新會香山民軍消息
page 7	戰事消息別報
page 7	外交後援會之情形
page 7	理船廳注意省河交通
page 7	　辦被捕巳釋
page 7	香山縣長請示機宜
page 7	豫章艦移動之大虛驚
page 7	第四師調兩連回駐佛山
page 7	兵站募伕近聞
page 7	厘廠解餉誌
page 7	停止拉伕後之市面情形
page 7	硬指住宅為煙舖
page 7	匪傷連長累鄉紳
page 7	石井鄉人幾與軍隊衝突
page 7	瑣聞一束
