page 1	調節粵省糧食問題
page 2	日方消息劉汝明部收復永寧城中珠鎮日方謂該地係非武裝區域我軍此舉謂為有違反協定
page 2	湘鄂皖贛蘇滬等六省市糧商籌組糧食運銷公司資本由各省市糧商招股募集此舉係與華南米業公司對抗
page 2	其言如蜜日外相談將以相讓精神打開中日局勢我外交方面謂尚未接到此項報告對于此事現不欲有任何意見發表
page 2	植田飛嘉卜寺後與諸逆作重要會商決定訓練蒙旗保安兩大隊由德王卓包諸逆分任隊長
page 2	晉京任務完畢沙王返綏主持會務行前謂倘匪偽再犯綏邊蒙旗方面決予迎頭痛擊
page 2	中福公司總經理昨宴請孔特使
page 2	權利之爭津海關拍賣私貨給獎高陽縣長與警團發生糾紛該縣縣長旋因病請假逕行赴平該縣科長竟向省報告縣長潛逃
page 2	緬甸華僑製大光塔獻蔣現該塔已製就由海利輪運回
page 2	閩十年內完成造林事業現並試種改良棉種
page 2	楊虎城即可完全復元
page 2	國民經濟會工業組第三次會議
page 2	日方招募華工出關已達十六萬人
page 2	王寵惠歡宴顏露爾等
page 2	冀察平津合組華南考察團
page 2	英艦十艘抵青
page 2	　　拜友邦人之賜津海河浮屍來源大白屍體係由某租界搬運而來現警察當局加緊繼續偵查料不久當有更明確之發現
page 3	李平衡在國勞常會建議干涉滬租界工廠不受檢查理事會對此議案已一致通過
page 3	渝各界擴大救災運動
page 3	新鄉稅警與鄉民械門演成流血慘劇
page 3	蘆鹽先後出口目求續訂十萬噸約灶戶表示尚須考慮
page 3	法總理發表重要演說說明政府現行社會經濟政策希望勞資雙方竭力避免發生糾紛俾巴黎國際博覽會得以平安進行
page 3	舊東北軍服從整理辦法一俟奉到明令即行開拔入蘇
page 3	雷寶華談鑽探煤礦進行
page 3	英日合作談判已引起我國不安我政府曾向英　使探詢此次談判意義英政府答稱對中國利益決不有所妨害
page 3	中華職教社舉行二次大會決定下屆會議地點環境可能當在瀋陽
page 3	缺乏氦氣
page 3	趕做新船
page 3	德政府派員組委員會調查興登堡號飛船失事原因該委員會定期今日在列浦集議開始研究因氣候而感動電力或為該船遇禍之主因
page 3	津墨索里尼鼎足球賽國聯隊大勝軍聯成績為六比零
page 3	陝國選事務所從事整理工作
page 3	週覽團定十四日抵渝
page 3	成渝路採辦內地枕木
page 3	各方致悼
page 3	漢民學院定期行奠基禮請居院長主持
page 3	華洋議振會八屆常會閉幕
page 3	王正廷過日時之談話
page 3	意禁英報輸入意訪員奉命離英
page 3	賀耀組訪于學忠商談移交事務
page 3	青年飛行家許啟興日內由滬晉京
page 3	國社黨在但澤增佔議員議席藉以變更但澤憲法達到與德合併目的
page 3	世界輕量拳擊錦標仍歸愛勃斯保持
page 3	汪七日抵滬後
page 3	第四路軍參謀長徐景唐前銜余漢謀命北
page 3	新任日駐滬總領岡本
page 3	劉尚清八日下午四時赴各廳處巡視
page 3	日陸軍對政局態度仍不變其從來主張企圖實現廣義國防刷新政治政策如有阻礙此種政策者當加以排擊
page 4	本屆足球壓軸好戲南華陸軍爭旭和杯今日下午四時三刻舉行比賽地點在香港會球場南華陣勢不完師克在和上場校童冠軍對港聯隊
page 4	童軍表演
page 4	國術表演
page 4	乙組表演如前佳妙
page 4	其他各隊每況愈下
page 4	華塞斯隊表演不常
page 4	南華華隊技術退化
page 4	德臣西報著論評述甲組足球各隊得失續乙組亦略有論及
page 4	華隊不振華警較佳
page 4	昨日壘球比賽義勇軍勝菲律濱結果十七比十
page 4	縣聯賽足球冠軍今日在港戰南華三時在加路連山
page 4	南華公開排球定期十五日開賽
page 4	學界排球因雨改期
page 4	祝強乒乓隊勝劍社
page 4	省運會第三日天氣溫和成績良好余尚英五十公尺破國紀九好漢破前屆省運紀錄
page 5	維持粵桂金融嚴禁粵省白銀運桂
page 5	淡征時期粵省庫收支不敷中央已謀解決
page 5	商事公斷處糾紛近訊六十二行商昨又舉派代表赴市黨部請願改組市商會又復重提黨部從事調查
page 5	解決糧食大會議改十日開會
page 5	市商會改組近訊市黨部奉中央令在調查中曾三省對記者談話
page 5	新電力廠工程近況二
page 5	警察局負責人談處置瘋人真相
page 5	共匪又聚粵閩邊
page 5	保健社訪問記
page 5	　黨政軍三機關會同推進全省文化建設黨部分學校及社會教育兩途並進軍事機關決由防軍負責推入民間省府計劃內容分活動性及固定性
page 6	赴暹輪船仍有屈蛇汕當局設法保僑民安全客棧海員實行連坐法召開　全會討論辦法
page 6	搭客刺傷鐵路員同日發生兩宗
page 6	撞車失事負責者路局決嚴加懲處
page 6	粵民食亟須繼續維持全月免稅入口洋米僅敷市面三日銷售當局以米價未見低跌將赴港與米商討論一切
page 6	營業稅要聞近誌
page 6	財政部令煙商再增稅款
page 6	保甲處規定推舉保長辦法
page 6	二次四省特展今日在長沙開幕旅湘粵人之歡迎會
page 6	粵省三月份將外貿易統計
page 6	廣東各界今晨舉行五九國恥紀念大會
page 6	廣九焚車難屬
