page 1	徵兵制度之重要與實施
page 2	豐台事件解決廿九軍退至西苑豐台城全由日軍入駐連長孫香亭由日方釋出一場風波就此和平解決
page 2	萱生案正兇王振聲已就備行兇手槍亦已覓出
page 2	滬市八沒月份對外貿易統計入超一千八百餘萬
page 2	德政府贈孔祥熙一等寶星勳章昨舉行隆教授予典禮
page 2	李黃再赴行營謁蔣請示桂省善後方案俟訓示畢即將返桂主持軍政
page 2	汕日商行發現廢彈當地軍警嚴密偵查日領又將向我抗議
page 2	國府重新尊重選舉法令
page 2	蘇漢兩地團體致電向蔣慰勞
page 2	漢口日領館警員吉岡在日租界值崗被擊殞命日副領事竟謂出事地點非日界但屍身倒在崗側日領無詞自解
page 3	瑪拉加城官軍發生內訌共黨乘機縱火
page 3	叛軍宣傳多萊陀省戰役結果佔兩山谷
page 3	各國使節不允回駐西京決仍暫留法境
page 3	國聯為強權所屈亞國代表勢將被擯國聯將有新規定誘意國重返國聯
page 3	駐平日軍演習作戰行軍
page 3	川樾在京　久留下月或再晉京
page 3	淩士芬抵北海後仍未登陸調查
page 3	厲行檢舉公務人員吸毒蔣總監呈准國府令催各機關具報
page 3	閩南共匪攻陷營尾鄉全鎮被洗劫
page 3	謝瀛洲奉派任粵審計處長
page 3	世運球員李　威並未死前傳受傷殞命不確
page 3	滇日報公會電請中央平分國代名額勿集中二三省區致成為畸形狀態
page 3	閩南安縣囚犯越獄潛逃十人衝出二人越牆捕回一人餘均逸去
page 3	粵漢路在英訂購客車由青上岸駛漢
page 3	廿九軍赴日觀操團赴津轉輪東渡
page 3	日華北視察團由津赴平攷察
page 3	財部咨各機關代繳所得稅款
page 3	旅俄僑胞續有被迫返國
page 3	鄒魯離印返國
page 3	閩南發現鼠疫
page 3	中國天文委員會業已正式成立余青松等為委員
page 3	中國計政學會召開三次年會
page 3	淩　揚謁蔣報告工作大綱
page 3	冀察政會令各縣局嚴禁濫用刑訊
page 3	陳光甫飛滬視察上海分行討商行務改進
page 3	張外長昨答拜英大使英使覲遞國書日期已批定本月廿三日
page 3	日德勾結日密德使回國請示
page 3	西國官軍攻陷古堡地雷轟炸巨石騰空叛軍不屈據城死守
page 4	九華甲隊處女戰技力皆遜白璧增瑕賴江禧黃翔均有皆妙表演一對零九華卒難恢復失地
page 4	今日利舞台舉行中菲摔角家比賽雙方勢均力敵有劇烈表演門券分五角一二三元四種
page 4	全港公開水運會域多利榮膺冠軍羅蘭士個人成績最高王耀民竟敗於　葵士
page 4	港滬埠際滾球賽港代表南返抵港正式比賽三場僅有一場勝利
page 4	第九屆全省水運第二日水體會獲兩項冠軍女子一百公尺自由式陳煥瓊壓倒楊秀珍男四百公尺俯泳華人方宗宇敗與劉美修
page 5	李黃昨再謁蔣續商桂省軍政善後
page 5	保安隊成立後警衛隊實行裁撤辦法已呈蔣委員長核示
page 5	經費問題
page 5	組織辦法
page 5	八十師留潮部隊已開拔
page 5	籌設保安司令部各區行政督察員兼任保安區司令
page 5	潮屬防軍調動續訊李漢魂任東區保安司令訊
page 5	李漢魂任保安司令
page 5	閩粵各軍聯絡剿匪
page 5	廣州長途電訊　路省道車昨遇劫第二路軍部設肇城梧仍檢查入口輪渡連日捕去來客多人
page 5	管轄區域
page 5	翁照垣部已退出北海合浦縣長電省府報告福安艦昨晨已抵北海關于北海事件之昨訊
page 6	桂局和平解決後飛粵空軍之復員問題桂空軍由中央派員訓練
page 6	汕頭布業防私之周密再修正防私辦法函各業一致進行
page 6	港督昨晨離省記
page 6	各行聯議改組市商會決定召集會員特別大會市黨委調解國選之紛爭
page 6	離省情形
page 6	財廳派員保管深圳賭場委吳瞻白勞式殷
page 6	河南軍警昨圍捕客村匪黨客村鄉長與警隊員亦因嫌疑被捕捕獲匪黨共九名搜獲長短槍數桿
page 6	張之英昨夜視察省河各軍艦
page 6	財政廳裁汰冗員合共一百零八人
page 6	晚間
page 6	仁愛救護隊何其糾紛之多也
page 6	戲審會取締女伶及唱片　曲
page 6	博羅縣各團體昨郵電當局
page 6	財政廳長兼廣東全省水陸緝私總處處長宋子良
page 6	全省緝私費改為月支四萬元
page 6	資源委員會本省鎢業分處處長馬育航
page 6	廣東憲兵司令部以該部憲兵教練所
page 6	廣東各界購機祝蔣籌備會
page 6	市小教職員索薪潮平息後之糾紛校長登報認通電不知情教員認為全體均有責任
page 7	同學四人集資辦學
page 7	譚氏口中之兩校役
page 7	雖認女工似無職業
page 7	此事與儂絕無關係
page 7	警探搜查約三小時
page 7	反對蓄婢會舉行宣傳週自今日起至二十七日止各學校各教堂派員演講
page 7	通啟
page 7	宣言
page 7	港督夫婦昨已乘車返港錢大鈞等均到車站歡送
page 7	港糖商再請撤銷糖統制昨分電蔣院長及粵省各當局
page 7	建廳復電
page 7	再電建廳
page 7	電蔣院長
page 7	警方報告拾獲傳單
page 7	梁女師歌聲悅耳
page 7	播音台增播中樂
page 7	九一八國恥紀念日搜查女校拘數十人警探認有私擅集會嫌疑校長譚詠琴述被搜原因
page 8	焚燒地點
page 8	街道狹窄
page 8	路人報警
page 8	警探出發
page 8	發電求救
page 8	水泵捐壞
page 8	逃避狼狽
page 8	施救情形
page 8	焚屋廿餘
page 8	捐失統計
page 8	港督修改貨幣例
page 8	旅店中少年服毒
page 8	一強盜夜劫石匠
page 8	港政府之委任令
page 8	九龍關公署佈告
page 8	狂漢投海幸獲救
page 8	三人意外受重傷
page 8	病人誤服藥劑求救
page 8	東莞商會宴李揚敬
page 8	臬庭定期開審刑案
page 8	英京銀價無變動
page 8	港外匯市情呆滯
page 8	各行股票之市情
page 8	昨日廣州西紙市
page 8	長洲六火詳情焚燬商店二十五間災區適為最敏盛地點損失約在二十萬以上
page 10	初級法庭案彙誌揮刀　人
page 10	行騙貨物
page 10	移用友款
page 10	匪徒摸竊
page 10	麥當奴道將設半山纜車站
page 10	養中女校集款購機
page 10	銅鐵商會五週紀念
page 10	無人認領款項充公
page 10	青年會設世界語班
page 10	貢英皇批准之新例
page 11	中山紀中校罷課潮教廳令嚴行處辦
page 11	桂省各屬最近潦災之損害
page 11	東莞引水灌田被人痛毆
page 11	台赤全路將可通車
page 11	駐禪士兵吸煙風波
page 11	火輪鼓浪激沉貨船
page 11	各鄉校停辦之驚人
page 11	禁煙會昨發表告廣東全省煙民書
page 11	佛山糖商來省請願撤銷糖業統制
page 14	日本實業之新傾向農村化為工村一大工業漸向地方分散
page 14	福特之田園工廠
page 14	奧國復辟十月實現維也納充滿著復辟派的信徒美記者與沃圖之談話
page 15	黃柳霜灑淚別故都行前訪問對於故都印象極佳事實許可將於明秋再來賞菊
page 15	今後趨向
page 15	將再來平
page 15	黃之行程
page 15	洒淚而去
page 15	是初秋的景色
page 15	廈門八大名勝之一南普陀今昔觀建寺始自五代初名泗洲
