page 1	蔣委員長重申抗戰決心
page 2	總攻江會我軍續向江門挺進廣九路方面我軍克石灣日軍傷亡數百被俘四人
page 2	日在北海建大機場外人墳場亦被剷平
page 2	教部已發給借讀證書
page 2	進攻蒲縣被擊日軍受創頗重長子日軍南犯損失奇重
page 2	軍委會發表一週戰況十月十一日至十七日
page 2	晉豫方面
page 2	湘贛方面
page 2	廣東方面
page 2	其他各線
page 2	芬蘭專使赴蘇希望速成談判芬蘭現正鼓其勇氣抵抗蘇聯過份要求
page 2	華北各地游擊隊活動等於向日軍作精神戰日軍被擾不安自殺之風甚盛
page 2	中蘇同盟說全係日本造謠其目的在煽動英國改變其對遠東政策
page 2	日重轟炸機被我擊落
page 2	行政院嘉獎顏福慶
page 2	滬日軍限制廣告招牌
page 2	開封美教會產業被暴徒所搗毀暴徒自由行動已得日方同意
page 2	傳滿蒙邊境發生敵對行動日蘇停戰協定無效係蘇對日強硬表示
page 2	席安妮女士在美籌備個展捐助中國難民
page 2	泊智利德輪船員發生譁變
page 2	通城已被我四面包圍奉新日軍傷亡甚重大茶坪　日軍被擊潰損失奇重
page 3	格魯氏在日演說甚得各方贊許美國遠東外交顯已加強當可喚醒日人吞華夢想
page 3	郭泰祺對記者談格魯氏演說
page 3	美輿論界一致擁護格魯演說
page 3	對格魯氏演說美國務院同意
page 3	日外相又復誇張宣佈外交政策謂以破釜沈舟之志建設新東亞秩序
page 3	新蔑斯特號遇險下沉
page 3	德宣傳機關蒙蔽國人潛艇被擊沉三分一德宣傳機關尚不認
page 3	德意將取共同行動迫土表明態度蘇對土友誼尚存好感不受英法土同盟影響
page 3	美前任總統胡佛廣播美國若參加戰爭必成立獨裁政治
page 3	美修改中立法案擁護者佔多數相信此案最後必獲通過
page 3	蘇未將維爾拿移讓於立殊出入意料之外
page 3	西線德軍確準備主力攻將來進攻必用毒氣
page 3	閔尼拉華商願與政府合作防止私人提高物價
page 3	新任駐菲美高等專員西里氏昨日抵埠履新各級官吏人民到碼頭熱烈歡迎
page 3	佛朗哥願參加精神反共協定
page 3	羅斯福發表談話謂美領海範圍實富於伸縮性
page 3	滬工部局防範德國間諜活動以後不發給商業牌照及入屋照于德國商人
page 3	美國務卿赫爾聲明美決心維護在滬權利支持工部局維護在越界築路區權益反抗日本改變滬公共租界現狀企圖
page 5	日偽軍向天祿猛犯
page 5	機十二架飛赴助戰
page 5	立即派隊前赴截緝
page 5	中山昨日又傳緊張
page 5	睦洲方面仍有劇戰
page 5	戰事今年總可結束
page 5	東路我反攻軍事開展日軍趕速增援寶安
page 5	我軍反攻三水衝入城內
page 5	新開新鶴兩路最近戰訊日偽軍連日增援有大舉再犯企圖我軍赴援先肅清偽軍土匪
page 5	利便戰時軍運各縣征編民伕擬定辦法施行
page 5	省主席嚴令所屬迅速澄清吏治將組視察團厲行督察
page 5	黃閣附近游擊隊截奪日軍米艇日艦破擊孖生圍
page 5	財廳更調兩稅務局長
page 5	我團隊破壞廣三路坑滘站之激戰
page 5	日艦數艘砲轟潮　關埠
page 5	粵南民眾從軍踴躍
page 5	韶關近郊擊斃猛虎
page 5	日機飛襲兩陽炸北津港口
page 5	政治工作是軍隊的靈魂命脈一五一師政治工作概況賴主任慶祿對本報記者談
page 5	日軍犯新會天祿被我擊退日艦艇增加圖犯瀧水擴大後衛利樹宗部俘獲日軍訊供後解韶
page 7	西商會解釋
page 7	來源恐不繼
page 7	五婦女團體賑濟新界難民
page 7	英振會分會去週募捐成績
page 7	老翁揮刀斬斃媳婦被警捕獲控以謀殺罪
page 7	鄧芬　琴齋組書畫速成班
page 7	五法僑奉令留港候命
page 7	炮兵定期操炮
page 7	本港印僑昨招待夏理察
page 7	西人住宅發生萬餘元巨竊案
page 7	霍芝庭昨出殯執紼者千餘人
page 7	本港將舉行白晝防空演習予防空及救護隊以實習辦法在商訂中尚未決定
page 7	主要糧食一律規定標準價格糧食統制專員昨頒布新法令奢侈性質食品暫取放任態度
page 8	秋季馬票開彩首名票號為一四一三九○得彩銀七萬七千八百餘元
page 8	危險的玩意少婦開窗洗澡冷槍頻頻射來
page 8	港政府新委令
page 8	華人防空班續招二期學員
page 8	領護照手續費輔政司昨日公布
page 8	于斌主教飛渝
page 8	衛生局之議案
page 8	加山今有劇戰南南迎擊東方兩雄會師看頭必多
page 8	今日聯賽秩序表
page 8	南華華和蘇皇軍
page 8	米杜息大勝警察
page 8	九龍勇挫香港會
page 8	募棉衣籃球義賽記者隊僅勝娘子軍三五比五○滬聯不敵港聯
page 8	港兩入口海道將設危險性障礙物地點為大嶼山北薄寮洲西海峽廿四日起大小船隻均不許通過
