page 1	羅斯福將參加競選
page 2	高陶再發表八種秘密文件係南京偽府與日所訂密約保證日人在華中開發資源
page 2	美大使今日抵渝
page 2	日方極注意法大使在渝兩次談話滬日領三浦已照會駐滬法領事請求其注意於法大使在渝談話
page 2	孩劇團向衛立煌獻旗
page 2	上海一月份對外貿易統計出入口均二百四十餘萬
page 2	日民政黨各領袖研究齋籐事件決定明日舉行黨代表會議俾得正式決定處置此事件
page 2	虹口日軍仍然執行搜查
page 2	贛省厲行煙禁
page 2	朝鮮獨立運動二十一週紀念
page 2	交部決定炸毀長江上游暗礁以免航行危險
page 2	贛省政府下令限期禁絕煙毒
page 2	中英庚款會資助留英學生學額二十五名學習高深科學
page 2	土決通令土輪一律返國
page 2	傳蘇積極強化遠東海軍防禦日方對此甚為關切亦將攷虎應付步驟
page 2	滬又發生一槍殺案劉仲英被擊生命極危殆
page 2	開到開羅印軍開始操演
page 2	我向夏縣附近襲擊發生猛烈戰鬥浮山翼城日軍蠢動
page 2	邱吉爾報告英國海軍近情英國之海軍已大為強化準備擊破納粹一切進攻
page 2	邕賓路戰況轉趨沉寂口犯羅山被殲七百餘綏西我某部分向五原包頭進攻
page 3	勞達喬治主張擴充空軍寧作長期戰爭不願中途退出
page 3	卡爾臣大佐對記者談論中日戰局倘美禁運貨品入日本日本在華軍事即崩潰
page 3	贛北前線印象記二
page 3	蓋達氏談倘巴爾幹發生戰爭意國必參戰維里斯來歐係樂觀現象信可奠定和平談判基礎
page 3	巴拿馬運河遠大防禦計劃需要多於現時一倍之飛機大炮羅斯福在軍艦上對記者之談話
page 3	羅國輸入大批飛機
page 3	英外相批評納粹理論錯誤德領袖利用人民犧牲及忠勇本能藉以支撐其帝國主義之哲理思想
page 3	英擬在海參威外派艦施行檢查防止蘇貨轉運到德國可見英蘇間磨擦益甚
page 3	淺間丸德俘虜九名交日發落
page 3	對華貸款案美已準備通過我提出要求七千五百萬金元但美當局則認為此數過鉅大
page 3	芬軍退守新防線繼續英勇抵抗蘇軍數路攻維伊普拉城另一路進攻烏拉斯砲台
page 3	錫蘭內閣全體提出辭職
page 3	西線局部砲戰
page 3	知名華人請求放棄法日商約
page 3	渝市當局再勸人民疏散勿忘前次大轟炸
page 3	羅王將訪羅馬
page 3	維里斯離羅馬假道瑞士赴德希特勒將設宴歡待將在席上交換意見
page 5	再克大沙夾攻古井
page 5	我軍向新鶴路出擊
page 5	積極調查順屬部隊
page 5	東莞上沙青年抗日慘被日軍入村焚殺
page 5	寶安海面盜匪偷蠔被捕
page 5	容奇日軍亂捕居民搜捕後又　訊
page 5	李主席獎勵琶江民眾並撥款修堤辦學
page 5	林主席電勗瓊崖軍民王吳出巡前線召集聯合會議決定攻防大計
page 5	維持金融中行發放輔幣撥二百萬分發各縣
page 5	中山調整自衛隊協助打擊日偽嚴密封鎖淪陷區
page 5	一區專署電各縣集資購運免稅洋米總額規定五萬餘公擔
page 5	寶安二批義民川資待籌
page 5	恣意焚殺
page 5	偽軍來攻
page 5	南海偽軍蓄意復仇攻入民樂市逞兇民眾多被殺害慘狀不忍目睹
page 5	寶安行政會議第一日幸縣長報告施政經過
page 5	開會詳情
page 5	施政經過
page 5	我反攻古井戰事更趨激烈新鶴路我軍昨晨亦奏捷袁帶調整順德各地團隊投誠偽軍編入王蘭友部
page 7	戰事結束遙遙無期
page 7	今年派息較前減少
page 7	中國貨幣基礎穩固
page 7	中國外債暫停還本
page 7	貿易之輪繼續轉動
page 7	石霞和尚粥畫賑災明日起在金陵酒家展覽
page 7	各地貿易均形好轉
page 7	本港開徵戰稅問題
page 7	匯豐銀行股東年會施勞士演講遠東經濟狀況歐戰雖于日本有利但日已無力量發展中國金融穩固生產增加前途極為樂觀本港開徵戰時所得稅將影響普通稅收
page 8	中華民族沉毅應戰
page 8	總行職員參加軍役
page 8	努力奮鬥爭取勝利
page 8	粵東文物繼續展覽由今日起至星期六日止
page 8	高承元昨接待各僑團報告視察戰區經過
page 8	商賑會勸募隊又募得慰勞金數千元果菜行商響應勞軍運動決捐傭金三天充慰勞金
page 8	千萬溢利支配辦法
page 8	九龍倉獲利百餘萬元
page 8	昨日甲組足球聯賽掃桿埔洋陸軍大戰一比零蘇軍僅勝米杜息
page 8	港澳埠際足球賽期決呈月會通過選手及球場容後酌定
page 8	友誼足球戰訊零比零南華昨和海軍
page 8	欖勿行夜冷
page 8	客商誤搭賊船萬餘元貨物中途被劫二商人被鎗傷一焗死艙中餘人幸獲脫險赴大澳報案
