page 1	新任英大使到華
page 2	北海事件調查工作困難日艦尚未進入海口川樾入京後今日謁張群開始交涉成都北海兩案
page 2	兵氣銷沉桂軍連日籌議復員廣西省會擬遷桂林
page 2	林主席報告國民參政初步應切實行使選舉權
page 2	朱培德抵滬談桂局完全解決白崇禧原擬出國考察經蔣挽留已打銷行意
page 2	粵漢路通車後發生首次撞車慘劇由粵北上車在易家灣與汽車相撞兩方共死十六人受重傷者十餘人
page 2	港府允准中航公司機降落後廣州人士極表歡迎此後中航汎美兩航空公司或將由此得組成一航空網
page 2	綏遠時局安靖傳作義返駐集寧
page 2	粵漢路株萍　線昨移交浙贛路
page 2	源源發現古物不翼而飛失去紫象牙鳥一個紅綠藍寶石三十塊
page 2	沉痛之九一八日人開會紀念學生演習總動員以中國為假想敵
page 2	葉楚槍在中央紀念週報告蔣以容忍精神解決桂局葉更希望國人效法蔣委長處理桂事精神從容忍中鍛鍊出一種力量以為國家貢獻
page 3	陳誠乘車北返余　謀等到站歡送
page 3	何鍵返抵長沙省府委員等到站歡迎
page 3	滇黨政軍民各界籌備慶祝和平雲龍盧漢等電蔣致賀
page 3	日兵車一列突遭義軍集擊日軍死傷數十
page 3	日駐津總領掘內乘機赴滬擬謁川樾有所報告
page 3	王英匪部集結察北一帶派人四出秘密活動招募散匪擴充實力
page 3	壽蔣購機款項各方陸續匯解各部隊機關七十八餘萬馬來亞華僑約二百萬
page 3	英大使許介森抵滬
page 3	行政院公布外人在華攝製電影規程不得攝製有損害中華民國尊嚴者攝製後須經中央審查後始得出口
page 3	滬血魂鋤奸團法庭展期提審
page 3	重光葵定期來華視察與華北日要交換意見然後赴俄就任大使職
page 3	秦德純談建設北平計劃積極方面提倡手工業消極方面成為遊覽區
page 3	高秉坊代表孔祥熙勗勉稅務人員發揚科學精神保存青年朝氣
page 3	華北私運日來又復猖獗津市囤積私糖共達二千萬斤
page 3	陝省積穀備荒
page 3	農本局理事會今日首次會議推舉理事長
page 3	中大教院英語測驗工作現已全部結束總報告將發表
page 3	度量衡營業條例實部修正公佈
page 3	盧作孚昨抵滬盧談川公債抵押事曾與滬換行界接洽
page 3	滬金融實業兩界籌組中聯公司拓展南洋各地貿易
page 3	訓導班保送證件審查尚未竣事及格通知展期發表
page 3	美駐亞艦隊總司令穆芬上將抵津定今日赴平遊覽名勝
page 3	巴西國際商品展覽函請我國參加外部已轉實部查照
page 3	王祖祥定期來粵攷察衛生行政
page 3	蘇建廳在徐設收轉電總機與九省長途電話聯絡
page 3	福州黃岐附近沉船溺斃多命
page 3	童星黎鏗飛京應中央攝影場之聘飾新片密電碼要角
page 3	西國叛軍開入聖城各公共建築高懸君主旗
