page 1	粵省將設行政督察專員
page 2	有田對成都北海漢口各案已訓令川樾大使向我交涉付川樾以廣泛之自由取決權羅列條件中有種種苛酷要求
page 2	日提新要求許大使尚無報告
page 2	英任調停說英方已正式否認
page 2	漢市日警察外國人願作眼證
page 2	川樾接訓令昨向張外長交涉
page 2	北海中野案日調查員已登陸
page 2	徵抽所得稅法美均拒絕
page 2	桂局解決海軍奉命復員四江六楚駛抵馬江
page 2	三銀行及郵局代收所得稅款合同經已簽定
page 2	廿七師馮治安部接防豐台日駐屯軍部又欲無理干涉
page 2	秦德純談平市公債用途
page 2	華北日軍秋操依照向例舉行自十月廿五起至十一月初止
page 2	立院商法委會審查保險法案
page 2	歐亞航空公司訂購乘客保險失慎致死賠償萬元
page 2	上海又肇日兵被殺案日出雲戰艦水兵三人在虹口被擊一死二傷疑犯一名被捕押日陸戰隊司令部出事後出雲艦水兵百名開入虹口出事地點戒嚴區域延及一方里
page 3	烏拉圭政府宣布與西國絕交已關閉使館撤回外交代表
page 3	亞代表資格決交海牙仲裁意政府表示不滿認為有意阻止意國返回國聯
page 3	英大使許閣森昨赴國府覲林主席呈遞國書英大使致詞謂盡力鞏固我國復興事業林主席答中英素敦睦誼將賴更臻親密
page 3	主席答詞
page 3	大使致詞
page 3	宋稚漁已定卜葬宋園居正等昨開會追悼
page 3	津市大批私貨向外運輸推銷
page 3	主席歡宴
page 3	外長歡宴
page 3	華北紡織業已被日人摧殘
page 3	我國華北紙業日商又圖壟斷
page 3	閩南駐軍擊破吳金股匪
page 3	刺汪案改派承審人員
page 3	司法院解釋郵送文件疑義
page 3	中德交換學生德生三人抵平將入清華大學
page 3	綏蒙政會建設計劃業經大會決定
page 3	雷殷奉派任桂選舉總監
page 3	首都各界定期追悼諾那諾那遺灰將運抵京
page 3	粵禁煙總會積極推行煙禁催各縣市成立分會
page 3	狄倫次被刺案兇手二人就逮
page 3	教部推行社教編印通俗讀物
page 3	英史蔑提督今日飛廣州
page 3	駐橫濱總領楊雲竹明日赴日履新
page 3	希特勒有辭元首職說但當局尚否認
page 3	德軍大操演內容絕守秘密
page 3	瑞典內閣倒塌
page 3	日本開國紀念舉行航空競賽
page 3	英閣小組委會解決四大問題
page 3	國聯財委會主張調整物價
page 3	馬德勒四面受敵二十四時內將有大戰阿爾加柴砲台尚在血戰中
page 4	友誼籃球戰華雄乙輕取紅星湔雪前次失敗之恥
page 4	全港公開排球賽昨晚開臨時會議
page 4	我國出席世運代表隊十月二日抵港足球隊過星比賽否現未決
page 4	廣州市民絨球隊明日來港廿六日對印人游樂會是晚陳艦波歡宴
page 4	南華會友籃球賽廿六日舉行聚會
page 4	木球代表檢閱實力
page 4	英京銀價昨轉漲
page 4	滬外匯市仍穩靜
page 4	良將不來實力受影響九華會敗與聖若　攻守力薄上場即蒙三對一之不利下半場再負一罰球以四對一完結
page 5	進口雜糧特稅未撤消汕外人又組走私機關汕商人籲請設法杜絕
page 5	　市檢疫所實行徵收種痘費華僑互助社通電反對
page 5	砂統制案商人請撤銷不准
page 5	雙方已研究炸彈
page 5	日僑民遇事生風
page 5	東路防軍之調動
page 5	桂軍集中柳州候改編翁丘兩部駐鬱林五屬蔣解禁五金車輛入桂
page 5	汕南日人食　店發現廢彈案之近訊日僑民有意擴大交涉雙方研究炸彈之經過此彈完全係廢舊無用
page 5	李宗仁回邕後之電告桂軍一致擁護中央白派劉為章代表駐粵
page 5	公務員限燬賭具
page 5	此案之近聞彙誌
page 5	北海事件之昨日訪問記日副領竹吉昨訪刁特派員淩秘書及日調查員已登陸我日兩艦均已開入北海港省府昨再派張秘書往北海
page 6	繁榮瓊崖航業疏通河道取消苛雜為當前之急務
page 6	教廳批未復課後紀中潮仍未解決
page 6	市府職員九月起改發全薪
page 6	國醫館勸告勿放棄選舉權
