page 1	關於蘇聯訪問團
page 2	日軍一營擅進越南境內法軍堅決拒絕未肇事端西原向越總督戴古道歉
page 2	正太路日軍死亡三千
page 2	蔣委長令各界節約儲蓄二以養成節儉之美德而達成建國之目的
page 2	倫敦東區損害最大
page 2	道清路日遭我夾擊
page 2	沙宜一帶尚有激戰鄂中日軍被殲二百
page 2	重慶方面注意美蘇談判又注意英美成立諒解
page 2	魯鹿連茹率部反正
page 2	邕欽路西我軍出擊奏捷突破板利日陣縱橫斫殺肉搏至黎明斃日軍甚眾
page 2	蘇北日軍擾犯受創
page 2	膠濟路日軍蠢擾受挫
page 2	浙天主教會前副主教逝世
page 2	德機大舉狂炸倫敦平民死傷近二千人數百萬公斤炸彈投下倫敦區德機被英方擊落者八十八架
page 3	羅保兩國簽訂土地協定羅多布魯查省讓保保以百萬保幣為酬
page 3	法新內閣將下令沒收叛逆份子財產將所得救濟本年冬間饑荒主戰派雷諾與甘茂林被捕
page 3	盧森堡政府下令排猶限令將財產呈報禁作醫生等職業
page 3	梁寒操將任新職繼陳誠將軍之後主軍委會政治部
page 3	美尚未需向拉丁美洲取軍事根據地因美洲各國之有軍事要區者已能與美國合作取防禦步驟
page 3	羅國鐵衛團曾謀刺前羅王截擊國王所乘之車車上衛兵將之擊退
page 3	柏林被空襲傷亡多人
page 3	美讓英驅逐艦將用於打擊德國潛艇移交時不舉行任何儀式只在接管後即轉換英旗
page 3	日限止出版物
page 3	又是一齣雙簧
page 3	愚蠢的行為
page 3	並非奇事
page 3	日軍心腹之患冀省民眾英勇抵抗日軍掃蕩百餘次均不逞現各地遍樹青天白日旗幟
page 3	日本東京睡眠症蔓延患者多不治
page 3	重慶各銀行不再限制提款過去兩星期中曾經一度限制
page 3	襄安之役日軍傷亡千餘
page 3	巴拉圭總統乘機失事殞命
page 3	德方謠傳芬蘭總統逝世芬蘭官方否認
page 3	緬甸政府不獲下院信任已向總督提出辭職
page 3	美國防部建議嚴禁廢鋼出口受影響最大者為日本
page 3	美下議院通過徵兵法案其中若干項修正條款又將交於上議院覆審
page 3	海軍力量
page 3	美國最近軍力實況
page 3	陸軍與空軍
page 3	綏東我軍活躍一鼓攻入興和城晉西南我軍不斷出擊以破竹之勢迭摧日陣
page 5	日兵退集瓊島潿島
page 5	防城日軍陸續撤退
page 5	我軍活躍襲擊大塘
page 5	三埠市況
page 5	邊區檢查
page 5	我反封鎖成功四邑各地日漸繁榮淪陷區人民紛返內地籌募寒衣金慰勞將士
page 5	憑祥日軍　聚極眾
page 5	廣州灣之備戰情形
page 5	民眾動員
page 5	廣州救濟院現況全院老人請改善辦理
page 5	農林局派員防治東江牛瘟
page 5	桂展期申請特別修學貸金
page 5	粵府一五八次會議紀劃曲江乳源為土地整理區域補助各軍警班學員返粵旅費
page 5	余漢謀定期任新職
page 5	第　戰區司令長官余漢謀定本月中就職粵軍要會議戰局半有新發展
page 5	中振會撥款救濟桂省難民數額一百萬元
page 5	省府通令節省糧食消耗禁造上白二白米
page 5	我團隊奉命回防禺南進襲市橋發生激戰番禺縣府遷回某地辦公
page 5	機械兵團增防粵省
page 5	越南情勢緊張潿洲瓊崖等地日軍　集華中華北各地日軍亦抽調南下欽邕路兩側我軍分頭大舉出擊
page 6	日軍驅逐造貝鄉民
page 6	南僑慰勞團抵韶陳嘉庚之談話履遍各省認社國充滿朝氣努力消除僑胞對祖國隔閡
page 6	印象
page 6	觀感
page 6	投資
page 6	僑匯
page 6	銀洲湖西擊退日
page 6	略歷
page 6	一年來粵省衛生行政衛生處本月起直隸省府
page 6	組織方面
page 6	經費方面
page 6	培植人材
page 6	行止
page 6	周漢鈴部進攻睦洲
page 6	上級長官不得推薦人員行政院重行申誡所屬
page 6	粵省禁宰壯牛限制售賣牛肉
