page 1	日本　　會議以後
page 2	江南我軍收復廣德宣城等四縣我克魯港後沿江戰事沉寂被我炸毀之敵艦仍泊江面
page 2	杭州尚有敵軍三千
page 2	在石湖蕩敵軍增防
page 2	定海附近發現敵艦
page 2	被燬敵艦一艘沉沒
page 2	敵在杭設特務機關
page 2	敵在鎮海企圖登陸
page 2	於潛敵軍全部撤退
page 2	晉北敵軍不時移動藉以虛張聲勢在忻界間汽車路西面構築工事忻縣敵朝調晚回藉以虛張聲勢
page 2	粵五個月內發警報二百次
page 2	滬公共租界破獲匪黨機關英巡捕長受傷捕獲匪黨數人
page 2	我擬封閉駐鮮京總領館
page 2	大名安陽敵軍調動
page 2	敵拉民夫修築公路
page 2	黃河北岸平漢線敵連日移動極忙敵阪垣四郎赴石家莊企圖指揮敵部侵晉東
page 2	平津各傀儡頻演醜劇潘高暗鬥甚烈互貼標語反對
page 2	中航公司總經理由黃寶賢繼任
page 2	某方觀察敵忙於應付華北當無力南侵現廣東兵力雄厚出人意料桂方亦正忙於抗戰之建設
page 2	川樾荒謬談話日未覆我抗議
page 2	教部人員升調
page 2	青年海外工作團定期出國宣傳
page 2	敵機昨今兩日兩襲粵漢鐵路
page 2	陝軍管區司令部現已著手籌備
page 2	西安效外挖獲窯藏銀條
page 2	克復濟寧後我軍乘勝進迫　州正面由鄒縣北進離兗僅數公里左翼襲兗州之背離城僅十公里昨傳韓復　被扣留現當局加以否認
page 3	法國目前政局惟有兩途可循
page 3	旭丹要求眾院通過財政計劃
page 3	日內閣大本營聯席會議延期延會原因官方未予發表對華政策宣言在起草中
page 3	日侵華政策又有新三原則以實際行動否認蔣介石政權撕毀九國公約與及國聯盟約
page 3	新閣入選呼聲赫里歐為最高
page 3	國聯行政院將討論承認意帝國問題阿王現要求英國切勿承認意帝國美中止意美商約談判其影響甚大
page 3	奧總理舒斯尼格發表對羅馬議定書意見雖同情德意但不變更奧國政策對國聯會則深信必可繼續存在
page 3	意謂此次會議結果一如所期
page 3	國府公佈經濟部組織法一行政院組織法第一條條文又修正
page 3	孫科赴歐負有特別任務孫科飛抵阿姆士達旦顧郭兩大使均到歡迎
page 3	未能對匈京會議所發公報滿意
page 3	教育部關懷留外學生令各省教廳局先匯經費三月
page 3	京新民報移渝
page 3	敵軍費大費張羅將增某項新稅
page 3	日國債總額已逾一百萬萬
page 3	波政府贈蔡元培等勳章
page 3	美艦三艘將來留駐遠東
page 3	國共兩黨領袖連日在漢集會決定完全方案支持長期抗戰
page 3	外輪在長江航行事先通知日方美國務卿贊成
page 3	巴納號打撈工作停頓
page 3	蘇聯大使赴重慶遞國書
page 3	英大使交涉滬英捕被辱案
page 3	法社會黨主張統制外匯旭丹內閣提出總辭職旭丹曾向眾院要求通過財政計劃人民陣線份子將開會商統一政見
page 4	普通女子籃球賽今晚兩場均無甚可觀梅芳甲西南西可得最後勝利
page 4	晨光社今夕舉行社友聯會並　男女表演乒乓助
page 4	德權鼎小球賽第二屆報名期定今日開始
page 4	世界職業絨球王鐵爾敦再遊香港預計下月可抵
