page 1	歐局之危機
page 2	英新訓令電駐日大使著重警務行政問題
page 2	英報　　引渡四華人此舉實係司法
page 2	晉東南Ｘ潰退後屢圖南犯不逞魯西連日血戰Ｘ軍隊長被擊斃
page 2	洛陽天津水災嚴重洛澠等河猛漲津糧食價極昂
page 2	贛西我軍三路反攻獲勝現仍在厚田街等處激戰
page 2	鴉湖鄉民計擒Ｘ軍偽稱歡迎Ｘ軍宴會席中迫Ｘ軍官自首
page 2	滬市日貨進口激增
page 2	日偽反英潮波及上海在虹橋散反英傳單宣言沒收英國教堂
page 2	青島英商煙公司被搗亂
page 2	趙恒惕獻子從戎回籍擔任鄉長以示提倡服務
page 2	李宗仁飛襄陽策劃反攻軍事我　撲攻　縣現　戰中鄂北軍民舉行八一三紀念
page 2	粵謀闢三交通線維持港韶運輸
page 2	Ｘ機狂炸桂省在柳州立魚峰附近投百餘彈桂林信都甯明桂平亦被投彈
page 2	Ｘ在粵徵田稅
page 2	漳州　產又被Ｘ機轟炸
page 2	銅蕭碭各縣我游擊隊活躍Ｘ掃蕩計劃又告失敗淮安Ｘ南犯亦遭我擊潰
page 2	中央派定桂省典試委員黃旭初為委員長
page 2	滬公共租界禁猶難民入境
page 2	英堅持不涉經濟問題英日談判已中斷日軍代表團昨已離日返津日將加緊封鎖天津英租界
page 3	德意會談各方疑慮盛傳德軍行將出動
page 3	八一三歷史意義
page 3	倫敦金價高漲每安士起一便士
page 3	瑞典外交大臣發表和平演說
page 3	德報著論詆毀波蘭謂係世界文化污點
page 3	德意談話成立妥協予以解決各項問題
page 3	三國軍事談判在加緊進行中全體採納英方建議規定每日舉行兩次
page 3	羅斯福知友法萊遊　歐洲
page 3	平沼晉謁日皇報告歐洲時局
page 3	澳洲聯邦總理縱談時局世界風雲危急係希特勒造成
page 3	意派駐西大使
page 3	哈爾濱白俄受日虐待男女均須登記男子須受軍訓
page 3	保土誤會消釋各報改變態度
page 3	西新閣宣佈大政方針努力開發富源注重休養生息
page 3	意國宣佈禁售英法報紙
page 3	傳德意商妥解決但澤方案但澤政務官赴德謁見希特勒同時德對中歐又企圖新舉動
page 4	偽造防疫證書二十日內發生十六宗
page 4	裝修輪船工會昨已正式成立
page 4	淺水灣竊匪光顧西人別墅
page 4	德試航機抵港
page 4	駐汕英艦更調
page 4	鐘聲社游藝會藝術界給紛紛贊助
page 4	港吧兩婦女會聯贈紅十字會救護車李樹芬夫人代表獻匙王正廷博士親自接收
page 5	埋頭練兵另有作用
page 5	當局對此設法應付
page 5	緊張中之粵南Ｘ艦一部匿跡原因未明Ｘ母艦亦已他駛Ｘ艦頻過瓊海峽
page 5	廣增公路線最近戰情我夜襲石橋及羅布岡Ｘ運輸車兩輛被擊毀
page 5	Ｘ運輸車被毀兩輛
page 5	出擊石橋截Ｘ甚眾
page 5	游擊隊夜襲進布岡
page 5	陳濟棠飛渝訊
page 5	西線左翼之戰訊我前頭部隊迫松崗鎮南新墟偽政權停頓
page 5	江會沉寂外馳內張
page 5	戰區統一河道檢查
page 5	中山最近情況一瞥
page 5	偽軍開抵桂洲駐宿一宵即撤回墟頭
page 5	粵防止資金外逃暫停普通外匯
page 5	蔣委員長訓令不得虐待新兵非法征集壯丁准入伍後舉發
page 5	我游擊隊兩襲佛山
page 5	Ｘ犯橫瀝係刺探我軍情大鵬泊Ｘ艦甚多Ｘ有分路東犯之勢
page 5	東線Ｘ增兩師團
page 5	有分三路東竄意
page 5	游擊區準備迎擊
page 5	被徵壯十戒煙軍委會訂頒辦法
page 5	中新戰事仍沉寂Ｘ趕練偽軍另有作用連日侵擾各地係威嚇性質戰區統一水陸運輸之檢查
page 6	文昌舖前市Ｘ投捐稅我游擊隊混入襲擊斃Ｘ三百餘俘獲廿餘名漢奸全數授首人心人快
page 6	潮安Ｘ軍增援圖沿潮揭線進犯揭陽曾三度犯楓溪均被我軍擊退犯沙頭溪Ｘ被截擊損失更大
page 6	潮Ｘ揚言進犯揭陽
page 6	兩犯楓溪均不得逞
page 6	犯沙頭溪又告鎩羽
page 6	各縣稅捐處兼辦契稅減征契稅延期一年
page 6	惠陽舟車船舶限期登記否則不准載運貨物
page 6	廖崇真抵韶復興蠶絲在樂昌設蠶種繁殖場
page 6	伍觀淇籌設平民學校收容所部子弟教養
page 6	外匯高漲欽廉停辦洋米
page 6	粵征印花煙酒稅改設十四分局
