page 2	　　一問國民　心若何　之熱力若何
page 3	交通系傳說梁士詒今晚可到京
page 3	葉恭綽得張作霖電召昨晚出京赴　
page 3	京政府又有電邀曹錕張作霖到京解決內閣國會財政軍餉各問題
page 3	張作霖召集奉天會議
page 3	美京電英美極力調停魯案現中日代表皆允容納友誼勸告在會外直接討論遠東委員會因特展會至星期　俾中日將該案切實磋商據外訊日已允撤山東路警惟要中國有相當警察接代但南滿鐵路警察謂盜風可危不允撤退
page 3	又電關於撤消在華治外法權委員會決議出各國每派一人於華會延會後三月內組織專團來華考察情形以便條陳改良為撤銷法權地步限　年內完竣各國對該團條陳報告承納與否　任自由但不得單獨秘密交涉該團專員中國將亦占一席
page 3	又電日代表對我要求裁撤駐華外軍言中國能維持秩序日可撤退漢口日軍如華北安靖西伯利亞肅清中東路日軍亦可退出
page 3	吳佩孚電蕭耀南由十二月起扣留鄂省鹽稅撥充軍費
page 3	司法部長董康辭職擬以江庸繼任或王龐　但未到任以前派人暫署
page 3	馮玉祥部與陳樹藩部於廿八日在邠州衝突聞陳部已佔邠州
page 3	京政府招集各省代表到京開會討論實行統一幣制
page 3	英公使迭促外交部解決西藏案國務院電召陸興祺以
page 3	備諮詢並電川邊鎮守使陳遐齡速派諳於藏事人員來京與
page 3	吳佩孚三十日抵天津轉赴德州察閱兵工廠即回山東葬
page 3	趙榮華報告自廿二日起與川軍激戰兩日克復施　
page 3	又訊施南川軍勢力雄厚決無敗理且但懋辛部現正力攻巴東鄭錫侯進踞觀音嚴頗佔優　
page 3	曹汝霖宣言交　已妥定根本計劃一週期內宣
page 3	京漢路有罷工醞釀
page 3	張景惠電告張作霖保定會議結果奉直融洽共決擁護靳閣曹錕吳佩孚負對南全責
page 3	駐法公使陳籙電京辭職
page 3	任風苞因交通銀行事焦急之極得神經
page 3	沈鴻英部潰敗已徵實所餘殘部由趙恒惕給資解散
page 3	京政府昨接梁士詒電告在滬籌款接濟交　瞬既返京
page 3	京政府接太會代表電稱各國均詆我國不一致已由私人電請西南勿存成見破壞大局
page 3	又訊各國因簽字歐洲和約不願遞提有違該約事件故魯案均主在場外調停英美允寫調人可不直接交涉並云無直接交涉嫌疑以免中國不利中國代表團對此主張　　卒由本團顧問諮議開會表決一姑試調停仍　留再提大會權二先探確條件隨時公開討論故華代表答覆英美勉受友邦勸告但調　妥後仍須用大會公決方式
page 3	美意中日合辦膠濟鐵路中國國民完全反對日應允全拋此項要求日有容納意
page 3	九國股員議決閉會後三個月內組一會考察中國司法進
page 3	步訂擬收回法權步驟一年內報告再公決實撤治外法權不要交換利益
page 3	遠東委員會廿九日開會贊成各國駐華客軍大綱日亦允先撤魯省日警但須中國有接防妥協方法
page 3	桂邊警耗牽動南寧
page 3	粵軍與立紀念日之慶鬧
page 3	令市廳保薦市參事
page 3	九江大擄案續聞
page 3	議員公旅費亦議減
page 3	各縣另設徵收局之駢枝
page 3	福軍隨時可以出發
page 3	來函勸入住客維持會
page 3	海員將要求加薪
page 3	去免重疊而歸簡略除此而外
page 3	防範虐婢會聚會
page 6	中日直接　到魯
page 6	日本之與海軍力
page 6	唐繼堯有攻滇消息
page 6	張紹曾之國是會議談
page 6	靳雲鵬又將
page 6	上海濬河會議
page 6	上海大花　
page 6	葡國　過激派革命潮
page 6	馬克略漲
page 6	岷島風災
page 7	省地方十年度之歲入預算四續
page 7	贛督委夏同和為駐粵代表
page 7	桂省河道不靖現象
page 7	伍廷芳致華會電之內容
page 7	米石被扣尚須頌德
page 7	廉江員弁詳報剿匪情形
page 7	各區破獲煙案之統計
page 7	又有控告四邑　衛營搶掠者
page 7	擴張製彈廠
page 7	徵收東山築路費
page 7	規定北江對船價　
page 7	令電車公司赴省署立案
page 7	匪擊惠州早渡情形
page 7	樂昌水陸難民之呼籲
page 7	瑣聞一束
page 7	英太后壽辰
page 7	鑿石壓斃一人
page 7	搭客斃命
page 7	南華足球比賽
page 7	聖雲仙會籌款濟貧
page 7	中法銀行附家聚會
page 7	上月雨水
page 7	煙土案
page 7	燒臘檯售賣牛肉被罰
page 7	小販被控毆差
page 7	在娼寮行竊被拘
page 7	銀價
page 7	壟斷工業之反響
page 9	廬山會議將發生變化
page 9	法國新任駐華公使之談話
page 9	沈鴻英軍恐將解散
page 9	旅京魯人反對田中玉借款
page 9	龔莫郭李之控案再誌
page 12	葡公使態度雖明
page 12	為君武　林俊廷等電
page 12	提存免工費修築公路布告
page 12	工會出遊未有人情被罰
page 12	電車殺人案已判決
page 12	新會鋸木工人風潮近誌
page 12	自應體恤商情
page 12	佛山偽幣充斥
page 12	取締特種藥品佈告
page 12	孫文　抵陽　
page 12	軍火案
page 12	被控冒名棍騙
page 12	小故打架
