page 2	陳炯明果復返惠州耶
page 3	法自當由省議會正式選舉省議會既徵求唐紹儀同意自當依法舉唐
page 3	十七日晨贛人士請願請撤蔡成勳經閣議通過下令查辦旋發生異議遂擱置
page 3	盧信已就農長職
page 3	高恩洪被八校迫討欠費辭職赴津
page 3	孫丹林因甘長令拒絕蓋印憤不出席
page 3	孫中山擬派代表北上答訪黎元洪
page 3	吳佩孚語人孫岳赴滬係慰問孫中山並與孫伯蘭等接洽中山反對割據式之聯省自治與我主義合不妨與彼接洽
page 3	外傳孫文曹錕吳佩孚齊燮元同盟實未造此境
page 3	外交部以英在片馬設官電滇唐繼堯查覆又通知英美法日等公使已任劉符誠為撤廢客郵會議主任
page 3	漢口訊援川軍五混成旅十二日動員孫傳芳十三日已乘圻江輪赴巫並派參謀往巴東各區慰勞各軍
page 3	院眾偕代表陳述一切王到院議決派員查辦宣布後因對蔡尚須考慮又將案撤回贛人大憤
page 3	旅京贛人以蔡成勳禍贛十七日晨百餘人赴國務院請願撤退在贛北軍適王寵惠回
page 3	東方通信社電
page 3	上海電十五晚孫中山發表二千餘字之宣言內容略謂民六以來之國內戰爭為護法與非法戰余不忍艱難創造之民國入於非法者之手統率同志不絕奮鬥其間屢起變化護法事業數年之間躓蹶而不能成功非常國會因此建設政府以其重任屬之余身余以貫澈護法受之不辭就職以來激勵將士出師北向與非法者戰而勝之是時以北軍將士亦有專重護法之表示余以此為將歸於統一故發表六月六日之宣言與北軍將士提攜以謀統一詎料六月十六護法首都突遭兵變政府為砲火包圍國會星散出征軍隊又
page 3	魯案中日委員今早開第十五次會議一討論分委會對青島稅關所報告與條陳各件除略有保留外皆得通過二中國代表對鐵路電話海電線郵政局等提出說帖三項由日本代表答覆畢決將案交分委員辦理三日本代表提出關於礦產之清冊及建議決留後磋商
page 3	八月十六號北京電赴保定洛陽特派代表王芝祥昨日返京聞王向總統報告言吳佩孚意欲早日任王寵惠為內閣總理
page 3	川省第　軍已由培州向鄂西潰退趙榮華派兵在利川咸豐等處堵截繳械收容
page 3	旅京川人及用籍國會議員因北軍援川十七日開會討論決派代表謁黎元洪請勿派兵入川
page 3	議員蔡達生擬提彈劾元首案聞簽名者多係兩湖人
page 3	漢口訊交長高恩洪奉命赴洛陽疏通湯薌銘到任為孫丹林長內交換條件因吳佩孚未允暫緩來鄂
page 3	安福系舊議員王揖唐康士鐸光雲錦鄭萬瞻等已得曹錕吳佩孚同意特赦
page 3	袁祖銘因各界各軍公推十二日已就省長職
page 3	贛人數百十七日晨齊集團務院手攜撤蔡成勳及北軍實施民治旗幟要求實行
page 3	聞周自齊廿一日南下赴法
page 3	昨開閣議第一屆議員因案通緝者一律撤消令已辦妥司法部來函阻止發表謂有窒礙故未　
page 3	黎樹電京報告孫文到滬後休息三日約定十九日往謁
page 3	陳炯明復回惠州續聞仍促少川出日省長
page 3	軍隊各回防地之情形
page 3	黃強鍾景棠親赴陽江
page 3	客述汕頭風災後之慘狀
page 3	桂省分裂之前因後果續馬君武離桂之原因劉震寰回桂之經過林隱青圓桂之實情
page 6	閩省軍事要聞李厚基之病狀援粵軍之近情
page 6	兩院憲法審議會之開議議員質問土正廷　密訊　長資格地方　已揭出三要點次會討論
page 6	同敬工會要求加薪續聞
page 6	命案再押候
page 6	賭案
page 6	影畫誌
page 6	潮州商會函謝賑災
page 6	義務學校賣物賑濟
page 6	燕梳公司聚會
page 6	籌辦殖工銀行之近情
page 6	銀價
page 6	開濼煤礦報告
page 6	油麻地將有大旅店出現
page 6	電話公司訂約之近訊
page 6	騙案
page 6	馮椿源案嘗格一千元
page 6	竊案
page 7	軍官無故搜查商店
page 7	　審長之逐鹿觀
page 7	省銀行賬目之清單
page 7	陳炯明犒軍續聞
page 7	電報學生被入誣控
page 7	國議員被掠之賠款
page 7	總司令部之刷新
page 7	最近各江渡輪開行
page 7	瑣聞一束
page 7	扣留　
page 7	六屬檢廳一律恢復
page 7	擄匪綽臂遊城市
page 7	郵局通告
page 7	火警例誌
page 7	廣三路副局長易人
page 7	香新大械鬥之醞釀
page 7	星架波賑濟汕災之踴躍
page 7	德澳幣低跌之影響
