page 1	北歐之風雲
page 2	北海方面海空發生激戰西防線天雨全線沉寂
page 2	進擊武寧我軍乘勝向前推進奉新西面戰事我佔優勢臨湘桃林間我日有激戰
page 2	杭州四圍我軍活躍
page 2	滬租界日人非法行動美當局將有聲明
page 2	匈納粹黨員百餘被捕
page 2	日方設法誘我人民返漢
page 2	我軍圍攻石龍
page 2	夏門美領電美報告鼓浪嶼事
page 2	蘇聯紅軍兩路開愛
page 2	湘北在戰後疫癘發生湘省府組防疫大隊
page 2	南鄭士紳張西軒送子入伍
page 2	日軍分五路向呂梁山進展均被我迎頭痛擊不逞
page 2	英蘇商務關係將行正式談判
page 2	張群發表談話中日戰爭階段已顯然有利于中國戰事何時可以結束不能預料但我已準備再戰我必不失敗
page 2	我軍潛入汾陽襲擊日軍營房
page 2	監察院糾舉成績甚佳
page 2	贛省府籌設中正大學
page 2	國民政府十八日令一派白瑞為司
page 2	蘇顧問一批乘機抵渝傳中蘇將締軍事同盟駐渝蘇外交當局否認中蘇談判蔣委員長昨日接見英大使蔻爾
page 3	土蘇談判停頓兩國關係仍好
page 3	北歐四國會議開幕共同起草方案使北歐確保其中立地位芬蘭要求各國協助對蘇
page 3	英日同盟有恢復可能法亦有與日修好可能
page 3	長沙會戰是怎樣勝利的二中央社戰地特派員劉竹舟
page 3	英法禁金出口美國停止買金
page 3	美禁交戰國潛艇駛入美領水界美孤立派又將發表意見企圖阻延法案成立日期
page 3	國際難民收容會定期開會討論羅斯福提案
page 3	亦有　成修改航務限制條款
page 3	大量黃金由蘇運德
page 3	聯絡中蘇公路完成捷徑一半貫連成都蘭州成千餘里預計明年春間可以完成
page 3	美名作家為中國呼籲勿因注意歐局忽略中國難民
page 3	英報討論橡樹號被潛艇擊沉事魚雷係英國大敵必須擊破之對敵人力量亦不容估計太低
page 3	豫北偽警備隊千餘反正
page 3	我駐羅公使呈遞國書
page 3	新加坡空軍實力大增
page 3	沙遜爵士助英戰費百萬分十二個月繳付
page 3	美政府提議擬建造五百艘空中無畏艦又將向國會要求特別軍費以應歐戰後不可預測需要
page 3	蘇　兩國簽新商約
page 3	英法土三國將訂軍事同盟巴本匆匆離土返德報告時局之新變化
page 5	廣州日軍增調江會
page 5	日艦最近出動一瞥
page 5	昨日激戰仍在市郊
page 5	瓊島我軍反攻各線捷音
page 5	匪徒二百餘洗劫近郊之南沙鄉鳳凰岡　樓司理被擄
page 5	推行兵役教育各縣設兵役教育區教廳昨頒佈實施辦法
page 5	中　兩屬海面日艦減小容奇等　河面日　有　退意
page 5	擴大救濟難民粵招致華僑經營墾區免征地稅十年地權　出資人墾地可自擇並得附設工　區
page 5	得自擇選墾地
page 5	地權屬出資人
page 5	炮火下的嶺東一
page 5	蔡勁軍赴南路視察青年組織籌組青年團支團
page 5	廣州鐵血團沙河茶寮擲彈
page 5	可附設工業區
page 5	免征地稅十年
page 5	第四戰區組巡迴醫療隊
page 5	督促禁煙員出發各縣工作
page 5	中山軍政整理分途急進日軍近由廣州調兵到江會昨日江會仍在市郊外激戰
page 7	金融界
page 7	實業界
page 7	香港青年會國語班
page 7	徵募寒衣近訊
page 7	防空處接管德僑網球會所
page 7	義勇軍定期集中訓練集訓地點及部隊已公布
page 7	周鯁生等飛美出席太平洋學會
page 7	商會協助政府儲糧存米甚豐米價或不致再漲
page 7	魯迅逝世三週文化界昨開會紀念
page 7	華籍文員會開辦文協公司
page 7	周兆五等謁華民司請設法救濟新界難民華民司允調查後施賑決明日親赴新界一行
page 7	車輛失事統計去週死三人傷四十七人
page 7	十一年來港府每年政費統計一九三零年僅二千八百萬明年預算竟超過五千萬元
page 7	西區自衛團召開街坊會議
page 7	法僑應徵返國
page 7	滬實業界力謀開發西南富源紛派技術專員赴各省考察對農牧礦產準備大量投資
page 8	香港馬會嚴整會綱李文被取消騎師資格終身不得在港參加比賽陶柏林年內亦不准出場
page 8	懲罰之重向所未有
page 8	另兩騎師亦受警告
page 8	軍官慘遭滅頂
page 8	國立各院校優待華僑學生
page 8	西摩道紅丸案被告入獄三年
page 8	男婦被控和姦
page 8	賄賂公務員案兩被告被重罰
page 8	全港渡海泳我男女健兒包辦前三名陳震南壓倒群雄榮膺冠軍尤世坤劉帝炳分列亞季軍女子組李寶聯居首席
page 8	記者體特會主辦籃球義賽明晚舉行
page 8	體協會昨議決嚴格審查運動員資格當即組織業餘資格小組委員會發給業餘證明書由小組會審查
page 8	鐘聲週年水運明晚開始
page 8	鈔擾亂祖國金融沈恩祥處徒刑六年連按察司宣判時對沈嚴加斥責次被告陳元證據不足幸獲釋
