page 1	湘贛戰役
page 2	政院議決邵力子任駐蘇大使中英庚款董事會董事朱宋驊曾　甫等連任
page 2	河津日軍發生叛亂
page 2	為封鎖大漏洞傳蘇已允德假道運貨決即派海軍實行堵截
page 2	毫　日軍受創回竄
page 2	馬關條約簽訂紀念台灣革命團體播講
page 2	津日軍歧視美僑通過日封鎖線故須下車　檢
page 2	日暗示對荷印或將有所行動不願荷印落於聯軍之手美對日威脅荷印極關切
page 2	渝又發現漢墓多處
page 2	衡陽各界舉行討汪大會
page 2	滬慈善界籌辦平糶募款一百萬元
page 2	察南我軍大捷
page 2	中央黨部徵求女黨員
page 2	汪又飛抵漢口
page 2	　竹軒案尚待偵查再訊
page 2	吳忠信昨離拉薩東返
page 2	電影界抗日協會年會
page 2	蘭回教徒定期紀念穆聖遷都
page 2	湘省槍決貪污縣長兩名
page 2	滬納稅人年會定於今日舉行料將有劇烈爭辯
page 2	贛北我軍續有進展軍義日軍反攻被我全部擊潰
page 2	晉南日軍又圖蠢動
page 2	晉南我軍猛攻長子
page 2	長江下遊我奮勇疾進鄂東克麻城斃日甚多湘北我突擊羊樓司重創日軍
page 3	波羅的海德放水雷
page 3	挪威傀儡經已辭職
page 3	瑞典準備應付事變
page 3	德軍槍擊瑞典警察
page 3	挪威感謝聯軍相助
page 3	法志願軍準備赴挪
page 3	挪威電台被德炸擊
page 3	挪軍三千退入瑞境
page 3	傳加拿大圖格陵蘭
page 3	意將表示對於戰爭態度蓋達氏著論抨擊法國意艦隊開始春季演習
page 3	德比經濟談判已得圓滿結果
page 3	德國商船多數被困
page 3	倫敦加緊施行燈火管制
page 3	羅將禁止麥糧出口
page 3	北歐戰事發生影響英國糧食
page 3	巴爾幹各國英使奉召返國會議結果頗為圓滿
page 3	聯軍可向美定購新式飛機但須負擔發明費
page 3	美將接收丹挪存美款項
page 3	楊格由日赴滬
page 3	孟祿博士抵渝
page 3	美洲決以實力抵抗侵略羅斯福強調聲明決以武力對武力
page 3	盧森堡施行戒嚴
page 3	德侵挪威久有準備
page 3	挪威政府發表挪軍侵德經過藉口謂英法同侵入挪威德軍籍此乃向挪威侵入
page 3	空斯文格形勢危急
page 3	挪威克港德艦銷滅
page 3	粵省參議會議長吳鼎新先生訪問記
page 3	英軍在挪登陸奪得挪威克城羅福丹島亦已被英軍佔領英空軍又大炸斯達完格城
page 4	　成了的童星　梨譚寶正式入學的詳情上離開攝影場踏進正式的學校這是她生活上的一個大轉變
page 4	賽馬詳情明日刊出
page 4	中電有聲新聞片預備蘇法英三種拷貝
page 5	日機前擾三埠實情
page 5	日軍西犯迭遭重挫
page 5	日軍誘招各股土匪
page 5	中山日軍之懷柔策
page 5	全國銀行停止糧食押款
page 5	粵北又發現回歸熱症腦膜炎蔓延加劇
page 5	廣西省府限制糧食出口
page 5	陣亡將士恤金從速支發
page 5	粵省當局籌建防空新村省會附近設模範村
page 5	容奇大鳳山日軍新闢墳場日大隊長宮崎森被擊斃後之葬地
page 5	新會壯丁請纓抗日
page 5	廣西銀行電告增加匯費
page 5	嶺東我砲兵痛懲日軍日機狂炸葫蘆市慘況投彈廿餘枚並追擊逃難民眾傷斃民眾五十餘毀房廿棟
page 5	派機三架
page 5	糊亂砲轟
page 5	有人圖接收方便醫院惟巍神父未允交代因接收者非舊董事
page 5	日憲兵抵大良派隊嚴厲截搜行人禁止　帶糧食出外
page 5	大起恐慌紛紛撤退
page 5	桂南西犯日軍迭被我痛殲之軍報桂林行營之公佈日屍一批沈默凱旋上思日軍敗竄欽北扶南日軍被我包圍
page 5	限制商店改組歇業各商無正當理由不得私自轉盤已歇業之商店仍應補納所得稅
page 5	均已次第為我克復
page 5	一區專員公署公佈三埠外圍防務加強日軍向新開路西犯迭為我重挫中山日軍用懷柔策誘商店復業
page 6	組兒童教導隊
page 6	清遠檢獲日貨
page 6	派員赴渝受訓
