page 1	所望於粵省參議員者
page 2	粵北我軍克風雲嶺殘日向廣州潰逃
page 2	湘北我軍分路出擊
page 2	粵各界歡迎南僑慰團
page 2	澳洲聯邦政府加速軍火製造
page 2	美國務卿赫爾抨擊孤立主義呼籲愛自由之人民及國家集成一不可破之防禦力量
page 2	納粹黨人謀破壞巴拿馬運河
page 2	羅匈邊境蘇軍調動甚忙傳大批德軍集合立邊羅國聯德以抵抗蘇聯
page 2	拉脫維亞新內閣已成立
page 2	紐約市發生兩炸彈案一為反德行動一反對共產黨
page 2	聯軍數萬逃入瑞士境內
page 2	德將休戰條件交法
page 2	史汀生任新職
page 2	蘇德衝突漸尖銳
page 2	加拿大決施行總動員動員一切以推進戰爭
page 2	湘省府訓練衛生人材
page 2	傳宋子文由菲赴美
page 2	越南受日壓迫接納日本要求已命滇越路停止貨運日方仍高呼迅速南進
page 2	日方向汪偽組織再提嚴酷條件汪受日方冷遇極為沮喪汪系人心渙散各謀出路
page 2	當陽我軍緊縮包圍長板坡將展開決戰宜昌近郊血戰困日在圍殲中
page 3	英上下兩院舉行重要秘密會議空氣緊張為七百年來所初見此次會議必為討論英國國防
page 3	南非洲政府決心繼續戰爭史蔑駁斥赫索提議主張中立實召滅亡
page 3	英倫南海岸發生空戰
page 3	路透社記者報告法軍失敗所得之觀感法軍失敗輕視坦克車與飛機當局又有根深蒂固政治裂痕
page 3	丹商務代表團抵莫斯科
page 3	泰晤士報評論德國人之夢想
page 3	土耳其國防步驟完成以應付歐洲東南局面
page 3	祖路易拳賽又勝八回合擊敗哥代氏
page 3	羅斯福對西半球強化經濟陣線批准美洲共和國經濟同盟及汎美貿易公司組織計劃
page 3	一法難民船由法抵達英倫船上頗多貴要
page 3	黽勉努力
page 3	亡國官僚
page 3	蔣委員長演詞全文三
page 3	史汀生與諾斯分任海陸部長強化美國國防準備參戰史汀生極關心遠東時局
page 3	希特勒將休戰條件遞交於法全權代表法未答覆前德軍暫停止前進法艦隊反對停戰受英方調遣
page 5	新鶴戰事又已展開
page 5	日機出動狂炸獨洲
page 5	中山偽軍內鬨更烈
page 5	我軍襲擊增城衝入廖村楊溪俘獲偽軍兩名
page 5	廣三路游擊隊襲擊日軍運車
page 5	惠陽米荒仍嚴重再度商討救濟辦法
page 5	粵南我游擊隊戰績優異欽邕沿線日軍最近動態頻頻發放空炮圖振奮軍心邕寧日軍一部南調海南島日艦結集防城海面窺江平東興
page 5	南路日艦進窺江平
page 5	我軍三面夾擊蒲廟
page 5	桂南日軍一部南調
page 5	沿線日軍頻發空砲
page 5	游擊區進口貨鑑別是否日貨並非一律禁運
page 5	北犯潰敗日軍有一部退回莞城石龍昨又派隊分擾西湖京山各地我方加強廣九寶太等路防務
page 5	粵省樹立全省緝私制度
page 5	嚴限殷戶出售存糧
page 5	市民購米大感困難
page 5	再開會議運米救濟
page 5	睦洲日軍已迫近鶴洲我軍堅守古井我施用磁鐵戰術新鶴線戰事又開展日機向各地擾犯在獨洲投彈百餘枚
page 6	任意濫抽
page 6	貪官污吏
page 6	不得禁止
page 6	不法情形
page 6	中央令中交分行無限制兌換省毫券粉碎日人搗亂我國金融陰謀
page 6	粵北我軍節節勝利克復水南攻入神岡粵路我續進新街圍攻橫潭廣從線日屍數百運粵焚化
page 6	減少空襲損失惠陽疏散人口每日下午四時後商民始照常營業
page 6	近郊之水南
page 6	攻入神岡墟
page 6	分兵向橫潭
page 6	廣東省府解釋賭罪疑義
page 6	寶安縣府槍決偷竊電線匪徒
page 6	綠林豪俠鋤奸
page 6	駐會委員
page 6	粵參議會三次大會通過重要提案六十五件舉凡教育經濟民政興革事項均有讜言偉論確定改進對策
page 6	屬于其他
page 6	一區專員嚴密查究四邑團警勒索出入貨物省府規定糧食運銷辦法嚴禁貪官污吏違法濫抽
page 7	希氏神甫致開會詞
page 7	匯款返英購買軍器
page 7	選出委員進行工作
page 7	本港華人亦當同情
page 7	省振會港辦事處收到廿餘萬元各地僑胞踴躍捐輸
page 7	安暹米源源來港米商不敢居奇昨日米價略低不久可復原狀港府禁米出口法令仍未撤銷
page 7	本港米價已漸平復
page 7	大量魚菜由澳運港
page 7	英文中學會考昨日開始舉行
page 7	中華巴士公司運到四輛新車
page 7	永昌別墅響應傷友運動
page 7	澳門亦禁米麵出口
page 7	聖約翰大學同學會聚餐紀
page 7	印刷業商會發起獻機運動並認捐國幣二千元
page 7	救濟浙東米荒未有具體辦法
page 7	市民大會情緒熱心烈香港戰時後援會成立選出中英籍委員十餘人籌款匯英指定購買軍器
page 8	財政監理官之談話
page 8	各項工程所費極巨
page 8	是月所得雨水已超過十九寸
page 8	英人捐輸救國將達一百萬元南華西報繳四十萬馬會盈利決撥作戰費
page 8	各項活動
page 8	藍塘道謀殺案被告判處死刑死者被斫三斧斃命
page 8	港英僑紛紛應徵入伍訓練與待遇悉如正規軍
page 8	黃坭涌闢貧民模範村預定建築寮屋千間有電燈自來水供給
page 8	織造會辦義學
page 8	三千餘元偽幣案判決首次兩被告各入獄十五月兩小童一獲釋一送孤兒院
page 8	消費合作守望相助
page 8	建寮地段概免稅餉
page 8	世界動盪中吾僑應有的認識和努力
page 8	中英文化協會將開週年大會陳君葆報告一年來會務
page 8	一對祖國方面
page 8	二對居留地方面
page 8	本港殷富財力雄厚千餘萬公債轉瞬售清預先認銷者已超過五百萬元十八日起三日內共銷六百萬
page 10	今日公開棒球賽中華再逢工程強弱懸殊中華當獲勝明日上午有兩場戰事
page 10	初級學排決戰皇仁培英爭雄
page 10	九龍學界籃球賽裁判減費問題之風波郭木開否認停止派員服務
page 10	住聯會小型球隊明日約戰記者球場改有警察　堂
page 10	公開籃球賽今夕青年甲戰銀紅乙組勵行逢精武悠悠抗保羅
page 10	足球春秋出版
