page 1	如何爭取戰區民眾
page 2	晉南殘日潰不成軍
page 2	豫東發動全線猛攻
page 2	犯九宮山日軍被擊已分兩路潰退湘北我軍極活躍
page 2	振委張漢傑等抵晉放賑
page 2	贛北日軍不斷增援
page 2	日本的軍事機構
page 2	日軍閥確有征服荷印之意但實力殊不足
page 2	我神鷹隊在豫南炸日運輸幹線投彈百餘枚予以澈底破壞
page 2	烏審旗王抵晉向閻長官獻旗
page 2	日軍大滬附近大舉搜索屠殺被焚燬村莊七十個被屠殺農民約一千
page 2	振委會撥款振濟魯災
page 2	鹿欠湖面日艦盲目發砲桃林日軍進犯受
page 2	成吉思汗誕辰甘主席派員致祭
page 2	日機一架墜落安慶附近
page 2	法大使抵滬
page 2	印度與安南最近成立商約
page 2	希特勒賀日皇
page 2	內部定期召開禁煙會議
page 2	滬公共租界發行市政債券
page 2	滬難民救濟會決定遣散難民月內結束其事務
page 2	英將與意恢復商務談判
page 2	法政府實行反間諜計大捕共黨及德間諜
page 2	皖我軍攻入合肥城晉東南我衝入臨晉豫東我發動全線猛攻日勢動搖
page 3	交戰雙方積極準備
page 3	德機投彈傷兩英艦
page 3	教育部頒布中正獎學金辦法全部名額暫定為四百名每名年給獎學金四百元
page 3	挪威傀儡為德不滿
page 3	德以俘虜掩護作戰
page 3	挪威宣言堅決抗戰
page 3	美議員史維蘭巴治力主對日禁運遵守九國公約所負義務維護中國領土權完整
page 3	蘇照會雙方交戰國尊重瑞典中立蘇德兩國國交愈形疏遠德在蘇海附近敷設水雷
page 3	英德空軍發生激戰
page 3	美製機廠忙於製造每年出產飛機一萬七千餘架
page 3	援挪聯軍組織完善
page 3	羅馬尼亞大起戒備德機在羅自由降落羅當局對此無表示
page 3	意制止德潛艇在地中海活動意不願戰爭蔓延到地中海德將對意施壓力促甚參戰
page 3	我存美盈餘資產最近略有增加日本則無何變動
page 3	蘇聯名飛行家駕機失事斃命
page 3	林語堂在菲忙於演講
page 3	德人五名被土驅逐離境
page 3	戰潮澎湃之下美已成世界總兵工廠輸出軍火四年來增加八倍其中以英法兩國增加最大
page 3	英德兩軍準備大戰均趕派援軍赴挪德軍由歐士勞沿鐵路向卑爾仁推進德倫的英以南德軍為挪游擊隊所厄
page 5	馬騮洲關員昨復工
page 5	澳門三埠輪渡試航
page 5	江會各線戰況昨訊
page 5	廣州市南軍日多撤離各地由偽復興軍接防河南頭仍為日軍駐守如有撤退由偽軍填駐
page 5	省府通令嚴懲農貸徇私人員
page 5	一區專署組織征軍家屬幫工隊
page 5	粵省各地設立文化驛站務使抗戰建國書報傳遞迅速
page 5	戒煙貧民公家撥款救濟
page 5	全省甲長實施兵役訓練
page 5	中山傀儡橫征暴歛田畝產業亦將強迫登記並謀派員出外吸收僑匯
page 5	省儲秘書長報告粵省之裕糧禁賭工作賭案辦理雖變更勿誤會禁賭意旨
page 5	順德柴荒現況
page 5	第四游擊縱隊各部人事變更
page 5	欽懸防城
page 5	我軍浴血
page 5	張炎將軍談粵南桂南之戰局小董為欽邕要衝日我必爭據點我軍血戰再接再厲日軍已衰竭
page 5	日軍撤退
page 5	反戰行動
page 5	馬騮洲日偽軍撤去後關卡昨廿九晨恢復辦公澳門至三埠之交通昨日已有輪渡試航江會各線雙方仍有接觸
page 6	黃松崗鄉
page 6	廣東省立臨時醫院成立開始收容傷病軍民
page 6	粵財政廳加緊征收新舊營稅訂定查定征收兩項考成辦法征起欠稅准提撥補助費獎勵
page 6	東路日軍之調動忙昨擾犯茶山被擊退日機迭飛各地偵察黃松崗之劫後救濟
page 6	照下列規定
page 6	稽征不力者
page 6	稅務稽核團
page 6	粵省總動員視導保甲山各縣組織保甲視導團辦理鄉鎮分若干組每組最少五人
page 6	派出日機
page 6	通令實施
page 6	地方款項
page 6	規定處罰
page 6	海面仍有日艦十餘
page 6	轉向下埔蓮陽猛犯
page 6	嶺東情勢仍緊張日再陷蓮陽窺樟林饒平澄海日軍艦突呈活動我加緊清奸固防粉碎日謀黃逆仍策動進犯粵閩邊境
page 6	桂省青年團籌紀念青年節發動一角獻金購帳
page 7	挪商決收回日商租用輪船
page 7	澳慈善界救濟失學難童
page 7	粵振濟會函謝廠商聯會賑款二千餘元已收到
page 7	文藝協會昨歡迎耿濟之
page 7	糖商長期義捐又匯出一萬元
page 7	難童保育新院設備日臻完善
page 7	英慰勞會又募得數千元
page 7	小童會歌詠賽今晚七時在青年會舉行
page 7	貧民寮拆卸後露宿街頭者劇增
page 7	名工程師赴滇緬路任職
page 7	徵求傷兵之友會極力防範流弊勸銷社章必奪收據展期六月一日結束
page 7	繳款手續
page 7	發現流弊
page 7	義唱成績
page 7	狂風覆舟溺斃四命另一船擲大批米石下海
page 7	長洲海面又有水雷爆炸
page 7	重慶廣播電台請名人演講本港收音機可接聽
page 7	捐贈膠鞋
page 7	明日起食水不再限制港九各區水喉均全日開放水務局總辦昨日正式佈告
page 8	住聯會　研究如何能使業主減租某閣人對減租運動之意見
page 8	住聯會會議　擬增義學十間
page 8	港九教聯會提倡平民教育先辦義學一間逐漸推廣
page 8	進行計劃
page 8	英駐華艦隊將易帥諾貝爾他調由黎頓繼任
page 8	劫殺案兇犯被控獄中殺人死者曾作證人指證被告行劫主控律師謂被告係有意報復
page 8	港督下月返英足疾日漸痊愈
page 8	紀念五四節紅磡各僑團積極籌備
page 8	女童墮樓重傷
page 8	坭工被控殺工頭案初審畢詳臬定讞
page 8	佐頓碼頭劫案押候明日再審
page 8	兩賊截劫少女掠金戒指一枚
page 8	林西河堂今開同人大會
page 8	國醫踴躍獻金
page 8	印警擅離職罕處有期徒刑六月
page 8	開本港新紀錄保險銷貨場出現
page 8	貨船實行聯防辦法十餘艘前日開往潮汕武裝船四艘　行保護
page 10	菲華女子籃球隊明晚演壓軸戲港星隊登台拍演客軍定二日返菲星洲之行對方來電取銷
page 10	全港英文中學校際陸運成績華仁獲全場冠軍教育司蒞場頒獎
page 10	響應傷兵之友運動銀聯會舉辦足球義賽山西商銀行隊對華商銀行隊五月十一日在加路連山舉行
page 10	記者體特會今日旅行元朗參觀工廠並作球賽
page 10	征越足球大軍今晨離港
page 10	萬國泳場明開幕
page 10	公開男子籃球賽五月八日開鑼地戰仍在中青
