page 1	廢除苛雜當自杜絕　捐始
page 2	全桂軍隊縮編為四個甲種師團
page 2	二中央除負擔軍費之外
page 2	李濟深為桂軍總司令
page 2	梧州時局嚴重桂軍嚴密佈防
page 2	鄧香再度入桂協同斡旋桂局
page 2	留平桂人電黃促即回桂主持
page 2	南寧市面恐慌外人紛紛離境
page 2	二劉均電李白促勸各就新職
page 2	松室孝良抵濟南向魯韓提三項要求迫組冀察魯三省偽政府經宋拒絕松室即轉青島
page 2	負有游說魯省與冀察政會
page 2	擴充在華警力
page 2	分配北平兵力
page 2	偽軍進逼綏東
page 2	覆舟塌屋走電起火南昌遭受空前浩劫事後調查共死傷二百七十二人毀屋四百餘所財產損失約百萬
page 2	美商務部分析中國金融狀況華僑匯款回國漸見增多
page 2	津日商擴充紗廠積極推銷私貨英美將受打擊
page 2	駐橫濱神戶兩處總領調動楊雲竹兼任橫濱總領王守善代理神戶總領
page 2	戈定遠請辭長蘆運使財部經已照准
page 2	國民政府命令粵省分設五軍區張達等分任各區司令各師番號從新編配莫希德葉肇等分任十個師長
page 2	所得稅暫行細則將提政院討論
page 2	廬山冠蓋往來林劉謁蔣有所請示黃麟書代表陳濟棠謁蔣委長有所陳請
page 2	和平解決桂局李白提三項要求鄧世增香翰屏長途仆仆從事斡旋李白要求甚奢恐難有成蔣委長到粵詳商後方能決定
page 3	西班牙戰事兩軍尚在相持中
page 3	西京陷於絕境政權操於紅軍
page 3	德僑四人被殺德國提出抗議
page 3	法國中立提案英國已送覆牒
page 3	直布羅陀居民遙見巨彈火光
page 3	三團體請政院撤銷粵農產品專稅
page 3	世界運動各項比賽標槍決賽成績不佳日本初獲世運金牌三級跳遠我又落選
page 3	男子跳遠預賽
page 3	三級跳遠決賽
page 3	標槍決賽結果
page 3	女子低欄決賽
page 3	各種球賽結果
page 3	世運足球賽中國隊雖敗猶榮對稱雄世界之英國勁旅僅以兩球之差竟告失敗　技術良好得國際好評
page 3	中國隊將赴瑞典比賽
page 3	昨對英國勁旅之戰情
page 3	我國籃球慘敗十九對卅五日本隊勝
page 3	北寧沿線設置稽查分處俟安斯邇北上商決
page 3	揚子嘉陵兩江水漲渝市慘遭浩劫
page 3	于學忠返蘭州
page 3	蔣作賓謁蔣事畢業已轉潯返京
page 3	揚子江水位連日繼續下降漢口水災已可避免
page 3	今井暫不離平
page 3	中國教電協會開常務理事會決議呈請教部撥款補助教電
page 3	檢閱沿海艦艇陳紹寬昨抵閩今日可抵廈門
page 3	津東各縣青紗帳起散匪乘時活動
page 3	陝北殘匪連日經我痛剿現多化整為零
page 3	李樹春就魯選舉總監韓復　蒞場致訓
page 3	日駐英大使吉田茂進行調整英日邦交日方希望太奢勢難妥協
page 3	徐海間各縣發現蝗虫過境秋禾多被食盡
page 3	冀察政會例會宋哲元等請假
page 3	仁勝武寧兩艦昨日奉調赴漢
page 3	旅　川省同張拒絕日設駐蓉領事組織反對高領聯合會
